Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	Tot
Atkins, Simon	31	21	31	21	22	20	20	21	20	22	16	33	31	18	21	33	35	25	28	28	497
Ballantyne, Jon	4											19	7	14	7	5					56
Barrow, Gary																	15	13	8	14	50
Beveridge, Luke											34	26	18	12	9	21			10	5	135
Cameron, Leon	34	26	17	11	23	21	25	27		24	36	21	29	5	31	23	22	27	16	19	437
Campbell, Tony						2	12	7	10	12	18	9	8	8	14						100
Charles, Justin											13	5	2								20
Coleman, Glenn	17	20	6							7											50
Corcoran, Shannon											6	6					20	20	8		60
Croft, Matthew	19		17																		36
Darcy, Anthony					12	10	9	7	12	9					5	13	13	5	8	21	124
Del-Re, Danny	13	12	13	17	10	7	7	7	16	9	20					13	12	1			157
Ellen, Shane			12	10	4					5											31
Foster, Peter	7						20	16	12	14	13	14	17	18							131
Frost, Michael							9	11	12					11	16	2					61
Grant, Chris				14	16	16	17	17	10	10	14	19	16	13	18	20	22	10	17	13	262
Grgic, Ilija		10						15						6	9	23	11	15	7	18	114
Hawkins, Doug	9	9	7	18	17	22	19	28	16	7	18	26	24	28	19	25	27	9	12	16	356
Hunter, Mark	19	24	23	20	22	17	21	20	17	26	24	18	13					18	18	18	318
Kellett, Nigel	19	13	17	20	14	14	18	24	18	18	9		15	19	17	13	16	19	17	25	325
Kolyniuk, Steven	23	6	17	20	4	10			16	9	26	27	12	29	20	3					222
Kretiuk, Steven		7	2					6	1											1	17
Liberatore, Tony	17	33	26	16	25	18	24	30	21	18	23	14	27	26	33	35	25	27	24	26	488
MacPherson, Stephen	21	22	20	25	11	20	19	25	21												184
Mansfield, Matthew	13	11	13	7	7	4								13	3						71
Nicholson, Brad																10	12	16	13	18	69
Quill, Peter				12	17	20	6					11	13	25	17	31	26	20	19	28	245
Reynolds, Keenan	9	13	23	9	6	26	17	16	15	16	9	16	15	14							204
Royal, Brian							15	12	1		7	13	12	11	16		15	4			106
Sexton, Ben				20	11	4									10	17	8		8	13	91
Smith, Rohan	16	9								12	13	15	7								72
Standfield, Barry	8	19	19	12	13	15	21	18	14	17	3	14	5	13	7	7	11	15	11	12	254
Thorpe, Alan																	6	6	17	12	41
Toohey, Bernard		18	10	3	15	27	23	18	9	15	17	6	7			14	20	13	23	23	261
Wallis, Stephen	31	17	24	8																	80
West, Scott	7	9	9	20	15	15	17	10	21	13				21	10	15	28	33	26	20	289
Wynd, Scott	12	18	19	16	16	22	-		11	15	23	18	15	17	14	19	17	18	14	13	297
Totals	329	317	325	299	280	310	319	335	273	278	342	330	293	321	296	342	361	314	304	343	6311
Opponent	CW	ME	FI	ES	WC	NM	CA	SK	HW	AD	SY	BB	GE	RI	CW	ME	FI	ES	WC	NM	
