Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	Tot
Atkins, Simon	16	14	17	13	13	15	12	12	12	11	5	17	21	8	13	15	17	15	14	18	278
Ballantyne, Jon	4											17	5	13	5	4					48
Barrow, Gary																	7	10	3	6	26
Beveridge, Luke											20	20	14	9	6	13			9	4	95
Cameron, Leon	23	18	9	10	15	18	20	21		19	26	14	23	2	21	14	14	23	11	13	314
Campbell, Tony						2	9	6	9	11	15	8	6	8	13						87
Charles, Justin											5	5	2								12
Coleman, Glenn	10	12	3							5											30
Corcoran, Shannon											5	3					14	15	8		45
Croft, Matthew	13		14																		27
Darcy, Anthony					8	7	6	2	8	4					-	8	7	5	5	12	72
Del-Re, Danny	11	11	11	14	7	5	6	6	9	7	15					9	7	1			119
Ellen, Shane			8	7	3					4											22
Foster, Peter	5						14	7	10	9	11	7	9	11							83
Frost, Michael							5	7	10					9	8	2					41
Grant, Chris				11	12	11	9	13	8	8	11	16	13	9	16	15	19	9	11	9	200
Grgic, Ilija		6						8						4	6	14	9	10	7	14	78
Hawkins, Doug	5	4	6	9	10	13	7	20	10	4	8	12	12	16	7	12	19	6	8	12	200
Hunter, Mark	16	17	20	17	19	13	20	14	14	22	16	14	12					13	15	16	258
Kellett, Nigel	9	7	9	18	9	9	16	20	11	10	5		11	15	12	11	14	13	11	16	226
Kolyniuk, Steven	19	4	12	16	2	5			11	6	21	20	8	21	16	2					163
Kretiuk, Steven		5	1					5	1											-	12
Liberatore, Tony	5	17	13	6	13	10	16	17	10	12	15	9	14	9	18	13	12	13	15	13	250
MacPherson, Stephen	15	13	13	15	9	14	10	16	12												117
Mansfield, Matthew	13	8	10	6	6	3								8	2						56
Nicholson, Brad																7	6	13	10	12	48
Quill, Peter				8	12	13	6					8	9	14	13	18	18	9	15	19	162
Reynolds, Keenan	8	10	20	8	6	19	9	10	14	13	9	10	11	11							158
Royal, Brian							6	9	-		5	10	9	6	10		10	2			67
Sexton, Ben				10	10	3									5	7	6		8	12	61
Smith, Rohan	10	6								9	10	13	6								54
Standfield, Barry	7	13	10	9	11	9	14	9	11	12	2	13	5	10	5	3	6	14	10	8	181
Thorpe, Alan																	5	4	13	9	31
Toohey, Bernard		13	4	2	10	21	18	14	5	9	11	3	6			10	15	11	18	11	181
Wallis, Stephen	22	13	8	7																	50
West, Scott	4	6	4	14	5	9	14	9	13	8				10	7	7	14	19	19	8	170
Wynd, Scott	3	7	6	8	6	5	-		4	1	7	7	5	9	8	9	6	6	8	3	108
Totals	218	204	198	208	186	204	217	225	182	184	222	226	201	202	191	193	225	211	218	215	4130
Opponent	CW	ME	FI	ES	WC	NM	CA	SK	HW	AD	SY	BB	GE	RI	CW	ME	FI	ES	WC	NM	
