Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R22	Tot
Aitken, Ian							6	5								5			4	-	20
Anderson, Dean	3		10	7	6	3	11	9	5	4	7	3	6	-	3	5	6	5	4	5	102
Arceri, Mark	4	2	1	1		4															12
Atkinson, Brodie										8	8										16
Bingham, Lawrence	3	12	10	8	9	13	4	3	2	4	8	10	2	5							93
Bourke, Darren	5	13	10	10	5	7	6	-	3							12	8	14	4	10	107
Bowey, Brett		4	7	7	9	7	5		1					3				7			50
Burke, Nathan	8	9	5	11	3	4	5	5	7	10	10	6	9	4	13	14	3	11	2	9	148
Capsalis, Leigh																	1				1
Devonport, Craig	1	5	1	5	7	8		6	2	4	5	2	3	2					6	-	57
Dwyer, Mick					6		5							13	10	6	11	11	10	12	84
Everitt, Peter	5	3	1	1	4	3								3	12	6	2	4	3	7	54
Fode, Gordon		2	5	4	8		-	1				6	1		2	-	2				31
Frawley, Danny	5	5	10	1	4	8	8	4	4	5	-		6	3	1		2	1	7	4	78
Georgiou, John									5	4											9
Grant, David										4	7	6	9	6	5			1	2	4	44
Greig, Dean		3	7	2						9	9	3	5								38
Hanson, Nick							2														2
Harvey, Robert	7	12	4	6			13		7	5	9	11	8	10	21	9	7	9	14	17	169
Heppell, Martin														5	1	-					6
Hollow, Chris	3											6	4	6	10	7	7	3	8	7	61
Lockett, Tony			2			2	2	3	4	3	5	2	2	1							26
Loewe, Stewart	3	3	7	6	7	7	9	3	9	1	2	10	8	3	5	7	6	7	3	5	111
McAdam, Gilbert	7	18	12	7	7	19	11	6	9		-				6	9	7	6	7	11	142
Morris, Russell	6	5	6	7	-	6		5	3	4	3	4	6		6	2	1	8	6	3	81
Newport, Stephen						4															4
OBrien, Craig		4			9	10	5	4						3	8	1	2	3	6	2	57
Peckett, Justin	9	3	7	9	6	4	7	10	11	5	8	-			9	7	1	4	4	3	107
Pekin, Tim	3	11			10			8	12	8	13	8	12	7	14	10	14	8	8	11	157
Ralphsmith, Sean	4	13	6	8	4	4															39
Rice, Dean				-	2	5	8	6	1	4	5	4	4	7							46
Shanahan, Jamie	-	4	2	1	2	1	3	1	4	3	-	-	3	1	2	5	7	-	-	3	42
Shaw, Damen										-	4	4	6	14	3	4	4	2	2	8	51
Taylor, Kain	6				6							4	9	8	4	5	8	10		7	67
Vidovic, Lazar								8	5												13
Winmar, Nicky	5	14	8	5			5	4	9	3	2	8	10		4	8	6	5	6		102
Wittman, Chris	1					4	2	3	7	6	5	6	6								40
Totals	88	145	121	106	114	123	117	94	110	94	110	103	119	104	139	122	105	119	106	128	2267
Opponent	GE	NM	SY	CW	CA	RI	ES	FO	WC	BB	HW	FI	ME	AD	GE	NM	SY	CW	CA	RI	
