Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R22	Tot
Aitken, Ian							9	14								13			11	5	52
Anderson, Dean	11		18	18	18	5	14	14	15	12	16	6	13	17	5	13	9	13	12	8	237
Arceri, Mark	8	10	3	2		2															25
Atkinson, Brodie										17	6										23
Bingham, Lawrence	4	6	11	9	11	6	5	3	3	9	10	13	2	6							98
Bourke, Darren	15	19	18	12	8	18	17	3	-							14	13	11	18	17	183
Bowey, Brett		8	17	18	7	9	8		7					4				6			84
Burke, Nathan	19	17	23	18	6	14	18	16	14	16	14	22	21	11	20	16	10	17	8	22	322
Capsalis, Leigh																	3				3
Devonport, Craig	18	19	3	14	11	8		13	13	4	11	12	17	17					14	2	176
Dwyer, Mick					17		9							12	18	22	9	11	15	17	130
Everitt, Peter	12	8	4	6	2	4								5	18	13	10	11	7	12	112
Fode, Gordon		11	5	6	6		11	2				4	7		20	9	7				88
Frawley, Danny	5	7	4	3	8	5	7	2	5	14	3		8	5	1		6	6	6	4	99
Georgiou, John									4	7											11
Grant, David										8	12	11	6	4	2			9	2	9	63
Greig, Dean		6	13	9						9	8	8	3								56
Hanson, Nick							1														1
Harvey, Robert	23	15	12	8			19		19	8	16	15	18	25	18	10	6	18	20	15	265
Heppell, Martin														9	2	-					11
Hollow, Chris	2											20	10	12	9	13	12	9	5	8	100
Lockett, Tony			13			12	10	2	7	13	7	12	4	5							85
Loewe, Stewart	9	12	16	10	4	17	15	12	14	6	13	8	18	10	5	17	20	14	15	10	245
McAdam, Gilbert	16	9	8	14	9	9	5	12	9		2				5	14	10	12	10	12	156
Morris, Russell	14	11	12	4	2	16		8	11	13	4	12	7		16	7	4	8	10	10	169
Newport, Stephen						6															6
OBrien, Craig		10			19	19	18	15						14	15	10	11	6	11	8	156
Peckett, Justin	9	8	6	7	9	5	10	8	6	9	6	-			5	11	3	4	9	5	120
Pekin, Tim	10	6			6			10	5	11	8	8	8	5	9	9	7	11	13	11	137
Ralphsmith, Sean	2	16	14	11	12	5															60
Rice, Dean				11	9	8	16	7	4	9	12	6	16	11							109
Shanahan, Jamie	5	8	6	4	9	7	4	10	7	11	1	8	8	5	6	3	3	4	4	2	115
Shaw, Damen										4	14	11	14	13	14	9	8	5	10	22	124
Taylor, Kain	14				7							8	14	9	11	8	12	8		12	103
Vidovic, Lazar								10	10												20
Winmar, Nicky	22	17	23	20			18	16	18	19	14	24	18		15	16	15	12	6		273
Wittman, Chris	4					8	2	15	15	11	13	11	8								87
Totals	222	223	229	204	180	183	216	192	186	210	190	219	220	199	214	227	178	195	206	211	4104
Opponent	GE	NM	SY	CW	CA	RI	ES	FO	WC	BB	HW	FI	ME	AD	GE	NM	SY	CW	CA	RI	
