Player	R1	R2	R3	R4	R5	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R22	Tot
Aitken, Ian							-	2								-			1	-	3
Anderson, Dean	1		-	2	5	1	1	1	1	4	1	-	1	2	-	-	-	2	1	-	23
Arceri, Mark	3	2	-	-		-															5
Atkinson, Brodie										2	3										5
Bingham, Lawrence	1	1	2	-	1	-	-	1	1	2	2	2	-	1							14
Bourke, Darren	1	-	2	2	2	1	3	-	1							3	3	-	4	5	27
Bowey, Brett		1	1	1	1	2	-		1					-				-			7
Burke, Nathan	1	3	2	2	-	-	1	-	1	2	1	1	1	2	-	-	-	2	-	3	22
Capsalis, Leigh																	-				
Devonport, Craig	2	1	1	-	1	1		2	4	-	2	-	5	-					-	-	19
Dwyer, Mick					1		-							1	-	3	-	-	1	-	6
Everitt, Peter	-	2	-	1	-	-								1	3	-	1	5	2	2	17
Fode, Gordon		-	-	1	-		2	1				1	-		1	2	2				10
Frawley, Danny	3	2	-	-	-	1	1	1	2	3	1		-	4	1		3	2	3	2	29
Georgiou, John									1	3											4
Grant, David										-	-	2	3	1	-			1	1	1	9
Greig, Dean		1	3	1						-	-	1	1								7
Hanson, Nick							-														
Harvey, Robert	1	1	1	-			-		1	-	1	-	1	3	1	1	1	2	1	4	19
Heppell, Martin														1	-	-					1
Hollow, Chris	1											2	-	-	1	4	2	-	2	1	13
Lockett, Tony			1			-	3	-	-	1	1	1	-	-							7
Loewe, Stewart	3	1	2	3	-	3	2	2	5	2	4	-	6	2	2	3	4	3	4	3	54
McAdam, Gilbert	-	1	-	1	-	1	-	1	1		-				1	3	1	3	2	-	15
Morris, Russell	3	2	1	1	1	3		3	4	3	2	3	2		7	3	1	2	1	2	44
Newport, Stephen						1															1
OBrien, Craig		2			4	5	1	1						1	1	-	3	2	2	1	23
Peckett, Justin	2	-	2	1	1	1	2	1	3	2	-	-			-	-	1	-	-	-	16
Pekin, Tim	2	-			2			-	3	1	2	1	2	-	-	-	-	-	1	-	14
Ralphsmith, Sean	-	1	1	-	1	1															4
Rice, Dean				1	-	1	-	-	-	2	1	-	3	1							9
Shanahan, Jamie	1	3	1	2	3	1	-	1	-	1	-	1	2	-	-	1	-	1	1	-	19
Shaw, Damen										-	4	1	3	2	-	1	4	-	2	5	22
Taylor, Kain	4				1							1	3	3	1	2	3	2		5	25
Vidovic, Lazar								2	2												4
Winmar, Nicky	1	2	6	4			-	4	2	2	-	3	3		-	-	1	4	1		33
Wittman, Chris	-					-	1	-	3	1	4	1	2								12
Totals	30	26	26	23	24	23	17	23	36	31	29	21	38	25	19	26	30	31	30	34	542
Opponent	GE	NM	SY	CW	CA	RI	ES	FO	WC	BB	HW	FI	ME	AD	GE	NM	SY	CW	CA	RI	
