Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	4	4						5		5				9	3						6						36
Ball, Luke	6	10	10	4	9	15	12	10	12	11	11		9	6	7	14	11	17	12		8	12	10	10	5	15	246
Barham, Jaxson												4															4
Beams, Dayne		17	7	9	16	12	8	10	11	4	9	14	8	14	7	12	8	10	11	12	11	13	11	10	3	8	255
Blair, Jarryd														7	8	6	5	4		10	7	8	13	5	5	6	84
Brown, Leigh	5	5	6	1							7	6	7	5	4	7	13	4	5	10	11		9	11	8	7	131
Brown, Nathan					4	4	5	-	1									3		4	5	9	4	1	4	5	49
Cloke, Travis	11	7	15	12	13	15	8	12	10	10	12	9	10	11	8			14	13	21	12	9	10	9	11	4	266
Davis, Leon	9	8	8	13	8	5	13	8	6		11	5	6	14		13	8	9	7			8	6		4		169
Dawes, Chris					8	12	7	5	3	6			6	8	7	2	6	8	6	12	5	6	9	8	7	5	136
Dick, Brad												8	4														12
Didak, Alan	19	9	10	13	20	11	17	15	13	15	15		16	16	11	20	15	17	20	13	15		11	17	8	14	350
Fraser, Josh	9	5	5	5	10	4					5	6										3					52
Goldsack, Tyson													4	2	9	4	8	3	8		7	7		4		4	60
Johnson, Ben	15	7		15	17	11	11	14	17	14	7		14	17	9	15	18	14	8	16	12		24	17	11	17	320
Jolly, Darren	3	1	8	9	6	4	7	8	5	7	6	7	12	12	6	4	6	6	6	7	7	9	7	2	8	9	172
Lockyer, Tarkyn	15	9	7	8								13	8	12	6	7	11			3							99
Lumumba, Heritier	16	10	16	5	14	5	9	4	13	14	11	10	13	11	8	12	12	12	12	10	3	5	8	9	9	13	264
Macaffer, Brent			10	7	4	7	5	8	6	8	5	7				7	11	9	12	14	9	10	8	7	10	9	173
Maxwell, Nick	9	10	5	7	8	8	7	5	10	5	7	4					6	7	9	1	9	17	15	11	10	16	186
McCarthy, John			7																			6					13
Medhurst, Paul	9	6	8	8	5	7	8				6	5								6							68
OBree, Shane	6		6				9	10	5	6																	42
Pendlebury, Scott	11	11	8	13	8	11	9	19	11	17	15	16	9	16	9	16	14	15	17	15	11	13	13	17	5	20	339
Prestigiacomo, Simon	4		2	1						3	1	2	4	2	1	1	2		1	2							26
Reid, Ben		6			4	5	12	8	11	7	12	18	7	13	9	9	12	11	-			8	16	11	8	6	193
Shaw, Heath	27	9		21	14	9	22	10	17	10	12	10	19	18	12	10			16	11	9	15	15	19	21	19	345
Sidebottom, Steele	8	11	12	11	9	10	10	9	6	13	8	14	8		4	6	9	11	7	12	18	9	12	6	14	16	253
Swan, Dane	19	8	17	20	11	21	19	20	14	15	16	21	23	27	25	21	21	16	26	15	18	25	31	25	13	18	505
Thomas, Dale	16	14	12	15	14	14	16	13	13	21	16	16	15	15	8	17	14	13	12	14	13	8	22	12	17	20	380
Toovey, Alan	6	3	3	10	8	8	8	9	8	4	10	8	6	7	1	4	3	2	4	6	5	6	5	5	7	8	154
Wellingham, Sharrod	14	14	11	14	16	11			9	5	10	11	9	10	6	15	10	11	15	17	11	9	4	12	10	11	265
Wood, Cameron							4	5	1	5																	15
Totals	241	184	193	221	226	209	226	207	202	205	212	214	217	252	168	222	223	216	227	231	212	215	263	228	198	250	5662
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
