Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	9	6						12		9				17	11						12						76
Ball, Luke	18	18	28	14	17	20	28	22	27	27	29		20	18	20	20	21	28	17		21	20	22	14	13	25	507
Barham, Jaxson												6															6
Beams, Dayne		27	10	25	23	18	22	24	17	11	20	24	23	32	24	20	19	28	13	29	19	23	20	16	12	11	510
Blair, Jarryd														16	15	15	16	11		28	19	12	18	8	10	9	177
Brown, Leigh	13	10	10	7							13	8	14	8	10	16	19	10	10	16	14		13	15	13	13	232
Brown, Nathan					8	7	15	3	9									13		17	9	15	9	2	7	8	122
Cloke, Travis	13	8	17	17	17	19	13	17	14	16	13	16	16	17	12			17	16	22	16	19	15	13	15	8	366
Davis, Leon	11	13	8	17	9	10	20	15	9		16	9	13	17		15	15	13	7			12	8		6		243
Dawes, Chris					15	17	13	19	6	11			9	13	11	5	14	10	16	20	7	13	16	10	12	10	247
Dick, Brad												12	7														19
Didak, Alan	22	15	21	29	27	21	29	25	20	25	25		24	28	20	33	28	31	35	22	24		20	28	17	21	590
Fraser, Josh	17	6	13	8	19	6					8	8										7					92
Goldsack, Tyson													7	6	16	7	19	11	12		14	16		8		9	125
Johnson, Ben	23	14		22	27	22	23	27	28	16	14		21	21	13	19	26	25	13	23	22		31	22	15	20	487
Jolly, Darren	8	5	12	14	12	7	12	12	13	19	14	9	17	20	12	11	16	9	14	13	20	13	13	4	14	14	327
Lockyer, Tarkyn	21	18	11	11								22	9	19	15	15	16			6							163
Lumumba, Heritier	25	17	20	14	20	13	18	8	19	20	20	17	14	16	15	13	15	17	15	16	5	12	13	12	14	18	406
Macaffer, Brent			17	15	11	14	16	15	15	17	15	12				12	18	18	22	19	17	19	12	13	11	14	322
Maxwell, Nick	17	19	16	16	18	17	16	15	17	14	15	8					10	14	13	4	12	23	24	14	17	20	339
McCarthy, John			11																			11					22
Medhurst, Paul	13	9	12	17	9	7	13				8	12								10							110
OBree, Shane	14		13				25	25	10	13																	100
Pendlebury, Scott	21	23	16	27	29	29	26	27	18	33	33	27	22	27	30	27	30	34	24	32	30	24	30	24	19	29	691
Prestigiacomo, Simon	4		5	8						8	4	8	9	5	4	6	4		3	11							79
Reid, Ben		12			8	8	20	13	15	9	21	22	10	18	14	17	22	19	1			12	20	13	15	9	298
Shaw, Heath	36	17		26	25	19	33	14	25	14	16	12	26	25	20	17			22	17	14	19	20	20	24	28	489
Sidebottom, Steele	15	21	20	27	16	19	16	17	15	19	15	23	16		8	14	22	19	15	22	28	17	20	14	19	25	462
Swan, Dane	31	21	26	34	25	31	38	31	25	29	35	38	31	38	39	36	37	31	32	31	28	34	39	33	21	26	820
Thomas, Dale	21	25	17	26	24	23	29	22	20	34	28	23	24	23	17	27	26	23	23	22	26	14	32	21	26	27	623
Toovey, Alan	9	7	8	15	16	17	11	15	14	11	22	14	12	17	8	16	9	11	12	13	14	13	18	11	13	15	341
Wellingham, Sharrod	23	24	26	20	26	23			20	18	18	17	20	19	18	23	17	19	23	20	20	21	6	14	13	20	468
Wood, Cameron							11	8	5	11																	35
Totals	384	335	337	409	401	367	447	386	361	384	402	347	364	420	352	384	419	411	358	413	391	369	419	329	326	379	9894
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
