Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	3	5						2		4				3	3						4						24
Ball, Luke	7	5	3	5	9	8	9	10	1	6	5		9	5	7	5	6	7	14		5	7	11	3	4	4	155
Barham, Jaxson												4															4
Beams, Dayne		1	2	5	3	1	5	7	1	1	4	5	1	-	4	4	2	6	3	4	3	4	1	2	3	3	75
Blair, Jarryd														5	3	2	7	5		4	3	7	2	5	5	4	52
Brown, Leigh	3	3	2	3							5	5	7	-	5	3	3	3	12	2	2		2	7	5	6	78
Brown, Nathan					4	3	-	3	2									2		1	2	4	1	1	1	1	25
Cloke, Travis	2	5	-	1	1	2	1	2	2	1	1	4	-	5	4			3	2	3	5	4	2	1	2	3	56
Davis, Leon	4	7	7	3	6	4	4	2	3		1	4	4	5		4	3	1	3			4	2		2		73
Dawes, Chris					3	3	2	5	2	3			3	1	1	2	2	4	-	1	5	6	3	-	4	1	51
Dick, Brad												8	4														12
Didak, Alan	1	3	6	2	5	4	1	3	5	2	4		3	1	4	2	2	3	2	2	2		-	1	5	2	65
Fraser, Josh	1	3	2	3	1	2					1	3										2					18
Goldsack, Tyson													2	5	1	7	1	4	1		5	4		2		3	35
Johnson, Ben	2	2		3	3	2	3	3	2	2	-		-	2	3	3	1	2	3	6	2		3	2	1	1	51
Jolly, Darren	2	1	2	4	1	-	2	3	2	1	2	2	5	4	6	-	2	3	2	2	-	1	2	3	2	4	58
Lockyer, Tarkyn	-	4	3	6								7	7	3	6	5	2			5							48
Lumumba, Heritier	1	3	1	5	2	1	3	6	1	2	1	4	5	-	3	3	1	3	1	3	2	2	2	1	3	3	62
Macaffer, Brent			2	2	2	8	8	1	5	2	7	7				5	1	5	8	4	7	6	5	5	5	3	98
Maxwell, Nick	3	6	2	4	-	5	1	4	2	4	3	2					-	2	3	2	3	4	2	2	3	3	60
McCarthy, John			5																			1					6
Medhurst, Paul	1	5	3	3	4	5	5				1	6								4							37
OBree, Shane	8		1				4	4	5	2																	24
Pendlebury, Scott	2	9	5	5	5	7	5	4	5	3	8	9	4	4	5	6	5	7	6	6	5	4	1	7	6	11	144
Prestigiacomo, Simon	1		2	3						1	3	-	1	3	3	-	-		1	-							18
Reid, Ben		3			-	4	-	-	1	1	6	1	1	1	-	-	1	1	-			3	-	1	1	1	26
Shaw, Heath	-	2		5	1	1	-	2	2	1	2	2	2	1	3	4			4	4	5	-	3	3	5	1	53
Sidebottom, Steele	1	7	3	5	5	2	3	7	2	1	7	6	7		4	7	2	3	7	3	3	2	3	3	4	4	101
Swan, Dane	4	6	7	3	1	8	3	8	2	10	5	7	2	1	7	4	4	3	3	3	3	5	2	4	7	11	123
Thomas, Dale	2	6	4	3	1	5	2	4	4	3	4	2	2	5	5	3	2	2	7	3	3	3	1	5	8	1	90
Toovey, Alan	7	4	4	2	9	6	5	11	1	9	3	1	4	4	3	5	3	-	3	3	4	1	4	11	8	9	124
Wellingham, Sharrod	4	4	2	2	6	7			1	4	2	2	2	3	3	3	1	5	5	8	3	4	3	8	5	8	95
Wood, Cameron							1	2	1	-																	4
Totals	59	94	68	77	72	88	67	93	52	63	75	91	75	61	83	77	51	74	90	73	76	78	55	77	89	87	1945
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
