Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	4	4						2		3				5	2						4						24
Ball, Luke	3	3	8	3	1	6	6	1	7	4	5		3	5	1	8	4	6	3		2	1	7	5	1	7	100
Barham, Jaxson												1															1
Beams, Dayne		3	4	3	8	3	4	2	6	1	5	4	1	8	3	6	6	7	7	2	5	4	3	5	2	5	107
Blair, Jarryd														2	4	2	2	2		6	4	3	2	2	1	1	31
Brown, Leigh	5	1	3	2							5	3	6	3	5	6	10	1	2	6	5		8	7	4	4	86
Brown, Nathan					3	1	5	1	2									3		4	3	6	1	1	2	4	36
Cloke, Travis	5	6	9	11	7	12	4	7	5	5	4	9	2	10	4			12	7	16	8	5	7	7	5	4	171
Davis, Leon	2	2	1	6	2	-	3	3	-		4	2	1	5		9	4	7	1			4	1		-		57
Dawes, Chris					6	10	4	6	3	4			5	7	6	1	5	3	3	10	4	6	10	9	5	4	111
Dick, Brad												-	2														2
Didak, Alan	8	1	-	1	3	2	4	5	2	3	8		4	5	1	6	8	5	8	5	5		4	6	2	5	101
Fraser, Josh	3	2	2	2	8	1					3	4										3					28
Goldsack, Tyson													2	2	3	5	5	3	4		4	1		3		4	36
Johnson, Ben	6	2		3	3	5	5	3	2	2	3		1	8	2	3	8	5	3	4	5		11	8	1	5	98
Jolly, Darren	-	2	6	4	6	1	5	4	6	8	5	5	9	13	4	4	5	3	3	8	6	7	6	1	4	6	131
Lockyer, Tarkyn	5	5	1	7								8	6	9	3	4	8			-							56
Lumumba, Heritier	9	2	3	3	4	1	1	3	3	3	3	8	5	10	1	5	4	6	7	4	-	1	2	3	4	4	99
Macaffer, Brent			-	6	1	-	4	3	1	8	2	4				5	6	6	5	5	8	4	5	5	5	5	88
Maxwell, Nick	7	12	8	6	2	3	6	5	10	6	4	3					3	3	5	-	5	5	5	7	5	11	121
McCarthy, John			3																			1					4
Medhurst, Paul	5	2	1	6	2	5	3				2	3								3							32
OBree, Shane	2		-				6	3	3	3																	17
Pendlebury, Scott	5	3	4	4	1	4	2	7	5	5	5	9	3	8	1	7	5	4	2	10	3	4	4	3	1	7	116
Prestigiacomo, Simon	2		1	1						3	2	1	4	2	1	4	-		1	4							26
Reid, Ben		3			-	2	8	2	6	2	7	9	6	9	4	10	9	8	1			6	9	9	4	5	119
Shaw, Heath	14	4		6	8	1	7	3	4	3	7	4	7	7	3	5			6	3	4	7	8	3	5	10	129
Sidebottom, Steele	3	4	5	7	5	4	3	1	1	6	3	7	-		-	3	4	4	3	10	9	5	3	4	5	6	105
Swan, Dane	10	2	5	4	6	6	5	5	6	3	5	7	6	14	2	7	4	5	6	5	6	5	7	7	2	6	146
Thomas, Dale	6	8	5	4	7	2	6	6	2	12	3	3	9	4	5	12	5	4	7	7	6	3	7	9	8	8	158
Toovey, Alan	2	1	1	2	3	4	3	3	4	3	1	4	3	5	2	2	1	-	2	3	3	3	1	4	1	7	68
Wellingham, Sharrod	5	4	3	3	7	4			5	-	3	5	4	5	2	10	4	2	6	3	6	2	1	3	3	3	93
Wood, Cameron							2	3	1	2																	8
Totals	111	76	73	94	93	77	96	78	84	89	89	103	89	146	59	124	110	99	92	118	105	86	112	111	70	121	2505
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
