Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	4	2						9		6				6	5						5						37
Ball, Luke	6	7	11	4	10	8	12	12	12	11	14		14	9	9	8	7	13	8		12	9	12	8	8	12	236
Barham, Jaxson												3															3
Beams, Dayne		5	4	8	3	4	9	6	7	3	7	10	7	7	7	4	6	10	3	9	6	13	9	6	5	5	163
Blair, Jarryd														9	3	10	5	2		15	9	6	7	4	7	3	80
Brown, Leigh	7	8	3	3							6	4	6	2	4	10	9	6	6	8	6		6	7	8	7	116
Brown, Nathan					4	3	6	1	4									3		8	5	5	4	1	5	5	54
Cloke, Travis	3	5	8	8	6	4	6	11	9	10	4	9	9	10	7			13	7	9	8	10	4	8	7	4	179
Davis, Leon	7	12	5	9	4	6	9	7	7		10	6	7	3		2	6	8	2			4	3		2		119
Dawes, Chris					10	9	7	12	1	5			4	8	5	3	7	6	8	7	2	7	6	3	7	6	123
Dick, Brad												1	4														5
Didak, Alan	3	9	9	8	10	7	9	6	12	7	4		7	9	8	11	7	11	14	7	8		6	11	5	8	196
Fraser, Josh	11	5	9	5	6	4					1	3										4					48
Goldsack, Tyson													3	1	8	1	11	6	5		2	7		4		2	50
Johnson, Ben	2	4		3	5	2	4	6	7	4	4		2	1	3	3	4	3	3	3	5		4	5	4	4	85
Jolly, Darren	6	2	4	8	7	2	6	7	7	6	4	2	6	7	6	4	8	6	7	5	10	7	5	2	8	8	150
Lockyer, Tarkyn	7	6	5	2								7	3	8	8	5	3			1							55
Lumumba, Heritier	8	5	7	1	8	6	8	4	5	7	10	4	4	3	5	2	5	2	4	3	2	5	5	3	6	7	129
Macaffer, Brent			5	9	2	8	6	6	6	5	3	5				5	7	6	14	5	4	9	4	6	6	7	128
Maxwell, Nick	8	5	5	7	11	5	3	7	3	6	4	2					3	6	4	2	5	10	9	2	9	3	119
McCarthy, John			3																			4					7
Medhurst, Paul	8	4	7	5	4	2	7				4	3								5							49
OBree, Shane	4		8				9	8	4	8																	41
Pendlebury, Scott	7	10	4	4	13	15	6	8	12	13	15	14	14	11	14	7	14	15	13	8	11	14	13	11	5	10	281
Prestigiacomo, Simon	2		4	4						6	1	3	6	1	3	2	1		1	3							37
Reid, Ben		2			6	2	5	5	8	3	5	7	4	2	8	4	9	4	-			2	7	3	9	1	96
Shaw, Heath	8	6		3	10	9	8	6	7	1	5	1	10	9	5	6			8	2	2	5	6	5	13	9	144
Sidebottom, Steele	3	10	7	9	5	7	5	7	5	7	7	4	9		5	4	7	4	8	7	7	6	6	5	9	9	162
Swan, Dane	9	8	9	10	8	8	14	10	9	9	12	19	12	11	13	16	17	11	12	12	11	16	19	14	13	9	311
Thomas, Dale	7	9	9	8	3	10	8	5	9	9	10	7	9	5	2	8	5	10	9	-	8	3	11	7	14	11	196
Toovey, Alan	4	1	6	6	7	6	4	7	8	5	12	6	5	5	4	5	5	4	5	7	7	5	9	9	5	4	151
Wellingham, Sharrod	11	8	14	9	9	9			4	7	9	3	6	8	7	6	2	10	10	7	7	11	4	10	8	11	190
Wood, Cameron							8	4	3	5																	20
Totals	135	133	146	133	151	136	159	154	149	143	151	123	151	135	139	126	148	159	151	133	142	162	159	134	163	145	3760
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
