Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	5	4						3		3				10	7						6						38
Ball, Luke	12	12	17	10	7	10	16	11	14	16	15		6	8	11	14	11	15	9		9	10	10	6	5	13	267
Barham, Jaxson												3															3
Beams, Dayne		22	6	17	19	14	13	18	9	8	15	13	16	25	16	14	14	17	10	19	13	12	11	10	7	6	344
Blair, Jarryd														7	12	5	10	8		13	10	5	9	4	3	6	92
Brown, Leigh	6	2	6	4							6	3	7	6	6	5	10	5	5	8	8		7	8	5	6	113
Brown, Nathan					4	4	9	2	5									10		9	3	8	5	1	2	3	65
Cloke, Travis	9	5	9	9	10	15	7	6	5	5	9	7	7	9	5			6	9	14	8	10	12	5	7	5	193
Davis, Leon	4	1	3	8	3	4	12	8	2		5	3	6	13		13	9	6	5			8	4		3		120
Dawes, Chris					5	8	6	7	5	6			5	5	6	1	7	4	7	13	4	5	10	7	5	3	119
Dick, Brad												10	3														13
Didak, Alan	19	6	12	22	14	13	18	17	8	17	20		19	17	13	20	22	20	18	14	14		14	17	11	14	379
Fraser, Josh	6	1	5	3	13	2					7	5										3					45
Goldsack, Tyson													4	5	9	6	7	5	5		11	6		5		7	70
Johnson, Ben	20	10		19	22	20	20	18	23	13	10		16	20	10	12	22	20	9	19	16		25	15	8	16	383
Jolly, Darren	2	2	8	6	5	4	6	4	7	12	10	7	10	13	8	7	9	4	7	7	10	7	8	2	5	6	176
Lockyer, Tarkyn	13	12	6	9								15	6	12	7	10	13			5							108
Lumumba, Heritier	14	12	11	14	11	6	10	4	14	12	9	14	10	14	9	11	12	15	11	12	3	4	4	9	8	9	262
Macaffer, Brent			10	6	9	6	10	9	8	12	12	7				8	11	12	8	14	13	10	7	7	5	7	191
Maxwell, Nick	8	14	12	9	7	11	12	7	14	7	7	5					8	7	9	2	7	12	17	10	8	17	210
McCarthy, John			8																			7					15
Medhurst, Paul	5	5	5	12	5	5	6				4	9								5							61
OBree, Shane	9		4				17	16	6	5																	57
Pendlebury, Scott	14	13	13	23	17	14	20	19	6	21	18	13	6	16	16	20	16	17	13	25	19	11	16	13	14	18	411
Prestigiacomo, Simon	3		1	3						2	3	4	3	2	-	4	3		2	8							38
Reid, Ben		10			2	6	15	9	7	4	17	14	6	16	5	13	13	14	1			10	12	9	6	8	197
Shaw, Heath	26	8		17	12	7	22	6	13	11	11	8	11	16	12	10			12	13	10	13	12	10	9	17	286
Sidebottom, Steele	11	10	13	17	11	13	11	9	10	13	9	18	7		3	10	16	15	7	15	21	11	13	11	10	16	300
Swan, Dane	24	13	15	20	16	21	23	20	17	19	21	20	16	27	24	20	20	20	19	16	17	17	19	19	6	16	485
Thomas, Dale	12	15	7	15	21	12	20	17	12	24	17	16	14	16	16	20	19	13	13	20	18	10	19	14	13	17	410
Toovey, Alan	5	4	4	8	9	11	7	8	5	7	9	7	7	12	5	11	4	7	8	6	7	8	8	3	5	11	186
Wellingham, Sharrod	11	16	12	11	17	13			16	11	9	13	15	13	12	17	15	9	14	14	13	9	2	4	5	9	280
Wood, Cameron							3	4	2	7																	16
Totals	238	197	187	262	239	219	283	222	208	235	243	214	200	282	212	251	271	249	201	271	240	196	244	189	150	230	5933
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
