Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	5	2						7		4				8	8						6						40
Ball, Luke	12	8	18	10	8	5	16	12	15	16	18		11	12	13	6	10	11	5		13	8	12	4	8	10	261
Barham, Jaxson												2															2
Beams, Dayne		10	3	16	7	6	14	14	6	7	11	10	15	18	17	8	11	18	2	17	8	10	9	6	9	3	255
Blair, Jarryd														9	7	9	11	7		18	12	4	5	3	5	3	93
Brown, Leigh	8	5	4	6							6	2	7	3	6	9	6	6	5	6	3		4	4	5	6	101
Brown, Nathan					4	3	10	3	8									10		13	4	6	5	1	3	3	73
Cloke, Travis	2	1	2	5	4	4	5	5	4	6	1	7	6	6	4			3	3	1	4	10	5	4	4	4	100
Davis, Leon	2	5	-	4	1	5	7	7	3		5	4	7	3		2	7	4	-			4	2		2		74
Dawes, Chris					7	5	6	14	3	5			3	5	4	3	8	2	10	8	2	7	7	2	5	5	111
Dick, Brad												4	3														7
Didak, Alan	3	6	11	16	7	10	12	10	7	10	10		8	12	9	13	13	14	15	9	9		9	11	9	7	240
Fraser, Josh	8	1	8	3	9	2					3	2										4					40
Goldsack, Tyson													3	4	7	3	11	8	4		7	9		4		5	65
Johnson, Ben	8	7		7	10	11	12	13	11	2	7		7	4	4	4	8	11	5	7	10		7	5	4	3	167
Jolly, Darren	5	4	4	5	6	3	5	4	8	12	8	2	5	8	6	7	10	3	8	6	13	4	6	2	6	5	155
Lockyer, Tarkyn	6	9	4	3								9	1	7	9	8	5			3							64
Lumumba, Heritier	9	7	4	9	6	8	9	4	6	6	9	7	1	5	7	1	3	5	3	6	2	7	5	3	5	5	142
Macaffer, Brent			7	8	7	7	11	7	9	9	10	5				5	7	9	10	5	8	9	4	6	1	5	149
Maxwell, Nick	8	9	11	9	10	9	9	10	7	9	8	4					4	7	4	3	3	6	9	3	7	4	153
McCarthy, John			4																			5					9
Medhurst, Paul	4	3	4	9	4	-	5				2	7								4							42
OBree, Shane	8		7				16	15	5	7																	58
Pendlebury, Scott	10	12	8	14	21	18	17	8	7	16	18	11	13	11	21	11	16	19	7	17	19	11	17	7	14	9	352
Prestigiacomo, Simon	-		3	7						5	3	6	5	3	3	5	2		2	9							53
Reid, Ben		6			4	3	8	5	4	2	9	4	3	5	5	8	10	8	1			4	4	2	7	3	105
Shaw, Heath	9	8		5	11	10	11	4	8	4	4	2	7	7	8	7			6	6	5	4	5	1	3	9	144
Sidebottom, Steele	7	10	8	16	7	9	6	8	9	6	7	9	8		4	8	13	8	8	10	10	8	8	8	5	9	209
Swan, Dane	12	13	9	14	14	10	19	11	11	14	19	17	8	11	14	15	16	15	6	16	10	9	8	8	8	8	315
Thomas, Dale	5	11	5	11	10	9	13	9	7	13	12	7	9	8	9	10	12	10	11	8	13	6	10	9	9	7	243
Toovey, Alan	3	4	5	5	8	9	3	6	6	7	12	6	6	10	7	12	6	9	8	7	9	7	13	6	6	7	187
Wellingham, Sharrod	9	10	15	6	10	12			11	13	8	6	11	9	12	8	7	8	8	3	9	12	2	2	3	9	203
Wood, Cameron							7	3	4	6																	20
Totals	143	151	144	188	175	158	221	179	159	179	190	133	147	168	184	162	196	195	131	182	179	154	156	101	128	129	4232
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
