matchid,team,score_progression,score
2013-01-00,ADE,3.4   4.9  8.14 11.16,82  
2013-01-00,ESS,1.3   7.5  13.7  18.9,117  
2013-01-01,FRE,2.0   5.4 11.10 16.12,108  
2013-01-01,WCE,3.5   6.7  7.10 11.14,80  
2013-01-02,CAR,3.3   4.6  9.12 14.17,101  
2013-01-02,RIC,2.9  9.14 14.18 14.22,106  
2013-01-03,WBD,6.1  10.5  16.9 19.13,127  
2013-01-03,BRI,0.6  3.10  5.14  7.17,59  
2013-01-04,GWS,0.4   5.4   7.8 11.10,76  
2013-01-04,SYD,4.5   9.7  12.9 16.10,106  
2013-01-05,GCS,3.6   3.8  6.11 13.12,90  
2013-01-05,STK,1.7   6.9  7.14 10.17,77  
2013-01-06,MEL,3.1   7.2   7.3   8.6,54  
2013-01-06,POR,5.3  11.7 16.13 19.19,133  
2013-01-07,NM,5.2   8.4   9.7  13.9,87  
2013-01-07,COL,3.5   8.6 12.10 15.13,103  
2013-01-08,HAW,4.3   8.9 10.10 12.14,86  
2013-01-08,GEE,1.5   5.7 10.12 13.15,93  
2013-02-00,STK,3.1   6.6  11.7 12.10,82  
2013-02-00,RIC,4.5  8.10 12.12 14.15,99  
2013-02-01,SYD,2.1   6.4 11.10 17.12,114  
2013-02-01,GCS,2.2   3.4   8.6  11.7,73  
2013-02-02,WBD,1.1   5.5   7.7 11.12,78  
2013-02-02,FRE,6.2   9.6  13.9 16.10,106  
2013-02-03,BRI,2.3   6.5 10.13 10.17,77  
2013-02-03,ADE,2.3   7.6  9.11 14.12,96  
2013-02-04,POR,2.5   8.9 12.17 19.20,134  
2013-02-04,GWS,4.4   6.5   8.9 11.12,78  
2013-02-05,ESS,6.2  13.6 21.11 28.16,184  
2013-02-05,MEL,2.1   4.5   5.5   5.6,36  
2013-02-06,GEE,4.0   6.4  13.8 16.16,112  
2013-02-06,NM,7.1  12.3  15.5  17.6,108  
2013-02-07,COL,3.3   5.5 10.10 17.15,117  
2013-02-07,CAR,3.0   7.3  12.8 15.10,100  
2013-02-08,WCE,1.3   6.6  12.6  15.8,98  
2013-02-08,HAW,6.1  11.2  15.7 23.10,148  
2013-03-00,FRE,5.3   7.5   7.7  9.14,68  
2013-03-00,ESS,0.3   1.5  6.10 10.12,72  
2013-03-01,NM,4.2   7.8  8.11 13.14,92  
2013-03-01,SYD,3.4   5.6 16.10 20.11,131  
2013-03-02,MEL,4.1   9.2  10.3  13.5,83  
2013-03-02,WCE,5.3  10.6  21.9 27.15,177  
2013-03-03,GWS,0.0   5.1   8.3  10.8,68  
2013-03-03,STK,5.4  10.8 15.12 21.14,140  
2013-03-04,GEE,5.5  12.6  17.7 18.11,119  
2013-03-04,CAR,4.3   9.5 11.10 15.13,103  
2013-03-05,GCS,3.5   4.7  8.11 13.14,92  
