year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2013,2013-01-00,Fri,22/03/2013,8:10 PM,7:40 PM,42218,Football Park,ESS,35,0
2013,2013-01-01,Sat,23/03/2013,4:40 PM,6:40 PM,39629,Subiaco,FRE,28,0
2013,2013-01-02,Thu,28/03/2013,7:45 PM,6:45 PM,80971,M.C.G.,RIC,5,0
2013,2013-01-03,Sat,30/03/2013,1:40 PM,12:40 PM,25263,Docklands,WBD,68,0
2013,2013-01-04,Sat,30/03/2013,4:40 PM,3:40 PM,23690,Stadium Australia,SYD,30,0
2013,2013-01-05,Sat,30/03/2013,6:45 PM,,13832,Carrara,GCS,13,0
2013,2013-01-06,Sun,31/03/2013,1:10 PM,12:10 PM,22924,M.C.G.,POR,79,0
2013,2013-01-07,Sun,31/03/2013,4:40 PM,3:40 PM,41040,Docklands,COL,16,0
2013,2013-01-08,Mon,01/04/2013,3:20 PM,2:20 PM,76300,M.C.G.,GEE,7,0
2013,2013-02-00,Fri,05/04/2013,7:50 PM,6:50 PM,56783,M.C.G.,RIC,17,0
2013,2013-02-01,Sat,06/04/2013,1:45 PM,12:45 PM,20372,S.C.G.,SYD,41,0
2013,2013-02-02,Sat,06/04/2013,2:10 PM,1:10 PM,19210,Docklands,FRE,28,0
2013,2013-02-03,Sat,06/04/2013,3:40 PM,,21308,Gabba,ADE,19,0
2013,2013-02-04,Sat,06/04/2013,7:10 PM,6:40 PM,25122,Football Park,POR,56,0
2013,2013-02-05,Sat,06/04/2013,7:40 PM,6:40 PM,51153,M.C.G.,ESS,148,0
2013,2013-02-06,Sun,07/04/2013,1:10 PM,,34152,Docklands,GEE,4,0
2013,2013-02-07,Sun,07/04/2013,3:20 PM,,84247,M.C.G.,COL,17,0
2013,2013-02-08,Sun,07/04/2013,2:40 PM,4:40 PM,38389,Subiaco,HAW,50,0
2013,2013-03-00,Fri,12/04/2013,6:40 PM,8:40 PM,35963,Subiaco,ESS,4,0
2013,2013-03-01,Sat,13/04/2013,1:45 PM,,13223,Bellerive Oval,SYD,39,0
2013,2013-03-02,Sat,13/04/2013,2:10 PM,,18571,M.C.G.,WCE,94,0
2013,2013-03-03,Sat,13/04/2013,4:40 PM,,11092,Manuka Oval,STK,72,0
2013,2013-03-04,Sat,13/04/2013,7:40 PM,,43241,Docklands,GEE,16,0
2013,2013-03-05,Sat,13/04/2013,7:40 PM,,12961,Carrara,BRI,2,0
2013,2013-03-06,Sun,14/04/2013,1:10 PM,,44045,Docklands,RIC,67,0
2013,2013-03-07,Sun,14/04/2013,3:20 PM,,72254,M.C.G.,HAW,55,0
2013,2013-03-08,Sun,14/04/2013,4:10 PM,4:40 PM,40707,Football Park,POR,9,0
2013,2013-04-00,Fri,19/04/2013,7:50 PM,,31060,S.C.G.,GEE,21,0
2013,2013-04-01,Sat,20/04/2013,1:45 PM,,12619,York Park,HAW,42,0
2013,2013-04-02,Sat,20/04/2013,2:10 PM,,81950,M.C.G.,COL,34,0
2013,2013-04-03,Sat,20/04/2013,4:40 PM,,46965,Docklands,ESS,37,0
2013,2013-04-04,Sat,20/04/2013,5:40 PM,7:40 PM,38674,Subiaco,CAR,24,0
2013,2013-04-05,Sat,20/04/2013,7:40 PM,,11332,Carrara,POR,38,0
2013,2013-04-06,Sun,21/04/2013,1:10 PM,,20018,M.C.G.,MEL,41,0
2013,2013-04-07,Sun,21/04/2013,2:50 PM,3:20 PM,24684,Football Park,ADE,52,0
2013,2013-04-08,Sun,21/04/2013,4:40 PM,,22776,Docklands,NM,63,0
2013,2013-05-00,Thu,25/04/2013,2:40 PM,,93373,M.C.G.,ESS,46,0
2013,2013-05-01,Thu,25/04/2013,7:50 PM,5:50 PM,22546,Wellington,SYD,16,0
2013,2013-05-02,Fri,26/04/2013,6:45 PM,8:45 PM,36365,Subiaco,FRE,1,0
2013,2013-05-03,Sat,27/04/2013,1:45 PM,,6832,Manuka Oval,GCS,44,0
2013,2013-05-04,Sat,27/04/2013,4:40 PM,,44711,M.C.G.,CAR,32,0
2013,2013-05-05,Sat,27/04/2013,7:40 PM,,26153,Docklands,GEE,21,0
2013,2013-05-06,Sat,27/04/2013,7:15 PM,7:45 PM,26132,Football Park,POR,5,0
2013,2013-05-07,Sun,28/04/2013,3:20 PM,,19018,Gabba,BRI,28,0
2013,2013-05-08,Sun,28/04/2013,4:40 PM,,42103,M.C.G.,HAW,3,0
2013,2013-06-00,Fri,03/05/2013,7:50 PM,,40071,Docklands,COL,26,0
2013,2013-06-01,Sat,04/05/2013,1:45 PM,,30143,Docklands,ESS,39,0
2013,2013-06-02,Sat,04/05/2013,2:10 PM,,10265,Bellerive Oval,NM,10,0
2013,2013-06-03,Sat,04/05/2013,4:10 PM,4:40 PM,37324,Football Park,HAW,11,0
2013,2013-06-04,Sat,04/05/2013,7:40 PM,,10552,Carrara,FRE,45,0
2013,2013-06-05,Sat,04/05/2013,7:40 PM,,55625,M.C.G.,GEE,44,0
2013,2013-06-06,Sun,05/05/2013,1:10 PM,,23315,S.C.G.,SYD,60,0
2013,2013-06-07,Sun,05/05/2013,3:20 PM,,35286,M.C.G.,CAR,61,0
2013,2013-06-08,Sun,05/05/2013,2:40 PM,4:40 PM,36163,Subiaco,WCE,70,0
