year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
1990,1990-01-00,Sat,31/03/1990,2:10 PM,,22427,Princes Park,SYD,5,0
1990,1990-01-01,Sat,31/03/1990,2:10 PM,,18960,Windy Hill,ESS,81,0
1990,1990-01-02,Sat,31/03/1990,2:10 PM,,41694,Waverley Park,HAW,115,0
1990,1990-01-03,Sat,31/03/1990,2:10 PM,,23191,M.C.G.,MEL,53,0
1990,1990-01-04,Sat,31/03/1990,7:40 PM,,11814,Carrara,BRB,59,0
1990,1990-01-05,Sun,01/04/1990,2:10 PM,,28553,Western Oval,STK,63,0
1990,1990-01-06,Sun,01/04/1990,2:10 PM,4:10 PM,25342,Subiaco,WCE,46,0
1990,1990-02-00,Fri,06/04/1990,7:40 PM,,18105,M.C.G.,NM,141,0
1990,1990-02-01,Sat,07/04/1990,2:10 PM,,6838,Princes Park,FIT,39,0
1990,1990-02-02,Sat,07/04/1990,2:10 PM,,44906,Waverley Park,COL,35,0
1990,1990-02-03,Sat,07/04/1990,2:10 PM,,29024,M.C.G.,MEL,37,0
1990,1990-02-04,Sat,07/04/1990,2:10 PM,,23161,Moorabbin Oval,STK,58,0
1990,1990-02-05,Sun,08/04/1990,2:10 PM,,55311,M.C.G.,ESS,62,0
1990,1990-02-06,Sun,08/04/1990,2:10 PM,,11051,S.C.G.,WBD,62,0
1990,1990-03-00,Sat,14/04/1990,2:10 PM,,53065,Waverley Park,CAR,16,0
1990,1990-03-01,Sat,14/04/1990,2:10 PM,,14842,Western Oval,WCE,63,0
1990,1990-03-02,Sat,14/04/1990,2:10 PM,,11698,Princes Park,HAW,30,0
1990,1990-03-03,Sun,15/04/1990,2:10 PM,,8683,Carrara,NM,18,0
1990,1990-03-04,Mon,16/04/1990,2:10 PM,,27839,Victoria Park,COL,35,0
1990,1990-03-05,Mon,16/04/1990,2:10 PM,,59894,M.C.G.,MEL,27,0
1990,1990-03-06,Mon,16/04/1990,2:10 PM,,23031,Kardinia Park,GEE,73,0
1990,1990-04-00,Fri,20/04/1990,7:40 PM,9:40 PM,28568,W.A.C.A.,WCE,50,0
1990,1990-04-01,Sat,21/04/1990,2:10 PM,,8649,Princes Park,HAW,82,0
1990,1990-04-02,Sat,21/04/1990,2:10 PM,,17948,Victoria Park,COL,18,0
1990,1990-04-03,Sat,21/04/1990,2:10 PM,,17975,M.C.G.,ESS,78,0
1990,1990-04-04,Sat,21/04/1990,2:10 PM,,13671,Waverley Park,MEL,25,0
1990,1990-04-05,Sun,22/04/1990,2:10 PM,,28512,M.C.G.,GEE,31,0
1990,1990-04-06,Sun,22/04/1990,2:10 PM,,11472,S.C.G.,STK,34,0
1990,1990-05-00,Wed,25/04/1990,2:10 PM,,24960,Princes Park,WBD,27,0
1990,1990-05-01,Wed,25/04/1990,2:10 PM,,23078,M.C.G.,RIC,79,0
1990,1990-05-02,Sat,28/04/1990,2:10 PM,,67893,M.C.G.,COL,1,0
1990,1990-05-03,Sat,28/04/1990,2:10 PM,,42097,Waverley Park,GEE,8,0
1990,1990-05-04,Sat,28/04/1990,2:10 PM,,13144,Princes Park,HAW,30,0
1990,1990-05-05,Sat,28/04/1990,7:40 PM,,9381,Carrara,MEL,64,0
1990,1990-05-06,Sun,29/04/1990,2:10 PM,4:10 PM,25683,Subiaco,WCE,61,0
1990,1990-06-00,Fri,04/05/1990,7:40 PM,,17229,M.C.G.,WCE,35,0
1990,1990-06-01,Sat,05/05/1990,2:10 PM,,18426,Kardinia Park,GEE,71,0
1990,1990-06-02,Sat,05/05/1990,2:10 PM,,17555,Princes Park,CAR,30,0
1990,1990-06-03,Sat,05/05/1990,2:10 PM,,63318,M.C.G.,ESS,26,0
1990,1990-06-04,Sat,05/05/1990,2:10 PM,,13610,Waverley Park,WBD,32,0
