year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2015,2015-01-00,Thu,02/04/2015,7:20 PM,6:20 PM,83493,M.C.G.,RIC,27,0
2015,2015-01-01,Sat,04/04/2015,1:40 PM,12:40 PM,27013,M.C.G.,MEL,26,0
2015,2015-01-02,Sat,04/04/2015,4:35 PM,3:35 PM,23274,Stadium Australia,SYD,12,0
2015,2015-01-03,Sat,04/04/2015,6:20 PM,,31240,Gabba,COL,12,0
2015,2015-01-04,Sat,04/04/2015,7:20 PM,6:20 PM,22366,Docklands,WBD,10,0
2015,2015-01-05,Sun,05/04/2015,1:10 PM,,18794,Docklands,GWS,9,0
2015,2015-01-06,Sun,05/04/2015,2:50 PM,3:20 PM,45607,ADE Oval,ADE,77,0
2015,2015-01-07,Sun,05/04/2015,4:40 PM,6:40 PM,34099,Subiaco,FRE,7,0
2015,2015-01-08,Mon,06/04/2015,3:20 PM,,73584,M.C.G.,HAW,62,0
2015,2015-02-00,Fri,10/04/2015,6:10 PM,8:10 PM,34588,Subiaco,WCE,69,0
2015,2015-02-01,Sat,11/04/2015,1:45 PM,,49945,M.C.G.,WBD,19,0
2015,2015-02-02,Sat,11/04/2015,2:10 PM,,8811,Manuka Oval,GWS,45,0
2015,2015-02-03,Sat,11/04/2015,4:35 PM,,33771,Docklands,ADE,27,0
2015,2015-02-04,Sat,11/04/2015,7:20 PM,,13649,Carrara,STK,28,0
2015,2015-02-05,Sat,11/04/2015,7:10 PM,7:40 PM,48907,ADE Oval,SYD,48,0
2015,2015-02-06,Sun,12/04/2015,1:10 PM,,23723,Kardinia Park,FRE,44,0
2015,2015-02-07,Sun,12/04/2015,3:20 PM,,59866,M.C.G.,ESS,2,0
2015,2015-02-08,Sun,12/04/2015,4:40 PM,,22275,Docklands,NM,82,0
2015,2015-03-00,Fri,17/04/2015,7:50 PM,,45197,M.C.G.,COL,74,0
2015,2015-03-01,Sat,18/04/2015,1:45 PM,,54854,M.C.G.,ESS,21,0
2015,2015-03-02,Sat,18/04/2015,1:40 PM,2:10 PM,42834,ADE Oval,ADE,25,0
2015,2015-03-03,Sat,18/04/2015,4:35 PM,,31966,S.C.G.,SYD,21,0
2015,2015-03-04,Sat,18/04/2015,7:20 PM,,22586,Docklands,POR,8,0
2015,2015-03-05,Sat,18/04/2015,7:20 PM,,22441,Gabba,RIC,79,0
2015,2015-03-06,Sun,19/04/2015,1:10 PM,,15559,York Park,HAW,70,0
2015,2015-03-07,Sun,19/04/2015,3:20 PM,,20813,Kardinia Park,GEE,9,0
2015,2015-03-08,Sun,19/04/2015,2:40 PM,4:40 PM,39138,Subiaco,FRE,30,0
2015,2015-04-00,Fri,24/04/2015,7:50 PM,,58175,M.C.G.,MEL,32,0
2015,2015-04-01,Sat,25/04/2015,1:10 PM,11:10 AM,12125,Wellington,CAR,40,0
2015,2015-04-02,Sat,25/04/2015,2:40 PM,,88395,M.C.G.,COL,20,0
2015,2015-04-03,Sat,25/04/2015,5:40 PM,,6917,Manuka Oval,GWS,66,0
2015,2015-04-04,Sat,25/04/2015,7:10 PM,7:40 PM,49831,ADE Oval,POR,8,0
2015,2015-04-05,Sat,25/04/2015,6:45 PM,8:45 PM,39009,Subiaco,FRE,14,0
2015,2015-04-06,Sun,26/04/2015,1:10 PM,,16632,Gabba,WCE,53,0
2015,2015-04-07,Sun,26/04/2015,3:20 PM,,23452,Kardinia Park,NM,16,0
2015,2015-04-08,Sun,26/04/2015,4:40 PM,,19915,Docklands,WBD,57,0
2015,2015-05-00,Fri,01/05/2015,7:50 PM,,71759,M.C.G.,COL,75,0
2015,2015-05-01,Sat,02/05/2015,1:45 PM,,45228,M.C.G.,GEE,9,0
2015,2015-05-02,Sat,02/05/2015,2:10 PM,,25541,S.C.G.,WBD,4,0
2015,2015-05-03,Sat,02/05/2015,4:35 PM,,12464,Carrara,GCS,64,0
2015,2015-05-04,Sat,02/05/2015,7:25 PM,,38077,Docklands,HAW,60,0
2015,2015-05-05,Sat,02/05/2015,5:40 PM,7:40 PM,34554,Subiaco,WCE,87,0
2015,2015-05-06,Sun,03/05/2015,1:10 PM,,22892,M.C.G.,FRE,68,0
2015,2015-05-07,Sun,03/05/2015,3:20 PM,,29869,Docklands,ESS,2,0
2015,2015-05-08,Sun,03/05/2015,4:10 PM,4:40 PM,49617,ADE Oval,POR,24,0
2015,2015-06-00,Fri,08/05/2015,7:50 PM,,52152,M.C.G.,GEE,41,0
2015,2015-06-01,Sat,09/05/2015,1:45 PM,,17544,Bellerive Oval,NM,35,0
2015,2015-06-02,Sat,09/05/2015,2:10 PM,,29619,Docklands,STK,7,0
2015,2015-06-03,Sat,09/05/2015,4:35 PM,,13556,SYD Showground,GWS,10,0
2015,2015-06-04,Sat,09/05/2015,5:10 PM,,12464,Carrara,ADE,41,0
2015,2015-06-05,Sat,09/05/2015,7:20 PM,,26894,M.C.G.,SYD,38,0
2015,2015-06-06,Sat,09/05/2015,6:10 PM,8:10 PM,37535,Subiaco,FRE,28,0
2015,2015-06-07,Sun,10/05/2015,3:20 PM,,20273,Docklands,BRI,9,0
2015,2015-06-08,Sun,10/05/2015,4:10 PM,4:40 PM,37635,ADE Oval,WCE,10,0
2015,2015-07-00,Fri,15/05/2015,7:50 PM,,43972,Docklands,NM,11,0
2015,2015-07-01,Sat,16/05/2015,1:15 PM,1:45 PM,42795,ADE Oval,ADE,46,0
2015,2015-07-02,Sat,16/05/2015,2:10 PM,,41935,M.C.G.,HAW,105,0
2015,2015-07-03,Sat,16/05/2015,4:35 PM,,16676,Docklands,GWS,78,0
2015,2015-07-04,Sat,16/05/2015,7:20 PM,,28063,Stadium Australia,SYD,43,0
2015,2015-07-05,Sat,16/05/2015,5:40 PM,7:40 PM,26964,Subiaco,WCE,92,0
2015,2015-07-06,Sun,17/05/2015,1:10 PM,,18970,Docklands,FRE,13,0
2015,2015-07-07,Sun,17/05/2015,3:20 PM,,59034,M.C.G.,RIC,5,0
2015,2015-07-08,Sun,17/05/2015,4:40 PM,,15957,Gabba,BRI,37,0
2015,2015-08-00,Fri,22/05/2015,7:50 PM,,32032,Docklands,GEE,77,0
2015,2015-08-01,Sat,23/05/2015,1:45 PM,,23598,Docklands,WCE,53,0
2015,2015-08-02,Sat,23/05/2015,2:10 PM,,9481,SYD Showground,GWS,24,0
2015,2015-08-03,Sat,23/05/2015,4:35 PM,,16440,Carrara,COL,69,0
2015,2015-08-04,Sat,23/05/2015,7:20 PM,,63319,M.C.G.,SYD,4,0
2015,2015-08-05,Sat,23/05/2015,5:40 PM,7:40 PM,35836,Subiaco,FRE,73,0
2015,2015-08-06,Sun,24/05/2015,1:10 PM,,36857,Docklands,ESS,58,0
2015,2015-08-07,Sun,24/05/2015,3:20 PM,,29381,M.C.G.,MEL,39,0
2015,2015-08-08,Sun,24/05/2015,4:10 PM,4:40 PM,44451,ADE Oval,RIC,33,0
2015,2015-09-00,Fri,29/05/2015,7:50 PM,,32105,S.C.G.,SYD,60,0
2015,2015-09-01,Sat,30/05/2015,1:45 PM,,11320,York Park,HAW,53,0
2015,2015-09-02,Sat,30/05/2015,1:40 PM,2:10 PM,4866,Traeger Park,POR,61,0
2015,2015-09-03,Sat,30/05/2015,4:35 PM,,16395,Docklands,WBD,45,0
2015,2015-09-04,Sat,30/05/2015,7:20 PM,,83804,M.C.G.,RIC,13,0
2015,2015-09-05,Sat,30/05/2015,7:10 PM,7:40 PM,45009,ADE Oval,FRE,11,0
2015,2015-09-06,Sun,31/05/2015,1:10 PM,,16898,Gabba,STK,22,0
2015,2015-09-07,Sun,31/05/2015,3:20 PM,,43452,M.C.G.,COL,17,0
2015,2015-09-08,Sun,31/05/2015,2:40 PM,4:40 PM,37676,Subiaco,WCE,56,0
2015,2015-10-00,Fri,05/06/2015,6:10 PM,8:10 PM,38019,Subiaco,RIC,27,0
2015,2015-10-01,Sat,06/06/2015,1:40 PM,,32035,M.C.G.,ADE,9,0
2015,2015-10-02,Sat,06/06/2015,4:35 PM,,13068,Carrara,SYD,52,0
2015,2015-10-03,Sat,06/06/2015,7:20 PM,,40632,Docklands,GEE,69,0
2015,2015-10-04,Sat,06/06/2015,7:10 PM,7:40 PM,40907,ADE Oval,POR,38,0
2015,2015-10-05,Sun,07/06/2015,1:10 PM,,9079,SYD Showground,GWS,30,0
2015,2015-10-06,Sun,07/06/2015,3:20 PM,,12011,Bellerive Oval,NM,10,0
2015,2015-10-07,Sun,07/06/2015,4:40 PM,,33886,Docklands,HAW,63,0
2015,2015-10-08,Mon,08/06/2015,3:20 PM,,66120,M.C.G.,COL,25,0
2015,2015-11-00,Fri,12/06/2015,7:20 PM,7:50 PM,46140,ADE Oval,GEE,23,0
2015,2015-11-01,Sat,13/06/2015,1:40 PM,,8911,Carrara,FRE,7,0
2015,2015-11-02,Sat,13/06/2015,2:35 PM,4:35 PM,37306,Subiaco,WCE,50,0
2015,2015-11-03,Sat,13/06/2015,7:20 PM,,32127,Docklands,SYD,16,0
2015,2015-11-04,Sun,14/06/2015,1:10 PM,,43390,M.C.G.,COL,42,0
2015,2015-11-05,Sun,14/06/2015,4:40 PM,,25217,Docklands,STK,2,0
2015,2015-12-00,Thu,18/06/2015,7:20 PM,7:50 PM,49108,ADE Oval,HAW,29,0
2015,2015-12-01,Fri,19/06/2015,7:50 PM,,45178,M.C.G.,WCE,20,0
2015,2015-12-02,Sat,20/06/2015,1:40 PM,,27693,M.C.G.,CAR,4,0
2015,2015-12-03,Sat,20/06/2015,4:35 PM,,7824,SYD Showground,NM,56,0
2015,2015-12-04,Sat,20/06/2015,7:20 PM,,21129,Docklands,WBD,72,0
2015,2015-12-05,Sun,21/06/2015,3:20 PM,,28007,Kardinia Park,MEL,24,0
2015,2015-13-00,Thu,25/06/2015,6:10 PM,8:10 PM,37145,Subiaco,FRE,7,0
2015,2015-13-01,Fri,26/06/2015,7:50 PM,,37579,S.C.G.,RIC,18,0
2015,2015-13-02,Sat,27/06/2015,1:40 PM,,62500,M.C.G.,HAW,38,0
2015,2015-13-03,Sat,27/06/2015,4:35 PM,,18146,Gabba,ADE,13,0
2015,2015-13-04,Sat,27/06/2015,7:20 PM,,26511,Docklands,WBD,6,0
