matchid,team,score_progression,score
2015-01-00,CAR,4.7   6.9  6.12 11.12,78  
2015-01-00,RIC,2.3  7.10  9.13 15.15,105  
2015-01-01,MEL,2.5   7.7  12.9 17.13,115  
2015-01-01,GCS,1.2   3.6   8.8 13.11,89  
2015-01-02,SYD,0.1   1.7   3.8 10.12,72  
2015-01-02,ESS,4.3   5.5   9.6   9.6,60  
2015-01-03,BRI,2.3   3.5   7.6  11.8,74  
2015-01-03,COL,3.3   7.6 12.11 12.14,86  
2015-01-04,WBD,4.0   7.5  11.6 14.13,97  
2015-01-04,WCE,3.1   7.1  12.2  14.3,87  
2015-01-05,STK,3.0   5.2   7.5 11.12,78  
2015-01-05,GWS,3.5   7.9  9.12 12.15,87  
2015-01-06,ADE,6.4 12.10 15.12 21.14,140  
2015-01-06,NM,2.1   3.1   9.4   9.9,63  
2015-01-07,FRE,2.1   5.3   7.5  11.9,75  
2015-01-07,POR,2.5   5.5   7.8  10.8,68  
2015-01-08,HAW,3.3   9.7 16.13 17.21,123  
2015-01-08,GEE,4.3   5.3   6.6  8.13,61  
2015-02-00,WCE,4.1   7.8 14.10 20.11,131  
2015-02-00,CAR,6.1   6.1   7.6   9.8,62  
2015-02-01,RIC,2.3   3.6   6.8  9.12,66  
2015-02-01,WBD,3.5   5.8 10.13 12.13,85  
2015-02-02,GWS,0.2   2.6  11.8 15.11,101  
2015-02-02,MEL,4.2   7.3   7.6   8.8,56  
2015-02-03,COL,0.2   2.4   3.7   9.9,63  
2015-02-03,ADE,3.6  7.11 11.15 12.18,90  
2015-02-04,GCS,3.5   4.6  5.13 10.16,76  
2015-02-04,STK,4.3  12.5  13.8  16.8,104  
2015-02-05,POR,1.1   4.2   6.5   6.8,44  
2015-02-05,SYD,3.1   7.4  11.6  14.8,92  
2015-02-06,GEE,2.2   6.2   8.4   9.6,60  
2015-02-06,FRE,3.3   7.8  14.9 15.14,104  
2015-02-07,ESS,2.2   7.3   9.4  12.6,78  
2015-02-07,HAW,1.3   3.5   7.8 11.10,76  
2015-02-08,NM,5.3  13.5  15.9 20.13,133  
2015-02-08,BRI,3.2   4.5   5.8   7.9,51  
2015-03-00,COL,6.2  12.6 16.10 21.14,140  
2015-03-00,STK,6.3   7.4   8.6  10.6,66  
2015-03-01,CAR,2.4   5.7  7.12 11.18,84  
2015-03-01,ESS,3.4  10.4  14.6  16.9,105  
2015-03-02,ADE,3.1   5.3   9.4  12.8,80  
2015-03-02,MEL,3.4   4.6   6.9  7.13,55  
2015-03-03,SYD,4.3  10.6 14.12 16.15,111  
2015-03-03,GWS,1.6  3.13  7.15 12.18,90  
2015-03-04,NM,2.0   5.4  11.7  16.9,105  
2015-03-04,POR,3.3   8.6  12.9 17.11,113  
2015-03-05,BRI,3.1   4.5   6.7  8.10,58  
2015-03-05,RIC,4.4   8.5  13.7 21.11,137  
2015-03-06,HAW,2.3  11.6  14.7 19.13,127  
2015-03-06,WBD,2.1   6.1   8.6   8.9,57  
2015-03-07,GEE,5.3   7.6  13.8  16.9,105  
2015-03-07,GCS,6.5  8.12  9.15 13.18,96  
2015-03-08,WCE,0.4   3.5   6.7  12.9,81  
2015-03-08,FRE,9.2  14.5  16.7  17.9,111  
2015-04-00,RIC,3.5   5.9  6.13  6.15,51  
2015-04-00,MEL,4.2   6.5  10.9 12.11,83  
2015-04-01,STK,5.3   8.6  10.8  12.9,81  
2015-04-01,CAR,1.2   6.4  12.9 18.13,121  
2015-04-02,ESS,2.0   4.8  5.10  6.13,49  
2015-04-02,COL,3.2   4.9  7.12  9.15,69  
2015-04-03,GWS,4.4   8.8 12.18 16.23,119  
2015-04-03,GCS,1.2   4.6   5.8  7.11,53  
2015-04-04,POR,8.2  12.4  15.8  15.9,99  
2015-04-04,HAW,1.2   3.7   8.9 13.13,91  
2015-04-05,FRE,4.2   9.3   9.4  11.8,74  
2015-04-05,SYD,1.1   1.3   5.8  8.12,60  
2015-04-06,BRI,1.1   4.4   5.9  9.11,65  
2015-04-06,WCE,5.3   8.8 12.11 17.16,118  
2015-04-07,GEE,4.3   4.6   6.8  9.13,67  
2015-04-07,NM,1.2   5.4   7.8 12.11,83  
2015-04-08,WBD,6.5  10.9 16.14 18.17,125  
2015-04-08,ADE,1.1   5.4   5.5  10.8,68  
2015-05-00,CAR,1.1   2.3   5.6   6.9,45  
2015-05-00,COL,4.4   8.9 14.11 18.12,120  
2015-05-01,RIC,0.5   2.6   6.8 11.10,76  
2015-05-01,GEE,2.2   7.4   9.9 12.13,85  
2015-05-02,SYD,2.5   4.9  8.10 10.13,73  
2015-05-02,WBD,5.1   6.8  10.9 11.11,77  
2015-05-03,GCS,2.3   7.9 14.10 18.10,118  
2015-05-03,BRI,2.3   3.5   7.8  7.12,54  
2015-05-04,NM,3.1   4.3   7.8 10.10,70  
2015-05-04,HAW,6.4   7.8 12.13 19.16,130  
2015-05-05,WCE,4.2   9.4 12.10 18.12,120  
2015-05-05,GWS,3.4   3.4   4.8   4.9,33  
2015-05-06,MEL,2.2   5.4   6.8  6.14,50  
2015-05-06,FRE,5.3   8.6  11.8 18.10,118  
2015-05-07,STK,2.6   6.7 10.10 11.14,80  
2015-05-07,ESS,3.2   6.6  9.11 11.16,82  
2015-05-08,ADE,2.3   4.8  9.11 13.13,91  
2015-05-08,POR,5.1   8.1  12.6  18.7,115  
2015-06-00,COL,1.3   2.6   6.9  8.11,59  
2015-06-00,GEE,7.1  11.4  12.8 15.10,100  
2015-06-01,NM,3.2   6.8 13.10 16.13,109  
2015-06-01,RIC,2.1   5.8  6.11 10.14,74  
2015-06-02,WBD,3.3  10.4  11.6  13.9,87  
2015-06-02,STK,2.2   2.3   9.6 14.10,94  
2015-06-03,GWS,2.2   7.4  11.5 16.12,108  
2015-06-03,HAW,4.5   6.6  12.9 14.14,98  
2015-06-04,GCS,3.3   4.4   6.9 11.12,78  
2015-06-04,ADE,5.2   9.4  14.7 18.11,119  
2015-06-05,MEL,1.1   1.3   4.5   7.8,50  
2015-06-05,SYD,4.3   7.7  11.9 12.16,88  
2015-06-06,FRE,4.3   9.4  12.6  12.8,80  
2015-06-06,ESS,2.1   3.3   3.6  7.10,52  
2015-06-07,CAR,3.2   6.4   9.7  11.9,75  
2015-06-07,BRI,3.1   5.4  10.9 12.12,84  
2015-06-08,POR,3.4   7.6   8.6  10.8,68  
2015-06-08,WCE,3.4   4.7  8.11 11.12,78  
2015-07-00,ESS,5.0   6.3  8.10 12.10,82  
2015-07-00,NM,2.6   7.9  9.13 13.15,93  
2015-07-01,ADE,3.3   9.3  15.6 18.11,119  
2015-07-01,STK,3.3   5.8  7.12 10.13,73  
2015-07-02,HAW,6.2  10.6  18.8 24.11,155  
2015-07-02,MEL,2.0   3.3   4.6   7.8,50  
2015-07-03,CAR,2.0   4.1   8.2   9.3,57  
2015-07-03,GWS,4.4  8.10 16.15 19.21,135  
2015-07-04,SYD,4.3   8.4  11.9 18.12,120  
2015-07-04,GEE,4.4   9.7 10.10 11.11,77  
2015-07-05,WCE,3.3   7.6  19.6  21.9,135  
2015-07-05,GCS,1.1   1.2   2.6   6.7,43  
2015-07-06,WBD,1.0   4.3   8.4  14.4,88  
2015-07-06,FRE,5.3   7.6  11.8 15.11,101  
2015-07-07,RIC,1.2   9.5  12.6  16.9,105  
2015-07-07,COL,4.4   7.5  12.7 15.10,100  
2015-07-08,BRI,1.2   7.6  11.8 15.12,102  
2015-07-08,POR,2.3   3.9  6.13  8.17,65  
2015-08-00,GEE,6.1  11.5  18.6  22.8,140  
2015-08-00,CAR,2.4   5.7   8.8   9.9,63  
2015-08-01,STK,1.2   6.4  10.5  12.6,78  
2015-08-01,WCE,7.3   8.4  15.6 20.11,131  
2015-08-02,GWS,6.4   8.7 16.10 16.12,108  
2015-08-02,ADE,3.3   5.5   9.6 12.12,84  
2015-08-03,GCS,1.3   6.5   6.7   9.9,63  
2015-08-03,COL,5.2  10.4  15.8 20.12,132  
2015-08-04,HAW,0.4   4.9  8.11  9.15,69  
2015-08-04,SYD,5.1   7.4   8.7  11.7,73  
2015-08-05,FRE,5.3   9.8 13.11 17.13,115  
2015-08-05,NM,1.1   4.4   5.6  5.12,42  
2015-08-06,ESS,5.2   9.5  16.9 21.10,136  
2015-08-06,BRI,5.3   8.6  10.6  12.6,78  
2015-08-07,MEL,3.3   7.5 10.10 15.13,103  
2015-08-07,WBD,2.3   3.9   8.9  9.10,64  
2015-08-08,POR,0.3   3.6  4.10  5.13,43  
2015-08-08,RIC,3.4   7.5   7.5 11.10,76  
2015-09-00,SYD,5.2   9.4  15.8  19.8,122  
2015-09-00,CAR,1.4   2.4   5.5   9.8,62  
2015-09-01,HAW,3.0   6.4  12.7  14.9,93  
2015-09-01,GCS,2.1   4.2   5.3   6.4,40  
2015-09-02,MEL,3.2   6.2   7.3   8.6,54  
2015-09-02,POR,1.2   8.4  12.6  18.7,115  
2015-09-03,WBD,8.1  10.5 13.12 16.17,113  
2015-09-03,GWS,2.0   5.0   7.0  11.2,68  
2015-09-04,RIC,3.2   5.6  7.10 10.12,72  
2015-09-04,ESS,1.4   3.7   6.8  8.11,59  
2015-09-05,ADE,3.4   4.9  7.12  7.15,57  
2015-09-05,FRE,3.1   4.3   9.4  10.8,68  
2015-09-06,BRI,7.1   8.2  11.6  13.8,86  
2015-09-06,STK,2.3   9.6  12.9 16.12,108  
2015-09-07,COL,1.2   4.3  13.5 17.10,112  
2015-09-07,NM,4.4  10.6  10.9 14.11,95  
2015-09-08,WCE,2.6  4.17  9.21 16.24,120  
2015-09-08,GEE,3.1   5.2   9.3  10.4,64  
2015-10-00,FRE,3.1   5.2   8.5 10.10,70  
2015-10-00,RIC,8.1  12.3  13.4  15.7,97  
2015-10-01,CAR,4.1   6.2  11.3  14.6,90  
2015-10-01,ADE,6.3   8.9 10.13 14.15,99  
2015-10-02,GCS,2.2   2.6   4.8  5.11,41  
2015-10-02,SYD,5.5   9.8 10.11 13.15,93  
2015-10-03,ESS,0.5   0.6   3.9  7.11,53  
