year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2010,2010-01-00,Thu,25/03/2010,7:10 PM,6:10 PM,72010,M.C.G.,CAR,56,0
2010,2010-01-01,Fri,26/03/2010,7:40 PM,6:40 PM,57772,M.C.G.,GEE,31,0
2010,2010-01-02,Sat,27/03/2010,2:10 PM,1:10 PM,45615,M.C.G.,HAW,56,0
2010,2010-01-03,Sat,27/03/2010,7:10 PM,6:10 PM,31330,Stadium Australia,STK,8,0
2010,2010-01-04,Sat,27/03/2010,7:10 PM,,29201,Gabba,BRI,32,0
2010,2010-01-05,Sun,28/03/2010,12:40 PM,12:10 PM,21205,Football Park,POR,14,0
2010,2010-01-06,Sun,28/03/2010,2:10 PM,1:10 PM,49000,Docklands,COL,36,0
2010,2010-01-07,Sun,28/03/2010,5:10 PM,7:10 PM,30976,Subiaco,FRE,56,0
2010,2010-02-00,Thu,01/04/2010,7:40 PM,,36780,Gabba,BRI,19,0
2010,2010-02-01,Sat,03/04/2010,2:10 PM,1:10 PM,50421,M.C.G.,COL,1,0
2010,2010-02-02,Sat,03/04/2010,7:10 PM,6:10 PM,32006,Docklands,STK,104,0
2010,2010-02-03,Sat,03/04/2010,5:40 PM,7:40 PM,37010,Subiaco,POR,3,0
2010,2010-02-04,Sun,04/04/2010,12:40 PM,1:10 PM,36041,Football Park,SYD,43,0
2010,2010-02-05,Sun,04/04/2010,2:10 PM,,29651,Docklands,FRE,44,0
2010,2010-02-06,Sun,04/04/2010,4:40 PM,,27358,M.C.G.,WBD,72,0
2010,2010-02-07,Mon,05/04/2010,2:10 PM,,68628,M.C.G.,GEE,9,0
2010,2010-03-00,Fri,09/04/2010,7:40 PM,,49669,Docklands,STK,28,0
2010,2010-03-01,Sat,10/04/2010,2:10 PM,,18394,Docklands,NM,25,0
2010,2010-03-02,Sat,10/04/2010,2:40 PM,3:10 PM,23306,Football Park,BRI,27,0
2010,2010-03-03,Sat,10/04/2010,7:10 PM,,71006,M.C.G.,ESS,20,0
2010,2010-03-04,Sat,10/04/2010,7:10 PM,,28414,S.C.G.,SYD,55,0
2010,2010-03-05,Sun,11/04/2010,1:10 PM,,23335,M.C.G.,MEL,16,0
