Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Anthony, John	88	92	94	84	80	91		90	91	89	84	88	82	78	82	91	89	82	79	80	85	84	87	86	79	85.6/2467:45
Barham, Jaxson				82	88	85	84										81	83								83.9/601:54
Beams, Dayne		73	75	61	72	57		62					69	62	61	69	64	72	63	72	78	71	69		64	67.4/1453:31
Brown, Leigh		50	89	63	63	79	73	71	78	83	75	92	68	78	66	71	92	100	93	97	100		90	51	76	78.1/2157:40
Brown, Nathan	93	89	100	100	84	83	89	92	100	100	18		100	100		87										88.3/1498:35
Bryan, Chris	59																									59.0/72:24
Clarke, Martin	90	87	95	93	99	100	85	95	79	91	88	94														91.4/1324:14
Cloke, Travis	90	95	94	86	79	93	72				81	99	84	93	96	93	91	78	82	86	88	89	92	89	80	87.7/2315:25
Cook, Ryan								78	84																	81.0/196:58
Corrie, Anthony						70	86	66																		74.0/271:37
Cox, Shannon	94	97	100	96	83			84	84	81	92	100	67													88.8/1180:48
Davis, Leon	76	82	68	76	80	86		76	81	92	83	80		78	80	83	87	79	69	93	86	91	91	87	85	82.1/2263:50
Dawes, Chris													80				73		75	76						76.1/365:36
Dick, Brad		72	64						86	77	77	64	79	78	73	68			69	62	68	75		83	70	72.8/1404:47
Didak, Alan	89	84	87	68						68	84	79	84	81	81	77	84	87	80	81	77	75	81	75	85	80.4/1923:37
Fraser, Josh	69	75	88	84	86	80	60		64	73	86	69	79	83	79						69	58	77			75.3/1538:37
Goldsack, Tyson	88			91	86				82				92	94	81			94	87			87		94	94	89.1/1287:32
Johnson, Ben	81	82	10												75	77	67	78	72	74	86	85	92	70	76	73.1/1221:36
Lockyer, Tarkyn	85	77	80	86	81	88	94	87	93	87	87	92	87	81	80	91	85	81	83	75	77	83	86	83	83	84.5/2537:01
Lumumba, Heritier	100	97	100	100	100	98	100	88	97	100	98	100	94	100	100	98	100	100	100	100	100	100	98	100	100	98.7/2963:09
Macaffer, Brent					83	85	91																	73	69	80.2/488:24
Maxwell, Nick	81	90	100			100	100	100	100	100	83	100	91	93	100	100	95	100	93	93	100	100	100	100	100	96.5/2665:11
McCarthy, John																						58	68			62.9/146:56
Medhurst, Paul	71	79	83	52	77	24							68	80	69	71	67	80	76	80	73	81	80	63		70.6/1524:32
OBree, Shane	62	71	70	80	66	72	71	82	78	78	89	84	75	73	72	74	64	70	64	73	70	74	72	78	81	73.8/2214:52
Pendlebury, Scott	66	59	70	76	77	87	83	77	86	72	76	2		71	76	75	75	78	75	75	72		24			69.3/1744:15
Prestigiacomo, Simon	100	100	100	100	100	100	100	99	100	99	100	100	100	100	100	81	100	20	100	97	100	100	100	100	100	95.9/2877:22
Reid, Ben	70							86																		77.9/189:46
Rocca, Anthony				84	68		84																79			78.7/374:21
Shaw, Heath		79	68				81	79	74	80	88	92	90	86	96	98	96	100	96	96	94	92	92	97	97	89.1/2240:59
Sidebottom, Steele							60	63	60	53	70	70					76	67					80	80	63	67.3/882:28
Stanley, Danny							78																			78.0/95:38
Swan, Dane	81	80	76	77	71	78	71	83	84	80	91	84	82	86	85	79	82	82	86	75	81	81	78	87	78	80.7/2422:09
Thomas, Dale	79		89	80	82	72	58			63	79	76	62	58	72	70	65	87	79	76	69	73	75	67	70	72.8/1924:15
Toovey, Alan	87	90		83	94	99	97	92	85	98	97	97	93	71	92	94	92	100	97	93	86	93	90	92	96	92.0/2651:34
Wellingham, Sharrod						72	84	79	63	76	74	76	73	77	84	76				61	73	84		69	80	75.0/1455:13
Wood, Cameron								73	54	60		62				75	75	83	81	85	69	65		77	74	71.8/1116:11
Totals																										
Opponent	AD	ME	GE	BL	ES	NM	SK	CA	WC	PA	ME	SY	FR	ES	WB	HW	CA	BL	AD	RI	SY	WB	SK	AD	GE	
