matchid,team,score_progression,score
2014-01-00,COL,2.4   2.8  3.13  5.16,46  
2014-01-00,FRE,2.3   8.7 14.10 17.14,116  
2014-01-01,GWS,4.1   7.1   9.5  15.9,99  
2014-01-01,SYD,6.2   7.8   9.8  9.13,67  
2014-01-02,GCS,5.4   6.7  7.13 12.15,87  
2014-01-02,RIC,3.1   5.6   6.7  10.9,69  
2014-01-03,CAR,4.4   8.8 11.13 12.15,87  
2014-01-03,POR,1.0   7.5  11.7 18.12,120  
2014-01-04,GEE,6.0  11.3  12.7 18.11,119  
2014-01-04,ADE,5.3   9.5  11.8  12.9,81  
2014-01-05,NM,3.0   5.3   8.5   9.6,60  
2014-01-05,ESS,4.1   8.5  11.8  15.9,99  
2014-01-06,HAW,3.3   7.6  13.8 21.13,139  
2014-01-06,BRI,2.4   3.8  8.13 13.13,91  
2014-01-07,STK,1.3   4.5   8.6  10.8,68  
2014-01-07,MEL,2.2  2.10  4.11  6.15,51  
2014-01-08,WCE,4.2   9.4  13.6  21.8,134  
2014-01-08,WBD,2.1   3.1   5.3  11.3,69  
2014-02-00,RIC,6.3  10.6 12.12 14.14,98  
2014-02-00,CAR,2.4   5.5   9.7 12.14,86  
2014-02-01,ESS,1.5   3.7  9.10 12.14,86  
2014-02-01,HAW,4.1   9.3   9.7 13.12,90  
2014-02-02,STK,5.0   8.1  12.4  15.5,95  
2014-02-02,GWS,4.2   9.3  11.5 13.10,88  
2014-02-03,POR,5.4   7.8 12.11 19.13,127  
2014-02-03,ADE,1.0   5.2   8.5  11.7,73  
2014-02-04,FRE,4.1   5.5   8.9 12.15,87  
2014-02-04,GCS,2.1   3.5   4.8   5.9,39  
2014-02-05,SYD,3.1   7.2   9.7  10.9,69  
2014-02-05,COL,1.2   5.5  9.10 12.17,89  
2014-02-06,BRI,0.3   4.4   7.6  10.8,68  
2014-02-06,GEE,1.4   5.7 10.12 13.15,93  
2014-02-07,MEL,0.1   1.3   2.4   4.6,30  
2014-02-07,WCE,6.5  10.7 14.10 18.15,123  
2014-02-08,WBD,0.3   2.3   5.4   8.6,54  
2014-02-08,NM,2.2   2.5   6.8 12.11,83  
2014-03-00,HAW,6.2  12.5  17.7 21.11,137  
2014-03-00,FRE,1.2   2.8  5.10 11.13,79  
2014-03-01,WBD,5.4   9.5  11.9 15.10,100  
2014-03-01,RIC,2.4   3.4   9.6  15.8,98  
2014-03-02,ADE,2.2   5.7  9.10  9.17,71  
2014-03-02,SYD,6.2   9.2  14.5  21.8,134  
2014-03-03,GCS,2.2   5.6 12.10 17.12,114  
2014-03-03,BRI,1.2   3.4   6.4   9.7,61  
2014-03-04,WCE,3.2   5.4   8.8 12.11,83  
2014-03-04,STK,1.5   6.6   7.8  8.10,58  
2014-03-05,COL,0.4   6.7   8.9 11.10,76  
2014-03-05,GEE,3.5   6.7  9.12 12.15,87  
2014-03-06,GWS,1.2   2.7  5.12 10.19,79  
2014-03-06,MEL,0.2   1.5   5.5   7.5,47  
2014-03-07,NM,3.2   7.3  9.11 14.13,97  
2014-03-07,POR,4.3   6.8  11.9 13.12,90  
2014-03-08,ESS,6.3  10.6  16.8 21.12,138  
2014-03-08,CAR,0.3   3.4   6.8   8.9,57  
2014-04-00,RIC,1.4   2.7  3.10 10.12,72  
2014-04-00,COL,4.3   7.5 10.10 16.14,110  
2014-04-01,CAR,3.4   5.9  6.11  7.16,58  
2014-04-01,MEL,3.2   6.7  10.8  12.9,81  
2014-04-02,POR,4.4  10.9 18.13 24.15,159  
2014-04-02,BRI,3.2   4.3   5.3   7.4,46  
2014-04-03,GWS,5.3   8.7  11.8 12.11,83  
2014-04-03,WBD,1.1   5.5  10.6  17.8,110  
2014-04-04,GEE,4.3  10.4  13.9 16.11,107  
2014-04-04,WCE,4.1   4.2   4.5   4.8,32  
2014-04-05,GCS,4.4   6.4   7.5   7.7,49  
2014-04-05,HAW,6.4  11.7  16.9 23.10,148  
2014-04-06,SYD,2.1   3.7   4.9  6.12,48  
2014-04-06,NM,3.4   4.7  7.10 13.13,91  
2014-04-07,STK,2.2   3.2   6.6   7.8,50  
2014-04-07,ADE,4.4  9.10 15.14 20.16,136  
2014-04-08,FRE,2.1   6.3  13.4  18.5,113  
2014-04-08,ESS,2.1   4.2   5.4   9.6,60  
2014-05-00,BRI,0.1   3.2   7.6   9.9,63  
2014-05-00,RIC,2.8  4.10  9.13 15.16,106  
2014-05-01,COL,5.4  10.6  11.9 13.15,93  
2014-05-01,NM,2.3   5.3   5.7  8.10,58  
2014-05-02,SYD,2.1   5.7 11.10 13.14,92  
2014-05-02,FRE,2.2   2.4   8.6  11.9,75  
2014-05-03,WCE,2.5   5.8  6.12  7.14,56  
2014-05-03,POR,3.5   5.6   7.7 10.10,70  
2014-05-04,ESS,5.0   5.2   7.7  9.11,65  
2014-05-04,STK,1.6   4.8  8.11 11.15,81  
2014-05-05,ADE,4.0  11.6  16.8 21.11,137  
2014-05-05,GWS,2.2   3.5   7.9 10.12,72  
