Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	SF	PF	GF	Tot
Anderson, Greg	5	6	3	2			3	9	3	5	4	3	6	5	11	2	3	6	4	4	2	6	1	6	-	99
Antrobus, Tony	3				1						-	2					11	4	1		3					25
Barnes, John														4	2											6
Bewick, Darren	2	3	3	4	5	-	1	1	-	6	-	-	3	5	7	2	4	1	4	2	1	7	5	1	1	68
Burns, Adrian					4	2					-				6	4					5	2	-			23
Considine, Ed	4	2									1			1	4	3										15
Cransberg, Peter	2	-	3	6	3	2	5	5	9	6	3	1	6	5	6	2	7	2	7	5	7	1	6	3	2	104
Daniher, Anthony	1	1	7	3	5	2	1	3	5	4	1	2	3	-							3	12	5	4	6	68
Daniher, Chris											3	-										3		3	2	11
Daniher, Neale			2	3		-	2										4	4				7				22
Daniher, Terry			5	4	5	8	3	4	3	4	11	8	6	9	13	11	9	3	6	6	9	7	4	7	7	152
Duckworth, Bill				5						-										2	1					8
Ezard, Alan	5	4		4	1	1	2	4	1	5	2	6	6	4	2	1	4	1	5	1			1	5	1	66
Flood, David				3												3										6
Grenvold, David	2	2			3	-	2	9	1	4	3	4	4	5	4	1	3	2	-	2	1	2	4	2	4	64
Hamilton, Paul	5	4	3	6	3	3	2	4	6	1	3	2	8	8	2	1	2	1	2	-	4	5	2	5	2	84
Harvey, Mark										6	4	9	10	5	2		7		4	1	1		5	4	1	59
Johnston, David																	2	4	1	1	1	1				10
Kickett, Derek	2	1	2	11	4	7	2	5	5	1			2	5	5	4	5	5					1	2	4	73
Long, Michael	5	4	6	3	1	2	-	4	1	5	-	1	4	1	4	1	1	1	1	-	1	4	4	2	2	58
Madden, Simon	6	5	-	7	2			2	10	9	8	5	3	4	2	2	4	6	5	5	7	7	3	12	2	116
Manning, Andrew	6	3	6	7	4	5	3	2	5	12			3	7	3	6	3			3			3	5		86
McMullin, Ian									3	4		1	3									2				13
Moore, Brendan			2										1													3
OBrien, Craig			5	5			2	5	1											3	3	-				24
ODonnell, Gary	2	1	5	3	2	1	1	2	1	-	1	2	8	5	8	2	5	3	3	2	3	4	1	2	2	69
Plain, Bradley	-	2	-			4																				6
Salmon, Paul	5	6	7	11	7	12	9	6		7	14	6	11			7	10	7	7	5	6		12	9	7	171
Somerville, Peter						7	2															4			2	15
Sporn, Kieran		3	3		1	5	2	4	-									2	1	6	7	13		6	5	58
Stubbs, Justin																	2									2
Thompson, Mark	7	6	2	7	3	3		2	6	3	8	9	4	3	3	7	8	1	7	3	3	4	3	8	4	114
Underwood, Andrew					1																					1
Vander Haar, Paul	8	10	7					1	5	10	1	2	4	3	8	3	3		3				7	5	2	82
Walsh, Kevin							1	2	3									5	1	-		2	1			15
Watson, Tim	4	1	4	3	8	5	3	6	8	9	3	4	4	5	11	2		2	2				-	6	3	93
Werner, Michael	5	4		3	2	2	1					6		4	2	3		5	3	4	1					45
Totals	79	68	75	100	65	71	47	80	76	101	70	73	99	88	105	67	97	65	67	55	69	93	68	97	59	1934
Opponent	FI	HW	ME	RI	GE	CW	CA	FO	SK	SY	WC	NM	BB	FI	HW	ME	RI	GE	CW	CA	FO	SK	CW	WC	CW	
