Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	SF	PF	GF	Tot
Anderson, Greg	23	27	14	7			9	25	18	24	22	17	19	27	31	20	23	12	21	13	12	30	12	21	4	431
Antrobus, Tony	26				6						5	10					20	6	9		18					100
Barnes, John														6	3											9
Bewick, Darren	11	10	13	19	17	4	16	12	4	15	6	9	15	22	16	10	23	15	19	16	14	19	16	8	9	338
Burns, Adrian					3	5					3				10	5					6	5	1			38
Considine, Ed	8	7									9			4	12	9										49
Cransberg, Peter	11	2	12	13	12	7	18	13	13	14	10	9	13	9	19	7	14	10	18	14	16	3	10	11	4	282
Daniher, Anthony	7	5	9	7	6	6	14	6	8	6	5	6	6	-							4	12	8	8	17	140
Daniher, Chris											9	-										12		11	9	41
Daniher, Neale			6	10		9	7										12	10				7				61
Daniher, Terry			11	16	16	15	6	5	12	9	19	13	12	18	17	17	9	8	7	11	12	9	12	21	7	282
Duckworth, Bill				10						4										8	8					30
Ezard, Alan	12	16		11	8	17	18	19	22	17	13	19	18	14	10	9	19	8	16	4			17	16	18	321
Flood, David				3												9										12
Grenvold, David	9	9			7	6	8	17	6	12	10	10	7	9	9	7	11	9	6	10	13	11	4	7	13	210
Hamilton, Paul	7	8	9	11	7	9	5	9	12	3	8	8	12	17	3	4	2	3	6	3	5	3	7	3	6	170
Harvey, Mark										10	11	22	25	23	4		17		9	3	3		15	13	8	163
Johnston, David																	5	10	10	12	12	5				54
Kickett, Derek	13	4	8	13	12	16	11	12	8	3			6	8	15	7	17	7					7	10	15	192
Long, Michael	14	13	15	9	6	9	8	12	4	9	3	5	15	10	15	12	3	6	11	6	10	5	7	9	5	221
Madden, Simon	6	7	8	8	4			5	6	12	13	8	11	8	6	6	10	8	14	8	14	7	7	15	4	195
Manning, Andrew	6	5	10	8	15	5	8	1	10	11			4	12	5	7	4			9			4	4		128
McMullin, Ian									12	13		6	7									10				48
Moore, Brendan			8										1													9
OBrien, Craig			15	14			10	13	2											8	13	7				82
ODonnell, Gary	23	9	13	21	20	12	10	16	14	11	11	18	10	16	16	17	12	12	14	14	14	10	7	13	13	346
Plain, Bradley	4	15	8			13																				40
Salmon, Paul	6	9	12	15	16	15	16	12		11	15	14	12			6	13	9	12	12	10		13	13	8	249
Somerville, Peter						9	5															6			1	21
Sporn, Kieran		16	8		7	11	10	18	3									15	6	9	10	23		12	17	165
Stubbs, Justin																	8									8
Thompson, Mark	13	10	15	15	9	9		12	12	12	19	15	16	14	15	12	17	13	18	9	14	10	14	16	12	321
Underwood, Andrew					4																					4
Vander Haar, Paul	16	14	5					2	8	21	4	6	5	5	18	11	12		3				9	6	5	150
Walsh, Kevin							8	3	8									8	5	6		7	1			46
Watson, Tim	9	17	9	12	16	12	8	13	18	11	15	15	13	14	18	10		12	1				8	16	15	262
Werner, Michael	8	9		7	3	3	5					10		9	4	7		8	5	7	1					86
Totals	232	212	208	229	194	192	200	225	200	228	210	220	227	245	246	192	251	189	210	182	209	201	179	233	190	5304
Opponent	FI	HW	ME	RI	GE	CW	CA	FO	SK	SY	WC	NM	BB	FI	HW	ME	RI	GE	CW	CA	FO	SK	CW	WC	CW	
