Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	SF	PF	GF	Tot
Anderson, Greg	27	31	18	9			16	31	23	27	26	22	24	32	40	22	28	17	24	14	15	34	17	25	4	526
Antrobus, Tony	27				6						11	15					27	9	14		20					129
Barnes, John														10	7											17
Bewick, Darren	15	11	19	24	21	6	19	22	5	20	7	14	16	29	22	14	30	17	22	24	15	31	20	15	12	450
Burns, Adrian					4	6					4				17	10					10	9	2			62
Considine, Ed	11	8									13			8	18	10										68
Cransberg, Peter	14	2	17	20	14	13	22	17	17	18	13	9	19	17	25	10	23	13	23	17	18	6	15	14	7	383
Daniher, Anthony	11	6	12	13	10	9	18	7	15	9	6	7	9	-							4	27	12	11	18	204
Daniher, Chris											13	-										24		16	12	65
Daniher, Neale			15	15		13	9										19	11				8				90
Daniher, Terry			15	23	21	18	10	11	16	17	24	21	18	26	27	22	21	8	14	22	18	15	20	25	12	424
Duckworth, Bill				13						4										14	10					41
Ezard, Alan	16	17		17	13	22	20	23	30	23	15	22	22	15	17	12	25	12	18	5			18	17	19	398
Flood, David				8												11										19
Grenvold, David	14	13			9	15	22	30	15	19	18	17	18	22	15	9	18	14	10	16	20	24	8	11	16	373
Hamilton, Paul	14	12	15	18	13	13	14	19	21	8	10	10	20	25	6	7	9	5	10	6	15	9	10	8	8	305
Harvey, Mark										12	14	27	29	28	5		19		10	3	3		16	13	10	189
Johnston, David																	21	20	18	19	16	9				103
Kickett, Derek	22	7	14	27	17	26	13	16	24	5			15	17	24	13	29	8					9	20	17	323
Long, Michael	26	20	17	16	13	18	14	17	7	19	11	14	31	23	24	21	7	7	21	15	14	16	9	15	10	405
Madden, Simon	9	8	11	13	4			6	13	13	13	10	15	10	11	7	13	10	17	11	17	10	12	21	7	261
Manning, Andrew	23	16	23	18	27	15	18	6	23	25			13	22	15	12	10			16			14	8		304
McMullin, Ian									15	15		13	9									16				68
Moore, Brendan			13										2													15
OBrien, Craig			16	16			11	20	7											13	16	10				109
ODonnell, Gary	25	14	23	27	24	17	14	22	26	18	16	24	16	29	25	23	28	18	19	18	20	15	11	16	16	504
Plain, Bradley	5	18	12			19																				54
Salmon, Paul	9	9	15	19	18	19	18	14		13	20	20	18			10	19	10	15	13	10		20	17	10	316
Somerville, Peter						11	10															9			3	33
Sporn, Kieran		18	12		10	17	14	23	4									17	7	12	13	30		15	18	210
Stubbs, Justin																	8									8
Thompson, Mark	22	17	27	25	15	9		15	28	21	23	27	28	21	29	14	29	24	28	16	26	15	20	25	15	519
Underwood, Andrew					7																					7
Vander Haar, Paul	17	18	9					4	14	31	6	6	8	5	22	14	19		4				10	9	6	202
Walsh, Kevin							10	4	12									16	6	11		12	3			74
Watson, Tim	15	29	16	16	24	23	9	21	29	20	22	22	21	23	27	16		20	2				17	22	24	418
Werner, Michael	9	10		7	6	3	6					13		12	5	8		8	7	11	2					107
Totals	331	284	319	344	276	292	287	328	344	337	285	313	351	374	381	265	402	264	289	276	282	329	263	323	244	7783
Opponent	FI	HW	ME	RI	GE	CW	CA	FO	SK	SY	WC	NM	BB	FI	HW	ME	RI	GE	CW	CA	FO	SK	CW	WC	CW	
