Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	SF	PF	GF	Tot
Anderson, Greg	2	1	-	-			4	2	1	1	1	-	-	2	3	1	-	-	1	-	1	1	-	3	-	24
Antrobus, Tony	1				-						3	-					2	2	4		1					13
Barnes, John														-	1											1
Bewick, Darren	-	2	2	-	2	2	2	-	1	3	-	-	1	2	1	1	2	2	-	1	-	1	1	4	-	30
Burns, Adrian					3	1					1				4	1					-	2	2			14
Considine, Ed	-	1									-			-	2	1										4
Cransberg, Peter	-	-	1	1	-	-	-	-	-	-	-	-	1	1	1	-	-	-	1	-	-	1	2	-	-	9
Daniher, Anthony	-	3	2	-	-	4	-	1	-	4	2	1	-	-							-	2	1	-	1	21
Daniher, Chris											4	-										5		3	7	19
Daniher, Neale			1	-		1	-										-	-				-				2
Daniher, Terry			-	2	1	1	-	1	-	1	-	-	-	1	-	4	-	-	-	-	-	-	3	-	1	15
Duckworth, Bill				-						-										-	2					2
Ezard, Alan	1	1		4	2	3	2	2	-	2	2	1	2	2	1	-	2	1	4	-			4	4	2	42
Flood, David				-												-										
Grenvold, David	1	3			2	1	1	2	3	-	-	-	-	1	1	1	3	1	2	-	-	3	1	3	2	31
Hamilton, Paul	-	1	3	-	3	-	-	2	1	2	-	3	2	1	-	-	4	-	-	1	-	1	-	1	3	28
Harvey, Mark										1	-	1	-	2	1		2		1	1	1		-	2	1	13
Johnston, David																	1	4	1	3	3	2				14
Kickett, Derek	1	-	1	1	2	1	1	2	1	-			2	-	3	1	1	-					2	1	2	22
Long, Michael	6	4	4	1	1	1	1	1	1	2	1	-	1	3	2	2	4	-	1	2	1	1	1	8	2	51
Madden, Simon	-	-	2	1	-			-	1	2	-	1	-	2	-	1	1	1	2	-	1	-	1	3	3	22
Manning, Andrew	2	3	1	1	5	2	4	-	5	-			3	1	2	3	2			1			2	-		37
McMullin, Ian									-	-		1	-									-				1
Moore, Brendan			3										-													3
OBrien, Craig			3	2			3	-	2											-	1	2				13
ODonnell, Gary	2	2	-	3	4	1	-	-	-	1	1	1	1	3	3	1	-	-	-	-	1	1	1	5	1	32
Plain, Bradley	4	3	-			-																				7
Salmon, Paul	1	-	1	1	-	-	-	-		-	1	-	3			1	2	1	-	-	-		-	-	-	11
Somerville, Peter						-	2															1			1	4
Sporn, Kieran		1	3		2	3	-	-	3									3	1	4	2	1		2	-	25
Stubbs, Justin																	-									
Thompson, Mark	-	-	-	1	4	-		-	-	1	-	1	-	2	-	-	2	5	1	5	2	1	1	2	-	28
Underwood, Andrew					2																					2
Vander Haar, Paul	1	2	1					1	1	-	-	3	-	2	-	1	2		1				4	1	-	20
Walsh, Kevin							1	-	-									1	1	-		1	-			4
Watson, Tim	1	-	3	-	-	1	1	1	3	-	1	1	-	1	4	3		1	-				3	1	1	26
Werner, Michael	-	-		-	1	-	-					-		1	1	1		2	1	-	-					7
Totals	23	27	31	18	34	22	22	15	23	20	17	14	16	27	30	23	30	24	22	18	16	26	29	43	27	597
Opponent	FI	HW	ME	RI	GE	CW	CA	FO	SK	SY	WC	NM	BB	FI	HW	ME	RI	GE	CW	CA	FO	SK	CW	WC	CW	
