Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	SF	PF	GF	Tot
Anderson, Greg	4	4	4	2			7	6	5	3	4	5	5	5	9	2	5	5	3	1	3	4	5	4	-	95
Antrobus, Tony	1				-						6	5					7	3	5		2					29
Barnes, John														4	4											8
Bewick, Darren	4	1	6	5	4	2	3	10	1	5	1	5	1	7	6	4	7	2	3	8	1	12	4	7	3	112
Burns, Adrian					1	1					1				7	5					4	4	1			24
Considine, Ed	3	1									4			4	6	1										19
Cransberg, Peter	3	-	5	7	2	6	4	4	4	4	3	-	6	8	6	3	9	3	5	3	2	3	5	3	3	101
Daniher, Anthony	4	1	3	6	4	3	4	1	7	3	1	1	3	-							-	15	4	3	1	64
Daniher, Chris											4	-										12		5	3	24
Daniher, Neale			9	5		4	2										7	1				1				29
Daniher, Terry			4	7	5	3	4	6	4	8	5	8	6	8	10	5	12	-	7	11	6	6	8	4	5	142
Duckworth, Bill				3						-										6	2					11
Ezard, Alan	4	1		6	5	5	2	4	8	6	2	3	4	1	7	3	6	4	2	1			1	1	1	77
Flood, David				5												2										7
Grenvold, David	5	4			2	9	14	13	9	7	8	7	11	13	6	2	7	5	4	6	7	13	4	4	3	163
Hamilton, Paul	7	4	6	7	6	4	9	10	9	5	2	2	8	8	3	3	7	2	4	3	10	6	3	5	2	135
Harvey, Mark										2	3	5	4	5	1		2		1	-	-		1	-	2	26
Johnston, David																	16	10	8	7	4	4				49
Kickett, Derek	9	3	6	14	5	10	2	4	16	2			9	9	9	6	12	1					2	10	2	131
Long, Michael	12	7	2	7	7	9	6	5	3	10	8	9	16	13	9	9	4	1	10	9	4	11	2	6	5	184
Madden, Simon	3	1	3	5	-			1	7	1	-	2	4	2	5	1	3	2	3	3	3	3	5	6	3	66
Manning, Andrew	17	11	13	10	12	10	10	5	13	14			9	10	10	5	6			7			10	4		176
McMullin, Ian									3	2		7	2									6				20
Moore, Brendan			5										1													6
OBrien, Craig			1	2			1	7	5											5	3	3				27
ODonnell, Gary	2	5	10	6	4	5	4	6	12	7	5	6	6	13	9	6	16	6	5	4	6	5	4	3	3	158
Plain, Bradley	1	3	4			6																				14
Salmon, Paul	3	-	3	4	2	4	2	2		2	5	6	6			4	6	1	3	1	-		7	4	2	67
Somerville, Peter						2	5															3			2	12
Sporn, Kieran		2	4		3	6	4	5	1									2	1	3	3	7		3	1	45
Stubbs, Justin																	-									
Thompson, Mark	9	7	12	10	6	-		3	16	9	4	12	12	7	14	2	12	11	10	7	12	5	6	9	3	198
Underwood, Andrew					3																					3
Vander Haar, Paul	1	4	4					2	6	10	2	-	3	-	4	3	7		1				1	3	1	52
Walsh, Kevin							2	1	4									8	1	5		5	2			28
Watson, Tim	6	12	7	4	8	11	1	8	11	9	7	7	8	9	9	6		8	1				9	6	9	156
Werner, Michael	1	1		-	3	-	1					3		3	1	1		-	2	4	1					21
Totals	99	72	111	115	82	100	87	103	144	109	75	93	124	129	135	73	151	75	79	94	73	128	84	90	54	2479
Opponent	FI	HW	ME	RI	GE	CW	CA	FO	SK	SY	WC	NM	BB	FI	HW	ME	RI	GE	CW	CA	FO	SK	CW	WC	CW	
