matchid,team,score_progression,score
2012-01-00,GWS,1.2   3.3   3.4   5.7,37  
2012-01-00,SYD,4.1   8.4  13.8 14.16,100  
2012-01-01,RIC,3.4   5.6  10.7  12.9,81  
2012-01-01,CAR,3.2   8.7 11.13 18.17,125  
2012-01-02,HAW,2.1  10.6 14.10 20.17,137  
2012-01-02,COL,2.7   7.9 12.16 16.19,115  
2012-01-03,MEL,3.3   7.4   8.8 11.12,78  
2012-01-03,BRI,1.4   7.8 13.13 17.17,119  
2012-01-04,GCS,3.1   5.3   8.6  10.8,68  
2012-01-04,ADE,7.8 11.10 15.16 19.23,137  
2012-01-05,FRE,6.0   8.3  12.8  16.9,105  
2012-01-05,GEE,4.0   9.2  12.7 15.11,101  
2012-01-06,NM,4.3   8.5 10.10 15.12,102  
2012-01-06,ESS,3.2   9.8 13.14 14.20,104  
2012-01-07,WBD,4.3   8.5 10.11 12.15,87  
2012-01-07,WCE,6.2  10.6  16.9 21.10,136  
2012-01-08,POR,5.2   8.6  11.9 13.11,89  
2012-01-08,STK,2.1   9.3  11.4  13.7,85  
2012-02-00,BRI,6.1   7.6   7.7   9.9,63  
2012-02-00,CAR,5.5  10.9 16.10 23.16,154  
2012-02-01,ESS,5.2  10.6 11.13 16.15,111  
2012-02-01,POR,5.2   7.3  12.5  13.8,86  
2012-02-02,SYD,4.4   9.7  11.9 14.10,94  
2012-02-02,FRE,2.2   3.3   9.4  12.9,81  
2012-02-03,WCE,4.3  11.8 19.14 25.16,166  
2012-02-03,MEL,1.1   4.2   6.2   9.4,58  
2012-02-04,ADE,4.4   7.8  7.11 11.16,82  
2012-02-04,WBD,1.4   3.7   7.9  9.10,64  
2012-02-05,COL,2.8  5.10 11.12 12.13,85  
2012-02-05,RIC,1.6  2.10  4.13  8.16,64  
2012-02-06,NM,7.4  12.8  20.9 28.15,183  
2012-02-06,GWS,0.3   0.4   6.6   8.6,54  
2012-02-07,STK,5.2   8.7 15.10 21.13,139  
2012-02-07,GCS,0.2   2.2   6.4   7.5,47  
2012-02-08,GEE,4.1   7.3  10.7  14.8,92  
2012-02-08,HAW,3.4   8.6  13.7 13.12,90  
2012-03-00,CAR,7.1   9.7 15.11 18.14,122  
2012-03-00,COL,3.2   6.3   8.6   9.8,62  
2012-03-01,RIC,4.4   6.8 15.11 20.13,133  
2012-03-01,MEL,2.3   5.6   6.6  11.8,74  
2012-03-02,POR,3.3   5.6   9.9 12.11,83  
2012-03-02,SYD,5.2   8.4  10.6  16.9,105  
2012-03-03,FRE,1.4   4.7  6.13  8.16,64  
2012-03-03,BRI,2.1   3.2   5.3   5.5,35  
2012-03-04,GCS,2.3   7.5  12.7 13.10,88  
2012-03-04,ESS,5.6  7.10 10.12 15.15,105  
2012-03-05,WBD,1.2   1.5   2.6  5.10,40  
2012-03-05,STK,4.5   6.6  13.9 15.13,103  
2012-03-06,GWS,2.0   4.1   6.5  10.9,69  
2012-03-06,WCE,11.4  15.8  21.9 23.12,150  
2012-03-07,HAW,5.3  10.7  15.9 21.14,140  
2012-03-07,ADE,4.3   6.8  9.10 12.12,84  
2012-03-08,NM,4.5   9.5  16.8 20.11,131  
2012-03-08,GEE,1.3   5.8  9.14 16.18,114  
2012-04-00,STK,4.3   6.9  8.10 11.13,79  
2012-04-00,FRE,3.2   6.3  11.6  14.8,92  
2012-04-01,CAR,4.4   4.7  5.12 11.13,79  
2012-04-01,ESS,3.6  8.11 12.17 15.19,109  
2012-04-02,COL,7.5   8.8 13.11 14.13,97  
2012-04-02,POR,2.2   5.7   8.8 10.13,73  
2012-04-03,ADE,5.4   7.8 10.13 13.18,96  
2012-04-03,GWS,1.1   5.3   6.6   7.8,50  
2012-04-04,WCE,0.8  0.12  2.16  5.21,51  
2012-04-04,HAW,0.4   2.7  3.13  5.16,46  
2012-04-05,BRI,3.3   7.4  12.5  17.9,111  
2012-04-05,GCS,2.4   5.8   5.9  6.10,46  
