year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2012,2012-01-00,Sat,24/03/2012,7:20 PM,6:20 PM,38203,Stadium Australia,SYD,63,0
2012,2012-01-01,Thu,29/03/2012,7:45 PM,6:45 PM,78285,M.C.G.,CAR,44,0
2012,2012-01-02,Fri,30/03/2012,7:50 PM,6:50 PM,78466,M.C.G.,HAW,22,0
2012,2012-01-03,Sat,31/03/2012,1:45 PM,12:45 PM,33473,M.C.G.,BRI,41,0
2012,2012-01-04,Sat,31/03/2012,3:45 PM,,12790,Carrara,ADE,69,0
2012,2012-01-05,Sat,31/03/2012,4:45 PM,6:45 PM,34601,Subiaco,FRE,4,0
2012,2012-01-06,Sat,31/03/2012,7:45 PM,6:45 PM,45818,Docklands,ESS,2,0
2012,2012-01-07,Sun,01/04/2012,1:10 PM,,24977,Docklands,WCE,49,0
2012,2012-01-08,Sun,01/04/2012,4:10 PM,4:40 PM,21179,Football Park,POR,4,0
2012,2012-02-00,Thu,05/04/2012,7:40 PM,,25913,Gabba,CAR,91,0
2012,2012-02-01,Sat,07/04/2012,1:45 PM,,34118,Docklands,ESS,25,0
2012,2012-02-02,Sat,07/04/2012,2:10 PM,,22242,S.C.G.,SYD,13,0
2012,2012-02-03,Sat,07/04/2012,2:40 PM,4:40 PM,35674,Subiaco,WCE,108,0
2012,2012-02-04,Sat,07/04/2012,7:10 PM,7:40 PM,34021,Football Park,ADE,18,0
2012,2012-02-05,Sat,07/04/2012,7:40 PM,,57268,M.C.G.,COL,21,0
2012,2012-02-06,Sun,08/04/2012,1:10 PM,,11127,Bellerive Oval,NM,129,0
2012,2012-02-07,Sun,08/04/2012,4:40 PM,,21078,Docklands,STK,92,0
2012,2012-02-08,Mon,09/04/2012,3:10 PM,,69231,M.C.G.,GEE,2,0
2012,2012-03-00,Fri,13/04/2012,7:50 PM,,84259,M.C.G.,CAR,60,0
2012,2012-03-01,Sat,14/04/2012,1:45 PM,,49826,M.C.G.,RIC,59,0
2012,2012-03-02,Sat,14/04/2012,1:40 PM,2:10 PM,19032,Football Park,SYD,22,0
2012,2012-03-03,Sat,14/04/2012,2:40 PM,4:40 PM,33473,Subiaco,FRE,29,0
2012,2012-03-04,Sat,14/04/2012,7:40 PM,,17069,Carrara,ESS,17,0
2012,2012-03-05,Sat,14/04/2012,7:40 PM,,28971,Docklands,STK,63,0
2012,2012-03-06,Sun,15/04/2012,1:10 PM,,6875,Blacktown,WCE,81,0
2012,2012-03-07,Sun,15/04/2012,3:15 PM,,33524,M.C.G.,HAW,56,0
2012,2012-03-08,Sun,15/04/2012,4:40 PM,,29630,Docklands,NM,17,0
2012,2012-04-00,Fri,20/04/2012,7:50 PM,,30172,Docklands,FRE,13,0
2012,2012-04-01,Sat,21/04/2012,1:45 PM,,73172,M.C.G.,ESS,30,0
2012,2012-04-02,Sat,21/04/2012,2:10 PM,,30741,Docklands,COL,24,0
2012,2012-04-03,Sat,21/04/2012,4:10 PM,4:40 PM,28261,Football Park,ADE,46,0
2012,2012-04-04,Sat,21/04/2012,5:40 PM,7:40 PM,40080,Subiaco,WCE,5,0
2012,2012-04-05,Sat,21/04/2012,7:40 PM,,21980,Gabba,BRI,65,0
2012,2012-04-06,Sun,22/04/2012,1:10 PM,,21952,Kardinia Park,GEE,10,0
2012,2012-04-07,Sun,22/04/2012,3:15 PM,,21049,S.C.G.,SYD,36,0
2012,2012-04-08,Sun,22/04/2012,4:40 PM,,33565,M.C.G.,WBD,21,0
2012,2012-05-00,Wed,25/04/2012,2:40 PM,,86932,M.C.G.,COL,1,0
2012,2012-05-01,Fri,27/04/2012,6:45 PM,8:45 PM,38847,Subiaco,CAR,8,0
2012,2012-05-02,Sat,28/04/2012,1:45 PM,,9128,Manuka Oval,WBD,42,0
2012,2012-05-03,Sat,28/04/2012,4:40 PM,,17680,Docklands,NM,34,0
2012,2012-05-04,Sat,28/04/2012,7:40 PM,,24877,M.C.G.,STK,18,0
2012,2012-05-05,Sat,28/04/2012,7:45 PM,,15534,Gabba,GEE,38,0
2012,2012-05-06,Sun,29/04/2012,1:10 PM,,19217,York Park,SYD,37,0
2012,2012-05-07,Sun,29/04/2012,3:15 PM,,28464,Docklands,WCE,10,0
2012,2012-05-08,Sun,29/04/2012,4:10 PM,4:40 PM,41649,Football Park,ADE,19,0
2012,2012-06-00,Fri,04/05/2012,7:50 PM,,38155,Docklands,COL,21,0
2012,2012-06-01,Sat,05/05/2012,1:40 PM,,36361,Docklands,ESS,67,0
2012,2012-06-02,Sat,05/05/2012,1:45 PM,,18010,Kardinia Park,GEE,43,0
2012,2012-06-03,Sat,05/05/2012,4:40 PM,,11670,Carrara,FRE,7,0
2012,2012-06-04,Sat,05/05/2012,7:40 PM,,23969,S.C.G.,ADE,5,0
2012,2012-06-05,Sat,05/05/2012,7:40 PM,,42290,M.C.G.,HAW,35,0
2012,2012-06-06,Sun,06/05/2012,1:10 PM,,28213,Docklands,CAR,67,0
2012,2012-06-07,Sun,06/05/2012,2:45 PM,3:15 PM,18522,Football Park,RIC,37,0
2012,2012-06-08,Sun,06/05/2012,2:40 PM,4:40 PM,37202,Subiaco,WCE,25,0
2012,2012-07-00,Fri,11/05/2012,7:50 PM,,36430,M.C.G.,HAW,66,0
2012,2012-07-01,Sat,12/05/2012,12:45 PM,1:15 PM,35535,Football Park,ADE,50,0
2012,2012-07-02,Sat,12/05/2012,1:40 PM,,8603,Manuka Oval,GWS,27,0
2012,2012-07-03,Sat,12/05/2012,4:40 PM,,40352,M.C.G.,RIC,29,0
2012,2012-07-04,Sat,12/05/2012,7:40 PM,,27926,Gabba,COL,58,0
2012,2012-07-05,Sat,12/05/2012,7:40 PM,,43260,Docklands,ESS,61,0
2012,2012-07-06,Sun,13/05/2012,1:10 PM,,20885,Docklands,WBD,18,0
2012,2012-07-07,Sun,13/05/2012,2:40 PM,4:40 PM,30079,Subiaco,FRE,40,0
2012,2012-07-08,Mon,14/05/2012,7:40 PM,,38823,Docklands,STK,24,0
2012,2012-08-00,Fri,18/05/2012,7:50 PM,,75650,M.C.G.,COL,12,0
2012,2012-08-01,Sat,19/05/2012,1:15 PM,1:45 PM,14508,Football Park,POR,2,0
2012,2012-08-02,Sat,19/05/2012,2:10 PM,,12959,York Park,HAW,56,0
2012,2012-08-03,Sat,19/05/2012,4:40 PM,,20818,S.C.G.,SYD,101,0
2012,2012-08-04,Sat,19/05/2012,7:10 PM,7:40 PM,8724,Marrara Oval,WBD,38,0
2012,2012-08-05,Sat,19/05/2012,7:50 PM,,80900,M.C.G.,ESS,19,0
2012,2012-08-06,Sun,20/05/2012,1:10 PM,,16049,Gabba,BRI,92,0
2012,2012-08-07,Sun,20/05/2012,3:15 PM,,35917,Docklands,ADE,69,0
2012,2012-08-08,Sun,20/05/2012,2:40 PM,4:40 PM,38174,Subiaco,WCE,30,0
2012,2012-09-00,Fri,25/05/2012,7:50 PM,,29118,Docklands,GEE,20,0
2012,2012-09-01,Sat,26/05/2012,1:45 PM,,51617,M.C.G.,RIC,62,0
2012,2012-09-02,Sat,26/05/2012,2:10 PM,,12416,Carrara,POR,48,0
2012,2012-09-03,Sat,26/05/2012,4:40 PM,,34737,Docklands,STK,28,0
2012,2012-09-04,Sat,26/05/2012,7:10 PM,7:40 PM,44238,Football Park,COL,26,0
2012,2012-09-05,Sat,26/05/2012,7:40 PM,,11887,SYD Showground,ESS,66,0
2012,2012-09-06,Sun,27/05/2012,1:10 PM,,19988,Docklands,NM,16,0
2012,2012-09-07,Sun,27/05/2012,3:15 PM,,28371,M.C.G.,CAR,58,0
2012,2012-09-08,Sun,27/05/2012,2:40 PM,4:40 PM,40905,Subiaco,WCE,48,0
2012,2012-10-00,Fri,01/06/2012,7:50 PM,,49337,Docklands,RIC,8,0
2012,2012-10-01,Sat,02/06/2012,1:45 PM,,17243,Kardinia Park,GEE,65,0
2012,2012-10-02,Sat,02/06/2012,2:10 PM,,16143,York Park,HAW,115,0
2012,2012-10-03,Sat,02/06/2012,2:40 PM,4:40 PM,31392,Subiaco,ADE,29,0
2012,2012-10-04,Sat,02/06/2012,7:10 PM,7:40 PM,24746,Football Park,POR,54,0
2012,2012-10-05,Sat,02/06/2012,7:40 PM,,42987,M.C.G.,MEL,6,0
2012,2012-10-06,Sun,03/06/2012,1:10 PM,,15546,Gabba,BRI,2,0
2012,2012-10-07,Sun,03/06/2012,3:15 PM,,13505,S.C.G.,SYD,92,0
2012,2012-10-08,Sun,03/06/2012,4:40 PM,,36913,M.C.G.,COL,97,0
2012,2012-11-00,Fri,08/06/2012,7:50 PM,,47632,Docklands,GEE,12,0
2012,2012-11-01,Sat,09/06/2012,1:40 PM,,43801,M.C.G.,FRE,12,0
2012,2012-11-02,Sat,09/06/2012,4:40 PM,,12534,Carrara,STK,95,0
2012,2012-11-03,Sat,09/06/2012,7:40 PM,,42785,Docklands,SYD,4,0
2012,2012-11-04,Sun,10/06/2012,4:10 PM,4:40 PM,26638,Football Park,HAW,46,0
2012,2012-11-05,Mon,11/06/2012,3:15 PM,,64250,M.C.G.,COL,42,0
2012,2012-12-00,Thu,14/06/2012,5:40 PM,7:40 PM,34224,Subiaco,WCE,10,0
2012,2012-12-01,Fri,15/06/2012,8:10 PM,8:40 PM,36394,Football Park,ADE,4,0
2012,2012-12-02,Sat,16/06/2012,2:10 PM,,7538,SYD Showground,RIC,12,0
2012,2012-12-03,Sat,16/06/2012,7:40 PM,,10170,Carrara,NM,7,0
2012,2012-12-04,Sun,17/06/2012,1:10 PM,,35492,M.C.G.,HAW,65,0
2012,2012-12-05,Sun,17/06/2012,4:40 PM,,16036,Docklands,WBD,38,0
2012,2012-13-00,Fri,22/06/2012,7:50 PM,,27400,S.C.G.,SYD,6,0
2012,2012-13-01,Sat,23/06/2012,1:40 PM,,20146,Docklands,BRI,58,0
2012,2012-13-02,Sat,23/06/2012,4:40 PM,,62957,M.C.G.,COL,3,0
2012,2012-13-03,Sat,23/06/2012,5:40 PM,7:40 PM,34567,Subiaco,ESS,24,0
2012,2012-13-04,Sun,24/06/2012,3:15 PM,,20070,M.C.G.,MEL,78,0
2012,2012-13-05,Sun,24/06/2012,4:40 PM,,18866,Docklands,NM,32,0
2012,2012-14-00,Fri,29/06/2012,7:50 PM,,65047,M.C.G.,HAW,50,0
2012,2012-14-01,Sat,30/06/2012,1:45 PM,,44891,M.C.G.,COL,29,0
2012,2012-14-02,Sat,30/06/2012,1:40 PM,2:10 PM,33780,Football Park,ADE,19,0
2012,2012-14-03,Sat,30/06/2012,2:40 PM,4:40 PM,34592,Subiaco,WCE,126,0
2012,2012-14-04,Sat,30/06/2012,7:40 PM,,40824,Docklands,ESS,84,0
2012,2012-14-05,Sat,30/06/2012,7:40 PM,,22565,Stadium Australia,SYD,94,0
2012,2012-14-06,Sun,01/07/2012,1:10 PM,,13736,Kardinia Park,GEE,38,0
2012,2012-14-07,Sun,01/07/2012,3:15 PM,,22144,Gabba,BRI,61,0
2012,2012-14-08,Sun,01/07/2012,4:40 PM,,33106,Docklands,NM,33,0
2012,2012-15-00,Fri,06/07/2012,7:50 PM,,75890,M.C.G.,CAR,23,0
2012,2012-15-01,Sat,07/07/2012,1:45 PM,,14113,Bellerive Oval,WCE,2,0
