2013-01-00|Fri 22-Mar-2013 8:10 PM (7:40 PM) Att:42218 Venue: Football Park|Essendon won by 35 pts
2013-01-01|Sat 23-Mar-2013 4:40 PM (6:40 PM) Att:39629 Venue: Subiaco|Fremantle won by 28 pts
2013-01-02|Thu 28-Mar-2013 7:45 PM (6:45 PM) Att:80971 Venue: M.C.G.|Richmond won by 5 pts
2013-01-03|Sat 30-Mar-2013 1:40 PM (12:40 PM) Att:25263 Venue: Docklands|Western Bulldogs won by 68 pts
2013-01-04|Sat 30-Mar-2013 4:40 PM (3:40 PM) Att:23690 Venue: Stadium Australia|Sydney won by 30 pts
2013-01-05|Sat 30-Mar-2013 6:45 PM Att:13832 Venue: Carrara|Gold Coast won by 13 pts
2013-01-06|Sun 31-Mar-2013 1:10 PM (12:10 PM) Att:22924 Venue: M.C.G.|Port Adelaide won by 79 pts
2013-01-07|Sun 31-Mar-2013 4:40 PM (3:40 PM) Att:41040 Venue: Docklands|Collingwood won by 16 pts
2013-01-08|Mon 01-Apr-2013 3:20 PM (2:20 PM) Att:76300 Venue: M.C.G.|Geelong won by 7 pts
2013-02-00|Fri 05-Apr-2013 7:50 PM (6:50 PM) Att:56783 Venue: M.C.G.|Richmond won by 17 pts
2013-02-01|Sat 06-Apr-2013 1:45 PM (12:45 PM) Att:20372 Venue: S.C.G.|Sydney won by 41 pts
2013-02-02|Sat 06-Apr-2013 2:10 PM (1:10 PM) Att:19210 Venue: Docklands|Fremantle won by 28 pts
2013-02-03|Sat 06-Apr-2013 3:40 PM Att:21308 Venue: Gabba|Adelaide won by 19 pts
2013-02-04|Sat 06-Apr-2013 7:10 PM (6:40 PM) Att:25122 Venue: Football Park|Port Adelaide won by 56 pts
2013-02-05|Sat 06-Apr-2013 7:40 PM (6:40 PM) Att:51153 Venue: M.C.G.|Essendon won by 148 pts
2013-02-06|Sun 07-Apr-2013 1:10 PM Att:34152 Venue: Docklands|Geelong won by 4 pts
2013-02-07|Sun 07-Apr-2013 3:20 PM Att:84247 Venue: M.C.G.|Collingwood won by 17 pts
2013-02-08|Sun 07-Apr-2013 2:40 PM (4:40 PM) Att:38389 Venue: Subiaco|Hawthorn won by 50 pts
2013-03-00|Fri 12-Apr-2013 6:40 PM (8:40 PM) Att:35963 Venue: Subiaco|Essendon won by 4 pts
2013-03-01|Sat 13-Apr-2013 1:45 PM Att:13223 Venue: Bellerive Oval|Sydney won by 39 pts
2013-03-02|Sat 13-Apr-2013 2:10 PM Att:18571 Venue: M.C.G.|West Coast won by 94 pts
