1995-01-00|Fri 31-Mar-1995 8:10 PM Att:24882 Venue: M.C.G.|North Melbourne won by 3 pts
1995-01-01|Sat 01-Apr-1995 2:10 PM Att:14653 Venue: Waverley Park|Hawthorn won by 57 pts
1995-01-02|Sat 01-Apr-1995 2:10 PM Att:17869 Venue: Western Oval|Essendon won by 74 pts
1995-01-03|Sat 01-Apr-1995 2:10 PM Att:26219 Venue: M.C.G.|Richmond won by 5 pts
1995-01-04|Sat 01-Apr-1995 2:10 PM Att:22707 Venue: Kardinia Park|Geelong won by 14 pts
1995-01-05|Sun 02-Apr-1995 2:10 PM Att:87119 Venue: M.C.G.|Carlton won by 29 pts
1995-01-06|Sun 02-Apr-1995 2:10 PM Att:19189 Venue: Western Oval|Footscray won by 17 pts
1995-01-07|Sun 02-Apr-1995 2:15 PM (4:15 PM) Att:28083 Venue: W.A.C.A.|West Coast won by 46 pts
1995-02-00|Fri 07-Apr-1995 8:40 PM (10:40 PM) Att:23688 Venue: W.A.C.A.|Essendon won by 9 pts
1995-02-01|Sat 08-Apr-1995 2:10 PM Att:16586 Venue: Princes Park|Carlton won by 69 pts
1995-02-02|Sat 08-Apr-1995 2:10 PM Att:18136 Venue: Waverley Park|Footscray won by 24 pts
1995-02-03|Sat 08-Apr-1995 2:10 PM Att:25010 Venue: M.C.G.|North Melbourne won by 19 pts
1995-02-04|Sun 09-Apr-1995 1:15 PM Att:9334 Venue: Gabba|Brisbane Bears won by 27 pts
1995-02-05|Sun 09-Apr-1995 2:10 PM Att:33129 Venue: M.C.G.|West Coast won by 4 pts
1995-02-06|Sun 09-Apr-1995 2:10 PM Att:26037 Venue: Waverley Park|Richmond won by 26 pts
1995-02-07|Sun 09-Apr-1995 4:15 PM Att:12973 Venue: S.C.G.|Geelong won by 5 pts
1995-03-00|Sat 15-Apr-1995 2:10 PM Att:41576 Venue: M.C.G.|Carlton won by 98 pts
1995-03-01|Sat 15-Apr-1995 2:10 PM Att:27057 Venue: Kardinia Park|Geelong won by 27 pts
1995-03-02|Sat 15-Apr-1995 2:10 PM Att:7561 Venue: Western Oval|Fremantle won by 43 pts
1995-03-03|Sat 15-Apr-1995 8:40 PM (10:40 PM) Att:31303 Venue: W.A.C.A.|West Coast won by 48 pts
1995-03-04|Sun 16-Apr-1995 2:10 PM Att:24820 Venue: Waverley Park|Richmond won by 6 pts
1995-03-05|Sun 16-Apr-1995 2:15 PM Att:8460 Venue: Gabba|Brisbane Bears won by 5 pts
1995-03-06|Sun 16-Apr-1995 5:45 PM (6:15 PM) Att:38046 Venue: Football Park|Adelaide won by 66 pts
1995-03-07|Mon 17-Apr-1995 2:10 PM Att:60057 Venue: M.C.G.|Essendon won by 16 pts
1995-04-00|Fri 21-Apr-1995 8:40 PM (10:40 PM) Att:26455 Venue: W.A.C.A.|Fremantle won by 19 pts
1995-04-01|Sat 22-Apr-1995 2:10 PM Att:24972 Venue: Waverley Park|Hawthorn won by 36 pts
1995-04-02|Sat 22-Apr-1995 7:40 PM Att:10762 Venue: S.C.G.|Sydney won by 32 pts
1995-04-03|Sun 23-Apr-1995 1:15 PM Att:12009 Venue: Gabba|Carlton won by 37 pts
1995-04-04|Sun 23-Apr-1995 2:10 PM Att:16969 Venue: Princes Park|Footscray won by 23 pts
1995-04-05|Sun 23-Apr-1995 4:25 PM (4:55 PM) Att:42723 Venue: Football Park|Adelaide won by 10 pts
1995-04-06|Mon 24-Apr-1995 8:10 PM Att:62606 Venue: M.C.G.|Richmond won by 49 pts
1995-04-07|Tue 25-Apr-1995 2:10 PM Att:94825 Venue: M.C.G.|Match drawn
1995-05-00|Sat 29-Apr-1995 2:10 PM Att:24379 Venue: M.C.G.|Richmond won by 20 pts
1995-05-01|Sat 29-Apr-1995 2:10 PM Att:19644 Venue: Kardinia Park|Geelong won by 89 pts
1995-05-02|Sat 29-Apr-1995 2:10 PM Att:16800 Venue: Western Oval|Footscray won by 2 pts
1995-05-03|Sat 29-Apr-1995 8:40 PM (10:40 PM) Att:30294 Venue: W.A.C.A.|West Coast won by 16 pts
1995-05-04|Sun 30-Apr-1995 2:10 PM Att:42729 Venue: M.C.G.|Carlton won by 34 pts
1995-05-05|Sun 30-Apr-1995 2:10 PM Att:40715 Venue: Waverley Park|Hawthorn won by 59 pts
1995-05-06|Sun 30-Apr-1995 2:10 PM Att:17930 Venue: Princes Park|Essendon won by 116 pts
1995-05-07|Sun 30-Apr-1995 2:15 PM Att:15491 Venue: S.C.G.|Sydney won by 57 pts
1995-06-00|Fri 05-May-1995 8:40 PM (9:10 PM) Att:40406 Venue: Football Park|Adelaide won by 8 pts
1995-06-01|Sat 06-May-1995 2:10 PM Att:24527 Venue: Princes Park|Carlton won by 23 pts
1995-06-02|Sat 06-May-1995 2:10 PM Att:59954 Venue: M.C.G.|Richmond won by 12 pts
1995-06-03|Sat 06-May-1995 2:10 PM Att:15440 Venue: Waverley Park|Fitzroy won by 11 pts
1995-06-04|Sat 06-May-1995 2:10 PM Att:20749 Venue: Western Oval|Geelong won by 88 pts
1995-06-05|Sun 07-May-1995 2:10 PM Att:17646 Venue: Princes Park|Essendon won by 28 pts
1995-06-06|Sun 07-May-1995 2:10 PM Att:32207 Venue: M.C.G.|North Melbourne won by 47 pts
1995-06-07|Sun 07-May-1995 2:15 PM (4:15 PM) Att:22804 Venue: W.A.C.A.|Fremantle won by 58 pts
