1993-01-00|Fri 26-Mar-1993 8:08 PM Att:58997 Venue: M.C.G.|Collingwood won by 20 pts
1993-01-01|Sat 27-Mar-1993 2:00 PM Att:8653 Venue: M.C.G.|North Melbourne won by 23 pts
1993-01-02|Sat 27-Mar-1993 2:00 PM Att:23433 Venue: Princes Park|Fitzroy won by 6 pts
1993-01-03|Sat 27-Mar-1993 2:00 PM Att:25098 Venue: Waverley Park|Hawthorn won by 23 pts
1993-01-04|Sat 27-Mar-1993 2:08 PM Att:24337 Venue: Kardinia Park|Geelong won by 24 pts
1993-01-05|Sun 28-Mar-1993 2:08 PM Att:18473 Venue: M.C.G.|Adelaide won by 94 pts
1993-01-06|Sun 28-Mar-1993 2:15 PM (4:15 PM) Att:34361 Venue: Subiaco|West Coast won by 13 pts
1993-02-00|Fri 02-Apr-1993 7:38 PM Att:14497 Venue: M.C.G.|Richmond won by 46 pts
1993-02-01|Sat 03-Apr-1993 2:00 PM Att:49856 Venue: M.C.G.|Match drawn
1993-02-02|Sat 03-Apr-1993 2:00 PM Att:13076 Venue: Princes Park|Footscray won by 8 pts
1993-02-03|Sat 03-Apr-1993 2:00 PM Att:23554 Venue: Waverley Park|St Kilda won by 7 pts
1993-02-04|Sat 03-Apr-1993 2:08 PM Att:24147 Venue: Victoria Park|Collingwood won by 10 pts
1993-02-05|Sun 04-Apr-1993 2:15 PM Att:10144 Venue: S.C.G.|Hawthorn won by 57 pts
1993-02-06|Sun 04-Apr-1993 5:38 PM (6:08 PM) Att:46258 Venue: Football Park|Adelaide won by 15 pts
1993-03-00|Sat 10-Apr-1993 2:00 PM Att:18265 Venue: Princes Park|Footscray won by 3 pts
1993-03-01|Sat 10-Apr-1993 2:08 PM Att:25351 Venue: Waverley Park|St Kilda won by 38 pts
1993-03-02|Sun 11-Apr-1993 1:15 PM Att:12821 Venue: Gabba|Brisbane Bears won by 2 pts
1993-03-03|Sun 11-Apr-1993 2:08 PM (4:08 PM) Att:31110 Venue: Subiaco|West Coast won by 44 pts
1993-03-04|Mon 12-Apr-1993 2:00 PM Att:33274 Venue: Princes Park|Carlton won by 2 pts
1993-03-05|Mon 12-Apr-1993 2:00 PM Att:23428 Venue: Kardinia Park|North Melbourne won by 24 pts
1993-03-06|Mon 12-Apr-1993 2:08 PM Att:87638 Venue: M.C.G.|Collingwood won by 30 pts
1993-04-00|Fri 16-Apr-1993 8:38 PM (9:08 PM) Att:45671 Venue: Football Park|Adelaide won by 1 pt
1993-04-01|Sat 17-Apr-1993 2:00 PM Att:31492 Venue: Waverley Park|Geelong won by 46 pts
1993-04-02|Sat 17-Apr-1993 2:00 PM Att:24362 Venue: M.C.G.|North Melbourne won by 29 pts
1993-04-03|Sat 17-Apr-1993 2:08 PM Att:28350 Venue: Victoria Park|St Kilda won by 22 pts
1993-04-04|Sun 18-Apr-1993 1:15 PM Att:9023 Venue: S.C.G.|Essendon won by 86 pts
1993-04-05|Sun 18-Apr-1993 2:08 PM (4:08 PM) Att:30032 Venue: Subiaco|West Coast won by 52 pts
1993-05-00|Fri 23-Apr-1993 7:38 PM Att:35113 Venue: M.C.G.|North Melbourne won by 37 pts
1993-05-01|Sat 24-Apr-1993 2:08 PM Att:26923 Venue: Western Oval|Footscray won by 46 pts
1993-05-02|Sat 24-Apr-1993 2:08 PM Att:10257 Venue: Princes Park|Fitzroy won by 93 pts
1993-05-03|Sun 25-Apr-1993 2:00 PM Att:51211 Venue: Waverley Park|Carlton won by 45 pts
1993-05-04|Sun 25-Apr-1993 2:08 PM Att:17011 Venue: M.C.G.|Melbourne won by 9 pts
1993-05-05|Sun 25-Apr-1993 2:15 PM Att:12996 Venue: Gabba|Geelong won by 1 pt
1993-06-00|Fri 30-Apr-1993 7:38 PM Att:33933 Venue: M.C.G.|Melbourne won by 93 pts
1993-06-01|Fri 30-Apr-1993 8:38 PM (9:08 PM) Att:46689 Venue: Football Park|Hawthorn won by 17 pts
1993-06-02|Sat 01-May-1993 2:08 PM Att:46588 Venue: M.C.G.|Essendon won by 24 pts
1993-06-03|Sat 01-May-1993 2:08 PM Att:9230 Venue: Princes Park|North Melbourne won by 124 pts
1993-06-04|Sun 02-May-1993 1:15 PM Att:9893 Venue: Gabba|Brisbane Bears won by 27 pts
1993-06-05|Sun 02-May-1993 2:08 PM Att:86196 Venue: M.C.G.|Collingwood won by 36 pts
1993-06-06|Sun 02-May-1993 4:08 PM (6:08 PM) Att:32579 Venue: Subiaco|West Coast won by 41 pts
1993-07-00|Sat 08-May-1993 2:00 PM Att:14375 Venue: Waverley Park|Hawthorn won by 43 pts
1993-07-01|Sat 08-May-1993 2:00 PM Att:13498 Venue: Princes Park|Fitzroy won by 1 pt
1993-07-02|Sat 08-May-1993 2:00 PM Att:20942 Venue: Western Oval|North Melbourne won by 31 pts
1993-07-03|Sat 08-May-1993 2:00 PM Att:29296 Venue: M.C.G.|Richmond won by 32 pts
1993-07-04|Sat 08-May-1993 2:08 PM Att:25854 Venue: Victoria Park|Collingwood won by 25 pts
1993-07-05|Sun 09-May-1993 2:08 PM Att:23697 Venue: Kardinia Park|West Coast won by 8 pts
1993-07-06|Sun 09-May-1993 2:15 PM Att:9214 Venue: S.C.G.|Carlton won by 44 pts
1993-08-00|Fri 14-May-1993 8:38 PM (10:38 PM) Att:28506 Venue: W.A.C.A.|Fitzroy won by 18 pts
1993-08-01|Sat 15-May-1993 2:00 PM Att:24133 Venue: Princes Park|Footscray won by 28 pts
1993-08-02|Sat 15-May-1993 2:00 PM Att:43886 Venue: Waverley Park|Essendon won by 58 pts
1993-08-03|Sat 15-May-1993 2:08 PM Att:29880 Venue: Victoria Park|Collingwood won by 18 pts
1993-08-04|Sun 16-May-1993 2:00 PM Att:25224 Venue: Kardinia Park|Geelong won by 50 pts
1993-08-05|Sun 16-May-1993 2:15 PM Att:8916 Venue: Gabba|Brisbane Bears won by 162 pts
1993-08-06|Sun 16-May-1993 5:38 PM (6:08 PM) Att:45562 Venue: Football Park|Adelaide won by 2 pts
1993-09-00|Fri 21-May-1993 8:08 PM Att:44833 Venue: M.C.G.|North Melbourne won by 38 pts
1993-09-01|Sat 22-May-1993 2:00 PM Att:24442 Venue: Princes Park|Fitzroy won by 19 pts
1993-09-02|Sat 22-May-1993 2:00 PM Att:17458 Venue: Western Oval|Footscray won by 64 pts
1993-09-03|Sat 22-May-1993 2:00 PM Att:20316 Venue: Waverley Park|Hawthorn won by 10 pts
1993-09-04|Sat 22-May-1993 2:08 PM Att:34372 Venue: M.C.G.|Essendon won by 46 pts
1993-09-05|Sun 23-May-1993 2:08 PM Att:22032 Venue: M.C.G.|Melbourne won by 13 pts
1993-09-06|Sun 23-May-1993 2:15 PM Att:9594 Venue: S.C.G.|Geelong won by 25 pts
1993-10-00|Fri 28-May-1993 8:08 PM Att:50567 Venue: M.C.G.|Essendon won by 4 pts
1993-10-01|Sat 29-May-1993 2:00 PM Att:23702 Venue: Princes Park|Carlton won by 54 pts
1993-10-02|Sat 29-May-1993 2:00 PM Att:19397 Venue: Western Oval|Hawthorn won by 70 pts
1993-10-03|Sat 29-May-1993 2:00 PM Att:17781 Venue: M.C.G.|Richmond won by 29 pts
1993-10-04|Sat 29-May-1993 2:08 PM Att:29779 Venue: Victoria Park|North Melbourne won by 83 pts
1993-10-05|Sat 29-May-1993 2:08 PM Att:19918 Venue: Waverley Park|West Coast won by 2 pts
1993-10-06|Sun 30-May-1993 2:15 PM Att:12395 Venue: Gabba|Adelaide won by 37 pts
1993-11-00|Sat 12-Jun-1993 2:00 PM Att:11366 Venue: Princes Park|Richmond won by 26 pts
1993-11-01|Sat 12-Jun-1993 2:08 PM Att:11748 Venue: Waverley Park|St Kilda won by 55 pts
1993-11-02|Sat 12-Jun-1993 2:08 PM Att:37119 Venue: M.C.G.|Carlton won by 29 pts
1993-11-03|Sun 13-Jun-1993 1:15 PM Att:8794 Venue: S.C.G.|West Coast won by 57 pts
1993-11-04|Sun 13-Jun-1993 3:38 PM (4:08 PM) Att:44979 Venue: Football Park|Adelaide won by 45 pts
1993-11-05|Mon 14-Jun-1993 2:00 PM Att:57833 Venue: M.C.G.|Melbourne won by 51 pts
1993-11-06|Mon 14-Jun-1993 2:08 PM Att:47295 Venue: Waverley Park|Essendon won by 30 pts
1993-12-00|Fri 18-Jun-1993 8:38 PM (10:38 PM) Att:30183 Venue: W.A.C.A.|North Melbourne won by 6 pts
1993-12-01|Sat 19-Jun-1993 2:00 PM Att:44094 Venue: M.C.G.|Melbourne won by 34 pts
1993-12-02|Sat 19-Jun-1993 2:00 PM Att:11797 Venue: Western Oval|Footscray won by 25 pts
1993-12-03|Sat 19-Jun-1993 2:00 PM Att:28975 Venue: Waverley Park|Hawthorn won by 78 pts
1993-12-04|Sat 19-Jun-1993 2:08 PM Att:21405 Venue: Princes Park|Carlton won by 79 pts
1993-12-05|Sun 20-Jun-1993 2:00 PM Att:19308 Venue: Kardinia Park|Geelong won by 7 pts
1993-12-06|Sun 20-Jun-1993 2:18 PM Att:15471 Venue: Gabba|Collingwood won by 41 pts
1993-13-00|Fri 25-Jun-1993 8:08 PM Att:47705 Venue: M.C.G.|Hawthorn won by 3 pts
1993-13-01|Sat 26-Jun-1993 2:00 PM Att:15397 Venue: Western Oval|Footscray won by 28 pts
1993-13-02|Sat 26-Jun-1993 2:00 PM Att:19105 Venue: Princes Park|Essendon won by 78 pts
1993-13-03|Sat 26-Jun-1993 2:00 PM Att:15181 Venue: Waverley Park|St Kilda won by 33 pts
1993-13-04|Sat 26-Jun-1993 2:08 PM Att:24371 Venue: Victoria Park|West Coast won by 23 pts
1993-13-05|Sun 27-Jun-1993 2:15 PM Att:8250 Venue: S.C.G.|Sydney won by 40 pts
