matchid,team,score_progression,score
1990-05-00,Footscray,2.1   5.5  10.9 15.13,103  
1990-05-01,Richmond,3.6 10.10 17.14 21.17,143  
1990-05-01,Fitzroy,2.2   3.5   5.8  9.10,64  
1990-05-02,St Kilda,4.2   6.6   9.9 13.13,91  
1990-05-02,Collingwood,6.5  7.13  8.18 12.20,92  
1990-05-03,Essendon,3.4   3.6 10.12 11.15,81  
1990-05-03,Geelong,1.3   6.9  8.12 12.17,89  
1990-05-04,Hawthorn,5.4   9.7 11.10 16.12,108  
1990-05-04,North Melbourne,1.3   3.8  6.10 10.18,78  
1990-05-05,Brisbane Bears,3.2   5.7   8.9  8.13,61  
1990-05-05,Melbourne,5.1   6.3  14.5 19.11,125  
1990-05-06,West Coast,6.4 10.10 12.11 19.14,128  
1990-05-06,Sydney,2.2   4.3   9.6  10.7,67  
1990-06-00,Richmond,3.4   4.9  7.10  9.14,68  
1990-06-00,West Coast,6.5   8.5  10.9 15.13,103  
1990-06-01,Geelong,7.2  11.4 15.11 23.13,151  
1990-06-01,Brisbane Bears,3.1   6.3   9.3  12.8,80  
1990-06-02,Carlton,3.1   6.7  14.8 20.13,133  
1990-06-02,North Melbourne,4.6  8.11 11.15 14.19,103  
1990-06-03,Collingwood,3.2   5.6  8.11 10.15,75  
1990-06-03,Essendon,2.3   5.6  10.8 15.11,101  
1990-06-04,Footscray,7.1   8.1  10.5 12.10,82  
1990-06-04,Fitzroy,1.1   3.8  5.13  5.20,50  
1990-06-05,St Kilda,4.2   9.6  13.8 15.14,104  
1990-06-05,Hawthorn,5.3   8.9 12.14 14.17,101  
1990-06-06,Sydney,1.2   6.8  9.10 14.14,98  
1990-06-06,Melbourne,4.7  5.11  8.18 12.21,93  
1990-07-00,Melbourne,5.3   9.5  11.5  18.8,116  
1990-07-00,West Coast,2.2   3.3   6.6   9.7,61  
1990-07-01,Essendon,4.4   4.6 12.11 13.13,91  
1990-07-01,Carlton,1.0   9.3  10.5  17.9,111  
1990-07-02,Collingwood,3.3   4.6 11.12 13.14,92  
1990-07-02,Hawthorn,4.4  8.12  9.14 13.16,94  
1990-07-03,Fitzroy,3.6   9.8 14.12 18.13,121  
1990-07-03,St Kilda,3.2   7.6   9.9 15.13,103  
1990-07-04,North Melbourne,1.3   5.8 10.11 12.13,85  
1990-07-04,Footscray,7.5   9.8 12.10 12.15,87  
