2011-01-00|Thu 24-Mar-2011 7:40 PM (6:40 PM) Att:60654 Venue: M.C.G.|Carlton won by 20 pts
2011-01-01|Fri 25-Mar-2011 7:45 PM (6:45 PM) Att:42869 Venue: M.C.G.|Geelong won by 1 pt
2011-01-02|Sat 26-Mar-2011 2:10 PM (1:10 PM) Att:35773 Venue: Docklands|Collingwood won by 75 pts
2011-01-03|Sat 26-Mar-2011 7:10 PM (6:40 PM) Att:42536 Venue: Football Park|Adelaide won by 20 pts
2011-01-04|Sat 26-Mar-2011 7:10 PM Att:23373 Venue: Gabba|Fremantle won by 2 pts
2011-01-05|Sun 27-Mar-2011 1:10 PM (12:10 PM) Att:42617 Venue: Docklands|Essendon won by 55 pts
2011-01-06|Sun 27-Mar-2011 2:10 PM (1:10 PM) Att:33951 Venue: M.C.G.|Match drawn
2011-01-07|Sun 27-Mar-2011 4:10 PM (6:10 PM) Att:35878 Venue: Subiaco|West Coast won by 4 pts
2011-02-00|Fri 01-Apr-2011 7:40 PM (6:40 PM) Att:41465 Venue: M.C.G.|Match drawn
2011-02-01|Sat 02-Apr-2011 2:10 PM (1:10 PM) Att:40578 Venue: Docklands|Collingwood won by 87 pts
2011-02-02|Sat 02-Apr-2011 2:40 PM (2:10 PM) Att:23214 Venue: Football Park|West Coast won by 18 pts
2011-02-03|Sat 02-Apr-2011 6:50 PM Att:27914 Venue: Gabba|Carlton won by 119 pts
2011-02-04|Sat 02-Apr-2011 5:40 PM (7:40 PM) Att:37004 Venue: Subiaco|Geelong won by 11 pts
2011-02-05|Sun 03-Apr-2011 1:10 PM Att:22331 Venue: Docklands|Western Bulldogs won by 78 pts
2011-02-06|Sun 03-Apr-2011 2:10 PM Att:28082 Venue: Stadium Australia|Sydney won by 5 pts
2011-02-07|Sun 03-Apr-2011 4:40 PM Att:49905 Venue: M.C.G.|Hawthorn won by 45 pts
2011-03-00|Fri 08-Apr-2011 7:50 PM Att:88181 Venue: M.C.G.|Collingwood won by 28 pts
2011-03-01|Sat 09-Apr-2011 2:10 PM Att:21373 Venue: Docklands|Western Bulldogs won by 71 pts
2011-03-02|Sat 09-Apr-2011 2:40 PM (3:10 PM) Att:33414 Venue: Football Park|Fremantle won by 25 pts
2011-03-03|Sat 09-Apr-2011 7:10 PM Att:46368 Venue: M.C.G.|Hawthorn won by 63 pts
2011-03-04|Sat 09-Apr-2011 6:10 PM (8:10 PM) Att:37288 Venue: Subiaco|Sydney won by 13 pts
2011-03-05|Sun 10-Apr-2011 1:10 PM Att:24380 Venue: M.C.G.|Melbourne won by 11 pts
2011-03-06|Sun 10-Apr-2011 2:10 PM Att:22420 Venue: Kardinia Park|Geelong won by 79 pts
2011-03-07|Sun 10-Apr-2011 4:40 PM Att:47762 Venue: Docklands|Essendon won by 52 pts
2011-04-00|Fri 15-Apr-2011 7:40 PM Att:58050 Venue: M.C.G.|Collingwood won by 71 pts
2011-04-01|Sat 16-Apr-2011 2:10 PM Att:78065 Venue: M.C.G.|Match drawn
2011-04-02|Sat 16-Apr-2011 2:10 PM Att:15063 Venue: York Park|Hawthorn won by 7 pts
2011-04-03|Sat 16-Apr-2011 7:10 PM Att:25300 Venue: S.C.G.|Geelong won by 27 pts
2011-04-04|Sat 16-Apr-2011 7:10 PM (7:40 PM) Att:33143 Venue: Football Park|Port Adelaide won by 32 pts
2011-04-05|Sun 17-Apr-2011 2:10 PM Att:12111 Venue: Gabba|Melbourne won by 90 pts
2011-04-06|Sun 17-Apr-2011 2:40 PM (4:40 PM) Att:34779 Venue: Subiaco|Fremantle won by 29 pts
2011-05-00|Thu 21-Apr-2011 7:45 PM Att:22543 Venue: Gabba|St Kilda won by 13 pts
2011-05-01|Sat 23-Apr-2011 2:45 PM (3:15 PM) Att:21287 Venue: Football Park|Gold Coast won by 3 pts
2011-05-02|Sat 23-Apr-2011 7:10 PM Att:37607 Venue: Docklands|Carlton won by 6 pts
2011-05-03|Sun 24-Apr-2011 4:40 PM Att:36461 Venue: Docklands|Richmond won by 9 pts
2011-05-04|Mon 25-Apr-2011 2:40 PM Att:89626 Venue: M.C.G.|Collingwood won by 30 pts
2011-05-05|Mon 25-Apr-2011 6:45 PM (8:45 PM) Att:37551 Venue: Subiaco|Fremantle won by 7 pts
2011-05-06|Tue 26-Apr-2011 2:40 PM Att:78579 Venue: M.C.G.|Geelong won by 19 pts
2011-06-00|Thu 28-Apr-2011 6:40 PM (8:40 PM) Att:36298 Venue: Subiaco|West Coast won by 54 pts
2011-06-01|Fri 29-Apr-2011 7:40 PM Att:28081 Venue: S.C.G.|Carlton won by 16 pts
2011-06-02|Sat 30-Apr-2011 2:10 PM Att:16014 Venue: Docklands|North Melbourne won by 60 pts
2011-06-03|Sat 30-Apr-2011 7:10 PM Att:37438 Venue: M.C.G.|Richmond won by 26 pts
2011-06-04|Sat 30-Apr-2011 7:10 PM (7:40 PM) Att:33854 Venue: Football Park|Adelaide won by 19 pts
2011-06-05|Sun 01-May-2011 1:10 PM Att:33710 Venue: Docklands|Essendon won by 139 pts
2011-06-06|Sun 01-May-2011 4:40 PM Att:53776 Venue: M.C.G.|Collingwood won by 48 pts
