2009-01-00|Richmond|3.4   6.7  8.10  9.13|67  
2009-01-00|Carlton|8.4  13.5  18.9 23.12|150  
2009-01-01|Hawthorn|3.2   8.4  10.6  16.7|103  
2009-01-01|Geelong|4.8  8.16 14.19 15.21|111  
2009-01-02|Collingwood|2.0   7.1  12.3  13.8|86  
2009-01-02|Adelaide|5.5   8.8  11.9 13.12|90  
2009-01-03|Brisbane Lions|2.1   5.3  14.6 14.11|95  
2009-01-03|West Coast|6.2   9.4  11.8  13.8|86  
2009-01-04|St Kilda|1.1   4.4   9.6  12.8|80  
2009-01-04|Sydney|5.4   5.6   5.6  9.11|65  
2009-01-05|Melbourne|3.3   6.5   9.6  10.7|67  
2009-01-05|North Melbourne|3.3   7.6  11.8 15.11|101  
2009-01-06|Port Adelaide|4.3   8.7 11.12 15.17|107  
2009-01-06|Essendon|1.1   4.3   8.8  9.12|66  
2009-01-07|Fremantle|4.4   7.5 12.12 13.16|94  
2009-01-07|Western Bulldogs|6.1  13.4  17.4  25.7|157  
2009-02-00|Adelaide|2.2   5.3   9.8  10.9|69  
2009-02-00|St Kilda|4.2   6.7  10.7 15.11|101  
2009-02-01|Collingwood|3.1   8.3  14.7 17.15|117  
2009-02-01|Melbourne|5.2   7.2   9.4  10.4|64  
2009-02-02|Geelong|5.3   8.9 11.11 15.15|105  
2009-02-02|Richmond|1.1   4.2  12.6  13.7|85  
2009-02-03|Carlton|3.2  11.5  13.8 18.11|119  
2009-02-03|Brisbane Lions|3.3   4.6  10.8 15.10|100  
2009-02-04|Sydney|3.4   8.7  16.9 22.11|143  
2009-02-04|Hawthorn|5.4   8.9 12.12 15.15|105  
2009-02-05|Essendon|5.2   9.5  14.7 16.13|109  
2009-02-05|Fremantle|1.4   6.6  10.8 10.11|71  
2009-02-06|Western Bulldogs|3.6  4.10  8.13 11.14|80  
2009-02-06|North Melbourne|1.5   3.6   7.8  9.11|65  
2009-02-07|West Coast|4.3  10.6  16.8 19.11|125  
2009-02-07|Port Adelaide|1.6   4.9  8.12 10.15|75  
2009-03-00|Geelong|2.3  10.6 11.11 18.14|122  
2009-03-00|Collingwood|5.5   5.9  8.15 13.17|95  
2009-03-01|St Kilda|5.2  15.2  20.7 25.11|161  
2009-03-01|West Coast|2.4   4.5   9.7  9.10|64  
2009-03-02|Carlton|4.6  7.10 13.13 16.16|112  
2009-03-02|Essendon|1.4   8.6  15.7 17.14|116  
2009-03-03|Brisbane Lions|4.4  10.6  12.9 15.10|100  
2009-03-03|Sydney|1.2   4.5  7.10  9.13|67  
2009-03-04|Port Adelaide|3.3  10.5 16.12 22.15|147  
2009-03-04|Melbourne|2.1   4.4   7.5  14.6|90  
2009-03-05|North Melbourne|2.1   5.5   8.9  10.9|69  
2009-03-05|Hawthorn|4.1  10.4  15.5  19.9|123  
2009-03-06|Fremantle|3.5   3.7  7.12 11.14|80  
2009-03-06|Adelaide|1.3   6.7  9.12 15.14|104  
2009-03-07|Western Bulldogs|0.6  6.11 10.13 16.14|110  
2009-03-07|Richmond|3.4   4.8  7.10  8.15|63  
2009-04-00|Brisbane Lions|6.2   9.4  10.8 10.13|73  
2009-04-00|Collingwood|2.4   7.6  9.10 13.12|90  
2009-04-01|Sydney|3.0   7.2  10.7 12.12|84  
2009-04-01|Carlton|3.5  3.12  6.12  9.13|67  
2009-04-02|Hawthorn|2.2   5.6  9.12 12.13|85  
2009-04-02|Port Adelaide|4.3   6.4  10.6 17.13|115  
2009-04-03|St Kilda|5.3   8.5  13.8  17.9|111  
2009-04-03|Fremantle|0.1   3.2   3.3   4.4|28  
2009-04-04|Adelaide|3.2   7.2  11.6  13.8|86  
2009-04-04|Geelong|5.1  10.2  14.5  21.8|134  
2009-04-05|North Melbourne|3.3   5.5   9.7  10.9|69  
2009-04-05|Essendon|1.3   3.7  5.11  7.15|57  
2009-04-06|Richmond|2.3   5.6   9.7 13.14|92  
2009-04-06|Melbourne|2.6  10.7 13.11 14.16|100  
2009-04-07|West Coast|6.4   8.7 14.11 17.14|116  
2009-04-07|Western Bulldogs|3.2   5.6   9.7 12.11|83  
2009-05-00|Port Adelaide|1.3   1.3   3.4   5.6|36  
2009-05-00|St Kilda|6.0  10.5  13.9 15.12|102  
2009-05-01|Essendon|1.5   6.6  9.13 13.15|93  
2009-05-01|Collingwood|4.2   6.6  8.10 12.16|88  
2009-05-02|Hawthorn|1.3   4.5   6.7  11.8|74  
2009-05-02|West Coast|1.5   2.9  5.11  7.14|56  
2009-05-03|North Melbourne|3.2   5.6   6.9  7.16|58  
2009-05-03|Richmond|2.2   6.7 10.12 13.16|94  
2009-05-04|Fremantle|6.4  11.9 16.10 18.13|121  
2009-05-04|Sydney|2.2   5.3  11.3  16.4|100  
2009-05-05|Geelong|5.4  13.8 15.11 18.18|126  
2009-05-05|Brisbane Lions|0.2   3.3   4.3   5.3|33  
2009-05-06|Western Bulldogs|1.6   6.9 10.10 13.12|90  
2009-05-06|Carlton|4.1  11.3  15.7  21.7|133  
2009-05-07|Melbourne|0.1   0.3   1.6  4.10|34  
2009-05-07|Adelaide|2.4   4.6   5.7   7.9|51  
2009-06-00|North Melbourne|4.1   7.2   8.6  11.9|75  
2009-06-00|Collingwood|4.6  12.8 15.11 19.13|127  
2009-06-01|Hawthorn|5.0   9.2  11.9 16.10|106  
2009-06-01|Carlton|3.2   7.5  11.8 15.12|102  
2009-06-02|West Coast|4.6  6.13  8.13  9.20|74  
2009-06-02|Fremantle|3.2   4.2   8.7  13.9|87  
2009-06-03|Brisbane Lions|5.2  10.2  12.6  17.9|111  
2009-06-03|Essendon|1.3   3.8  5.12  9.14|68  
2009-06-04|Port Adelaide|3.4   8.6 11.12 15.15|105  
2009-06-04|Adelaide|2.0   5.2   8.5  12.7|79  
2009-06-05|Sydney|5.6   9.7  11.9 14.10|94  
2009-06-05|Richmond|2.1   5.4   9.6  11.9|75  
2009-06-06|Melbourne|2.4   4.6   6.7  10.8|68  
2009-06-06|Geelong|3.3   9.8 12.17 15.21|111  
2009-06-07|Western Bulldogs|1.4   4.5   7.8 11.10|76  
2009-06-07|St Kilda|3.7  7.14 12.18 14.20|104  
2009-07-00|Essendon|4.2   6.7 12.10 17.14|116  
2009-07-00|Hawthorn|1.8   6.8  9.11 10.12|72  
2009-07-01|Geelong|1.5   8.7 12.10 17.14|116  
2009-07-01|Sydney|1.2   4.3   7.4  10.5|65  
2009-07-02|Richmond|4.5   7.6  8.10 10.11|71  
2009-07-02|Brisbane Lions|1.4   7.5   9.7  15.7|97  
2009-07-03|Carlton|3.2   8.4  9.10 11.15|81  
2009-07-03|Fremantle|3.4  10.5  12.7 13.10|88  
2009-07-04|North Melbourne|5.1  12.1  15.3  20.5|125  
2009-07-04|Port Adelaide|4.1   6.6  12.8 18.12|120  
2009-07-05|Adelaide|3.5   5.9  6.12 12.14|86  
2009-07-05|Western Bulldogs|2.4  5.10 13.15 17.16|118  
2009-07-06|West Coast|2.4   7.7 11.12 12.18|90  
2009-07-06|Melbourne|1.1   7.3  10.3  13.4|82  
2009-07-07|Collingwood|1.4   1.6   3.7  5.10|40  
2009-07-07|St Kilda|3.3   9.7  15.8  20.8|128  
2009-08-00|Fremantle|2.2   3.4   7.8  9.11|65  
2009-08-00|Hawthorn|3.2   8.4  11.6  13.9|87  
2009-08-01|Melbourne|5.2  10.3  11.4  15.7|97  
