1993-01-00|Footscray|5.4   7.9 12.13 13.17|95  
1993-01-00|Collingwood|3.4   9.7  15.8 17.13|115  
1993-01-01|North Melbourne|5.5  13.8 18.15 24.22|166  
1993-01-01|Brisbane Bears|5.1   9.5  15.8 22.11|143  
1993-01-02|Carlton|4.2   9.6  15.8 17.10|112  
1993-01-02|Fitzroy|5.4  6.10 10.14 17.16|118  
1993-01-03|Hawthorn|2.1   3.3  10.7 13.15|93  
1993-01-03|Melbourne|1.0   4.3   7.4  11.4|70  
1993-01-04|Geelong|6.2  10.5  15.9 20.16|136  
1993-01-04|St Kilda|5.4   7.9 12.13 16.16|112  
1993-01-05|Richmond|4.4   6.7  9.11 12.12|84  
1993-01-05|Adelaide|8.1  12.4  18.7 28.10|178  
1993-01-06|West Coast|4.7   8.9 12.12 17.21|123  
1993-01-06|Essendon|2.1   7.2  11.5  17.8|110  
1993-02-00|Richmond|5.3   9.8 14.15 18.18|126  
1993-02-00|Brisbane Bears|5.4   6.7   7.8 11.14|80  
1993-02-01|Essendon|4.5  11.8 14.12 20.12|132  
1993-02-01|Carlton|6.2  12.6 14.13 19.18|132  
1993-02-02|Melbourne|3.3   4.6  9.12 13.17|95  
1993-02-02|Footscray|6.3   8.7  10.9 15.13|103  
1993-02-03|St Kilda|5.3  9.10 13.15 19.18|132  
1993-02-03|North Melbourne|4.3   8.4  13.7 19.11|125  
1993-02-04|Collingwood|5.2   8.5  12.9 17.11|113  
1993-02-04|Geelong|4.7   6.9  8.11 15.13|103  
1993-02-05|Sydney|4.2   8.7 12.13 12.20|92  
1993-02-05|Hawthorn|4.3   7.9 12.13 22.17|149  
1993-02-06|Adelaide|4.2  10.6  12.7 15.11|101  
1993-02-06|West Coast|2.6  3.10  5.13 12.14|86  
1993-03-00|Fitzroy|5.5   8.8  12.9 14.14|98  
1993-03-00|Footscray|2.3   4.9 10.14 14.17|101  
1993-03-01|St Kilda|6.6  10.8 15.11 20.12|132  
1993-03-01|Sydney|0.4   4.9  8.13 13.16|94  
1993-03-02|Brisbane Bears|3.6  8.10 12.10 17.13|115  
1993-03-02|Melbourne|2.1   5.2  15.9 17.11|113  
1993-03-03|West Coast|4.2   6.7 11.12 15.19|109  
1993-03-03|Richmond|3.3   6.7   8.9  9.11|65  
1993-03-04|Carlton|3.3   5.7 11.11 16.16|112  
1993-03-04|Hawthorn|4.4   8.8 12.11 16.14|110  
1993-03-05|Geelong|7.0   9.1  12.5  13.6|84  
1993-03-05|North Melbourne|3.4   8.8 10.13 15.18|108  
1993-03-06|Essendon|3.3   9.8 12.10 16.13|109  
1993-03-06|Collingwood|8.3  11.6 15.11 21.13|139  
1993-04-00|Adelaide|4.4   7.8  12.9 15.13|103  
1993-04-00|Fitzroy|1.6   6.8 13.10 15.12|102  
1993-04-01|Hawthorn|2.3   3.5   7.9 11.13|79  
1993-04-01|Geelong|4.5  9.10 14.13 18.17|125  
1993-04-02|North Melbourne|6.6  11.8 15.13 19.14|128  
1993-04-02|Melbourne|3.3   6.7  9.10 14.15|99  
1993-04-03|Collingwood|3.3  8.10 11.11 15.14|104  
1993-04-03|St Kilda|2.4   7.8 14.15 18.18|126  
1993-04-04|Sydney|4.4   6.7   9.7 14.11|95  
1993-04-04|Essendon|8.3  17.5  23.9 28.13|181  
1993-04-05|West Coast|3.3   4.6  7.11 14.14|98  
1993-04-05|Brisbane Bears|2.3   3.6   4.8  6.10|46  
1993-05-00|Richmond|4.7  8.12 12.19 17.20|122  
1993-05-00|North Melbourne|7.2  15.3  18.6  25.9|159  
1993-05-01|Footscray|5.1  10.2  15.4  20.7|127  
1993-05-01|Essendon|4.4   7.7  9.10 11.15|81  
1993-05-02|Fitzroy|6.4 10.12 13.18 24.23|167  
1993-05-02|Sydney|3.4   6.6   8.7  11.8|74  
1993-05-03|St Kilda|4.4   8.6  10.9 11.12|78  
1993-05-03|Carlton|4.5   7.9 13.15 17.21|123  
1993-05-04|Melbourne|3.5   6.9  8.15 10.17|77  
1993-05-04|Adelaide|0.2   4.9  6.11  9.14|68  
1993-05-05|Brisbane Bears|1.2  10.4  13.8 19.12|126  
1993-05-05|Geelong|4.8  8.11 13.16 18.19|127  
1993-06-00|Melbourne|5.4  12.9 16.15 22.21|153  
1993-06-00|Richmond|3.5   5.6   6.9  8.12|60  
1993-06-01|Adelaide|4.5   6.8  9.12 12.16|88  
1993-06-01|Hawthorn|2.2  10.2  11.7  16.9|105  
1993-06-02|Essendon|6.5  11.7 17.13 23.18|156  
1993-06-02|Geelong|5.5 10.16 16.16 19.18|132  
1993-06-03|North Melbourne|11.5  15.7 25.10 35.19|229  
1993-06-03|Sydney|1.3   8.5  12.8  16.9|105  
1993-06-04|Brisbane Bears|5.0   8.1  10.4  17.8|110  
1993-06-04|Fitzroy|3.5   5.5  10.9 12.11|83  
1993-06-05|Carlton|3.2   7.9 10.10 15.11|101  
1993-06-05|Collingwood|4.2  10.3  14.7 21.11|137  
1993-06-06|West Coast|4.5  11.7  14.9 19.11|125  
1993-06-06|Footscray|5.3   8.3  11.3  13.6|84  
1993-07-00|Hawthorn|3.3   5.6  9.12 16.17|113  
1993-07-00|Brisbane Bears|2.1   6.6   7.9 10.10|70  
1993-07-01|Fitzroy|3.4   5.5  10.7  12.7|79  
1993-07-01|Melbourne|4.4  10.6  10.9 11.12|78  
1993-07-02|Footscray|4.2   8.5  13.5  17.8|110  
1993-07-02|North Melbourne|7.3  13.5  17.9  22.9|141  
1993-07-03|Richmond|4.1   9.9 16.16 19.22|136  
1993-07-03|St Kilda|5.1   9.4  13.5  16.8|104  
1993-07-04|Collingwood|4.2   6.8 11.12 14.17|101  
1993-07-04|Adelaide|3.2   5.7   8.9 11.10|76  
