Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alessio, Steven	11	11	14	9	8	9	9	8	6	3								14	1		8	7	9	10	137
Bewick, Darren	24	15	13		23	7	9	16	19	11	1														138
Calthorpe, David					8			16	7	7	9	8	9	10	10	11	10	8	10	16	11	9		9	168
Cockatoo-Collins, Che				17	13	14	4				5	12	14	10	15	16	11	9	10	3					153
Cransberg, Peter		8		6	1						11	3										7			36
Cummings, Scott	6	5	3					12	12	7	10	13	7	10	1		6	3		10		6			111
Daniher, Chris	8	3	7	3		10		5	8	5	5	10	6	4	9	10	6	4	9	11	2	6	6		137
Darcy, Tim	1	7	7	4		4						3		7	5	8	11	2	7	8	3				77
Denham, Sean	7	9	11	11	17	11	5	6	19	15	10	16	9	19	16	5	15	15	7	17	9	6	8	13	276
Doolan, Ben													6	6	5	5			12	4		17	7	9	71
Fletcher, Dustin	6	10		7	7	8	10	7	10	6	10	9	9	9		7	6	8	10	18	16	9	9	8	199
Flood, David					9	5									6	4									24
Fraser, Mark			-	8	6					12	3														29
Grenvold, David	7	4	5	8	13	2	10	5	6	8	3	3	7	7	7	3	7	1		11	8	2	10	6	143
Hardwick, Damien		6				10	8	3	1	5	10				8	9	7	7	11	4	12	11	11		123
Harvey, Mark	15	16	8	5														14	17	10	17	14	7	13	136
Hills, Paul							8	2			8														18
Hird, James	12	16	9	9	8	10	13	9	10	4	7	12	9	10	17	13	10	6	12	10	14	8	12	14	254
Lewfatt, Shawn	9								4								7								20
Lloyd, Matthew														7	-							9	8	7	31
Long, Michael	14	9	15	9	15	20	18	13	16	11	7	12	10	10	7	14	14	16	16	17	15		16		294
Mercuri, Mark	12	14	12	13	22	13	7	12	15	2	9	9	14	13		17	14	5	12	15	6		15	17	268
Misiti, Joe	9	24	14	23	12	11	15	12	11	15	10	11	12	14	15	15	4	11	11	12	15			8	284
Moorcroft, Gary					3																				3
Morgan, Danny													1	10	15	11	5	5	1		3				51
OConnor, Ryan			5	7	10	7	4		5	2	10	6	6	9	7	7	3		4	1			9	1	103
ODonnell, Gary	15	11	17	17	10	16	11	15	19	16	12	13	17	18	12	12	10	15	8	16	17	9	24	9	339
Olarenshaw, Ricky	17	15	10	17		12	12	5	-													7	9	8	112
Prior, Michael																				7		10	10	6	33
Salmon, Paul	12						7					7	8	12	9	8	6	11			5	5	1	7	98
Somerville, Peter	6	7	5	9	7	8	4	8	8	11	9	4	6	5	4	12	13	12	8	7	5	7	7	5	177
Symons, Michael	19	15	3	13	11	11	12	10	5	5	9	6	7	16	14	4			7		11			12	190
Thompson, Mark			4			13	3	12	8	8		4									12	13	11	11	99
Wallis, Dean								1					3												4
Wanganeen, Gavin	12	7	3	9	18		17	12	8	13	19	15	14	16	6	4	12	10	16	17	11	9	6	13	267
Young, Barry	5	7	5	7	7	7	2			5		2	3				10	5	5	11	8	7	12	3	111
Totals	227	219	170	211	228	208	188	189	197	171	177	178	177	222	188	195	187	181	194	225	208	178	207	189	4714
Opponent	FI	FR	ME	CW	SK	BB	CA	WC	FO	NM	GE	HW	SY	AD	RI	FI	FR	ME	CW	SK	BB	CA	WC	RI	
