Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Alessio, Steven	1	-	2	1	2	1	-	-	-	1								3	-		1	-	-	2	14
Bewick, Darren	1	1	3		2	-	2	3	1	-	-														13
Calthorpe, David					-			1	1	-	1	1	-	1	-	-	-	3	2	1	1	-		2	14
Cockatoo-Collins, Che				2	-	1	2				3	-	-	1	-	-	1	-	-	-					10
Cransberg, Peter		-		-	-						-	-										-			
Cummings, Scott	2	-	-					3	1	1	-	-	1	1	-		1	1		-		1			12
Daniher, Chris	2	1	1	-		1		2	-	2	-	3	-	-	1	1	5	3	-	1	-	3	2		28
Darcy, Tim	-	-	1	-		-						-		1	1	1	1	-	-	-	1				6
Denham, Sean	1	4	3	4	5	3	1	2	6	2	5	3	4	1	4	1	3	2	2	3	3	2	2	2	68
Doolan, Ben													-	-	-	-			2	-		4	2	2	10
Fletcher, Dustin	1	-		1	1	2	1	1	2	1	1	1	2	1		1	-	-	1	2	1	1	1	1	23
Flood, David					1	-									1	-									2
Fraser, Mark			2	1	-					4	3														10
Grenvold, David	-	-	1	1	1	-	-	1	-	2	1	2	2	1	-	1	1	-		-	-	-	-	1	15
Hardwick, Damien		1				5	1	1	-	2	1				2	5	1	2	3	2	1	1	3		31
Harvey, Mark	1	-	1	-														-	-	1	1	-	1	-	5
Hills, Paul							-	-			1														1
Hird, James	-	1	3	-	2	-	1	-	2	-	1	1	2	-	4	1	3	-	-	-	-	2	1	1	25
Lewfatt, Shawn	3								1								1								5
Lloyd, Matthew														-	-							1	-	-	1
Long, Michael	2	1	2	3	-	3	1	4	1	4	1	-	2	-	3	4	2	3	2	1	-		1		40
Mercuri, Mark	-	5	3	1	1	-	1	-	2	-	1	1	2	2		1	5	-	2	1	1		3	-	32
Misiti, Joe	-	2	3	2	1	-	-	1	-	1	-	-	-	-	2	-	-	-	-	2	-			1	15
Moorcroft, Gary					2																				2
Morgan, Danny													-	2	1	1	1	1	-		1				7
OConnor, Ryan			1	2	6	-	1		3	2	1	3	1	1	1	2	-		-	-			3	-	27
ODonnell, Gary	1	-	1	1	-	1	2	3	-	1	-	-	-	-	-	-	1	4	2	1	-	-	1	2	21
Olarenshaw, Ricky	-	-	1	-		-	1	1	-													1	-	-	4
Prior, Michael																				1		2	-	3	6
Salmon, Paul	-						2					1	-	-	1	-	-	-			1	-	-	-	5
Somerville, Peter	-	1	1	1	-	-	-	1	-	1	1	-	2	-	1	1	-	-	1	-	2	1	2	1	17
Symons, Michael	-	1	1	-	1	2	-	3	2	2	1	2	2	1	2	2			-		1			2	25
Thompson, Mark			1			-	-	1	1	1		-									1	4	-	1	10
Wallis, Dean								-					-												
Wanganeen, Gavin	2	4	3	1	1		-	2	2	1	1	-	1	-	2	1	-	1	-	1	2	1	1	-	27
Young, Barry	-	3	2	1	1	-	-			1		-	1				2	2	1	1	2	2	-	-	19
Totals	17	25	36	22	27	19	16	30	25	29	23	18	22	13	26	23	28	25	18	18	20	26	23	21	550
Opponent	FI	FR	ME	CW	SK	BB	CA	WC	FO	NM	GE	HW	SY	AD	RI	FI	FR	ME	CW	SK	BB	CA	WC	RI	
