"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2011","adelaide","Armstrong, Tony","1","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","3","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","4","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","5","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","6","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","7","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","8","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","9","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","10","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","11","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","12","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","13","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","14","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","15","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","17","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","18","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","19","","","","","","","","","",""
"2011","adelaide","Armstrong, Tony","20","15","7","4","-","-","4","-","-","-","86"
"2011","adelaide","Armstrong, Tony","21","14","6","7","-","-","2","-","-","-","79"
"2011","adelaide","Armstrong, Tony","22","12","6","8","-","1","3","-","-","-","85"
"2011","adelaide","Armstrong, Tony","23","12","6","11","-","1","2","-","-","-","93"
"2011","adelaide","Armstrong, Tony","24","2","2","5","-","-","1","-","-","-","33"
"2011","adelaide","Callinan, Ian","1","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","3","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","4","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","5","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","6","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","7","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","8","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","9","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","10","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","11","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","12","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","13","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","14","12","2","9","-","2","5","1","-","1","85"
"2011","adelaide","Callinan, Ian","15","12","2","5","-","1","1","1","-","1","73"
"2011","adelaide","Callinan, Ian","17","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","18","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","19","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","20","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","21","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","22","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","23","","","","","","","","","",""
"2011","adelaide","Callinan, Ian","24","4","-","5","1","-","4","-","-","-","83"
"2011","adelaide","Cook, Myke","1","","","","","","","","","",""
"2011","adelaide","Cook, Myke","3","","","","","","","","","",""
"2011","adelaide","Cook, Myke","4","1","1","10","-","-","2","-","-","-","81"
"2011","adelaide","Cook, Myke","5","","","","","","","","","",""
"2011","adelaide","Cook, Myke","6","","","","","","","","","",""
"2011","adelaide","Cook, Myke","7","","","","","","","","","",""
"2011","adelaide","Cook, Myke","8","","","","","","","","","",""
"2011","adelaide","Cook, Myke","9","","","","","","","","","",""
"2011","adelaide","Cook, Myke","10","2","2","9","-","1","2","-","-","-","65"
"2011","adelaide","Cook, Myke","11","","","","","","","","","",""
"2011","adelaide","Cook, Myke","12","","","","","","","","","",""
"2011","adelaide","Cook, Myke","13","","","","","","","","","",""
"2011","adelaide","Cook, Myke","14","","","","","","","","","",""
"2011","adelaide","Cook, Myke","15","","","","","","","","","",""
"2011","adelaide","Cook, Myke","17","","","","","","","","","",""
"2011","adelaide","Cook, Myke","18","","","","","","","","","",""
"2011","adelaide","Cook, Myke","19","","","","","","","","","",""
"2011","adelaide","Cook, Myke","20","","","","","","","","","",""
"2011","adelaide","Cook, Myke","21","","","","","","","","","",""
"2011","adelaide","Cook, Myke","22","","","","","","","","","",""
"2011","adelaide","Cook, Myke","23","","","","","","","","","",""
"2011","adelaide","Cook, Myke","24","","","","","","","","","",""
"2011","adelaide","Dangerfield, Patrick","1","12","5","5","1","-","3","3","1","-","83"
"2011","adelaide","Dangerfield, Patrick","3","19","4","6","2","3","1","1","-","1","76"
"2011","adelaide","Dangerfield, Patrick","4","8","5","9","1","1","1","-","-","-","77"
"2011","adelaide","Dangerfield, Patrick","5","9","2","12","2","5","3","-","-","-","76"
"2011","adelaide","Dangerfield, Patrick","6","9","3","7","1","3","5","1","-","-","79"
"2011","adelaide","Dangerfield, Patrick","7","2","1","6","-","4","2","-","-","-","44"
"2011","adelaide","Dangerfield, Patrick","8","15","7","8","-","2","2","6","-","-","87"
"2011","adelaide","Dangerfield, Patrick","9","7","1","5","1","3","1","2","-","-","90"
"2011","adelaide","Dangerfield, Patrick","10","4","-","2","-","1","1","1","-","1","78"
"2011","adelaide","Dangerfield, Patrick","11","6","2","8","2","1","4","2","-","1","85"
"2011","adelaide","Dangerfield, Patrick","12","3","4","10","2","1","1","1","-","-","89"
"2011","adelaide","Dangerfield, Patrick","13","8","2","5","-","2","6","-","-","1","86"
"2011","adelaide","Dangerfield, Patrick","14","8","3","5","1","-","4","1","-","-","82"
"2011","adelaide","Dangerfield, Patrick","15","15","2","5","1","2","4","-","-","-","94"
"2011","adelaide","Dangerfield, Patrick","17","11","2","6","1","4","3","3","-","1","94"
"2011","adelaide","Dangerfield, Patrick","18","7","5","11","-","-","-","1","-","1","87"
"2011","adelaide","Dangerfield, Patrick","19","16","4","11","1","-","4","-","-","2","76"
"2011","adelaide","Dangerfield, Patrick","20","9","1","3","1","-","4","-","-","1","75"
"2011","adelaide","Dangerfield, Patrick","21","11","4","10","2","1","3","1","-","1","78"
"2011","adelaide","Dangerfield, Patrick","22","5","1","11","1","1","10","-","-","1","75"
"2011","adelaide","Dangerfield, Patrick","23","13","4","18","1","2","3","-","-","1","80"
"2011","adelaide","Dangerfield, Patrick","24","7","2","8","1","-","7","-","-","1","85"
"2011","adelaide","Davis, Phil","1","16","8","9","1","2","2","-","-","-","86"
"2011","adelaide","Davis, Phil","3","4","3","3","-","-","1","-","-","-","26"
"2011","adelaide","Davis, Phil","4","","","","","","","","","",""
