"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2015","kangaroos","Atley, Shaun","1","8","3","9","-","1","8","-","-","-","91"
"2015","kangaroos","Atley, Shaun","2","6","1","10","2","-","3","-","-","-","85"
"2015","kangaroos","Atley, Shaun","3","6","2","12","1","-","2","-","-","-","81"
"2015","kangaroos","Atley, Shaun","4","5","2","5","1","-","3","-","-","1","83"
"2015","kangaroos","Atley, Shaun","5","9","4","10","-","-","2","-","-","-","81"
"2015","kangaroos","Atley, Shaun","6","7","-","5","-","1","5","-","-","-","86"
"2015","kangaroos","Atley, Shaun","7","3","1","6","-","1","-","-","-","-","34"
"2015","kangaroos","Atley, Shaun","8","10","4","9","-","1","1","-","-","-","87"
"2015","kangaroos","Atley, Shaun","9","3","1","12","1","-","2","-","-","-","86"
"2015","kangaroos","Atley, Shaun","10","","","","","","","","","",""
"2015","kangaroos","Atley, Shaun","11","","","","","","","","","",""
"2015","kangaroos","Atley, Shaun","12","12","8","11","-","1","1","1","-","-","94"
"2015","kangaroos","Atley, Shaun","14","6","3","8","-","-","1","-","-","-","87"
"2015","kangaroos","Atley, Shaun","15","9","2","9","-","1","3","1","-","-","90"
"2015","kangaroos","Atley, Shaun","16","14","3","6","-","2","5","-","-","-","91"
"2015","kangaroos","Atley, Shaun","17","9","2","8","1","1","4","-","-","-","89"
"2015","kangaroos","Atley, Shaun","18","11","3","10","1","-","3","-","-","-","90"
"2015","kangaroos","Atley, Shaun","19","5","4","10","1","-","2","-","-","-","88"
"2015","kangaroos","Atley, Shaun","20","12","5","5","1","1","3","1","-","-","81"
"2015","kangaroos","Atley, Shaun","21","9","6","7","-","-","6","-","-","-","81"
"2015","kangaroos","Atley, Shaun","22","10","5","8","3","-","1","-","-","-","92"
"2015","kangaroos","Atley, Shaun","23","11","4","9","-","2","3","-","-","-","86"
"2015","kangaroos","Atley, Shaun","EF","8","3","9","1","-","1","-","-","-","82"
"2015","kangaroos","Atley, Shaun","SF","9","4","7","-","1","1","1","-","-","81"
"2015","kangaroos","Atley, Shaun","PF","13","6","6","-","1","1","-","-","-","86"
"2015","kangaroos","Bastinac, Ryan","1","9","3","6","2","-","3","1","-","-","81"
"2015","kangaroos","Bastinac, Ryan","2","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","3","8","1","10","2","1","4","1","-","-","84"
"2015","kangaroos","Bastinac, Ryan","4","8","1","9","-","1","3","1","-","-","81"
"2015","kangaroos","Bastinac, Ryan","5","8","3","7","-","1","6","-","-","-","81"
"2015","kangaroos","Bastinac, Ryan","6","3","1","1","-","-","3","-","-","-","25"
"2015","kangaroos","Bastinac, Ryan","7","9","5","10","-","-","6","-","-","-","81"
"2015","kangaroos","Bastinac, Ryan","8","9","4","9","-","1","1","-","1","-","80"
"2015","kangaroos","Bastinac, Ryan","9","8","2","11","-","1","4","1","-","-","75"
"2015","kangaroos","Bastinac, Ryan","10","13","5","11","1","-","1","-","-","-","86"
"2015","kangaroos","Bastinac, Ryan","11","8","1","9","-","1","2","-","-","-","86"
"2015","kangaroos","Bastinac, Ryan","12","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","14","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","15","10","1","17","-","2","7","-","-","-","85"
"2015","kangaroos","Bastinac, Ryan","16","8","2","6","-","-","3","2","-","1","81"
"2015","kangaroos","Bastinac, Ryan","17","11","3","11","-","2","5","1","-","-","88"
"2015","kangaroos","Bastinac, Ryan","18","6","3","7","1","-","2","-","-","-","85"
"2015","kangaroos","Bastinac, Ryan","19","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","20","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","21","2","3","5","-","1","2","-","-","-","24"
"2015","kangaroos","Bastinac, Ryan","22","4","4","12","1","-","6","-","-","-","79"
"2015","kangaroos","Bastinac, Ryan","23","12","2","6","2","-","2","1","-","-","89"
"2015","kangaroos","Bastinac, Ryan","EF","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","SF","","","","","","","","","",""
"2015","kangaroos","Bastinac, Ryan","PF","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","1","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","2","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","3","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","4","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","5","3","2","3","-","-","1","-","-","-","87"
"2015","kangaroos","Black, Aaron","6","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","7","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","8","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","9","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","10","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","11","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","12","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","14","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","15","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","16","5","2","5","-","1","1","1","-","-","84"
"2015","kangaroos","Black, Aaron","17","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","18","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","19","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","20","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","21","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","22","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","23","6","3","4","2","-","2","-","2","1","89"
"2015","kangaroos","Black, Aaron","EF","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","SF","","","","","","","","","",""
"2015","kangaroos","Black, Aaron","PF","","","","","","","","","",""
"2015","kangaroos","Brown, Ben","1","","","","","","","","","",""
"2015","kangaroos","Brown, Ben","2","8","4","1","-","1","1","3","2","1","91"
"2015","kangaroos","Brown, Ben","3","8","6","3","1","1","-","3","-","-","88"
"2015","kangaroos","Brown, Ben","4","8","6","5","-","-","-","2","5","2","93"
"2015","kangaroos","Brown, Ben","5","8","5","2","-","-","1","3","2","-","89"
"2015","kangaroos","Brown, Ben","6","7","9","5","2","-","-","1","2","2","89"
"2015","kangaroos","Brown, Ben","7","4","3","3","-","-","-","-","1","-","54"
"2015","kangaroos","Brown, Ben","8","","","","","","","","","",""
"2015","kangaroos","Brown, Ben","9","4","3","5","-","-","-","-","-","2","84"
"2015","kangaroos","Brown, Ben","10","10","5","3","-","-","3","3","5","-","92"
"2015","kangaroos","Brown, Ben","11","7","4","3","-","5","-","-","4","-","91"
"2015","kangaroos","Brown, Ben","12","4","4","2","-","-","-","1","7","-","63"
"2015","kangaroos","Brown, Ben","14","","","","","","","","","",""
"2015","kangaroos","Brown, Ben","15","9","4","3","-","2","3","-","7","-","79"
"2015","kangaroos","Brown, Ben","16","7","6","3","1","-","-","4","1","1","91"
