"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2011","collingwood","Ball, Luke","1","8","2","12","-","4","13","-","-","-","79"
"2011","collingwood","Ball, Luke","2","15","6","9","2","2","5","-","-","-","76"
"2011","collingwood","Ball, Luke","3","10","6","9","1","1","2","1","-","-","73"
"2011","collingwood","Ball, Luke","4","13","2","6","2","2","8","1","-","-","72"
"2011","collingwood","Ball, Luke","5","14","5","8","2","2","9","1","-","-","71"
"2011","collingwood","Ball, Luke","6","13","3","7","2","3","6","1","-","-","72"
"2011","collingwood","Ball, Luke","8","10","5","3","4","-","6","-","-","-","79"
"2011","collingwood","Ball, Luke","9","12","5","13","-","1","7","2","-","-","76"
"2011","collingwood","Ball, Luke","10","15","5","15","5","3","4","-","-","-","73"
"2011","collingwood","Ball, Luke","11","8","2","7","1","1","7","-","-","-","80"
"2011","collingwood","Ball, Luke","12","11","5","10","2","2","12","2","-","-","79"
"2011","collingwood","Ball, Luke","14","10","4","14","2","1","12","1","1","1","80"
"2011","collingwood","Ball, Luke","15","6","2","13","1","2","9","1","-","-","79"
"2011","collingwood","Ball, Luke","16","8","4","9","2","1","3","-","-","-","80"
"2011","collingwood","Ball, Luke","17","13","9","9","-","3","4","1","1","-","82"
"2011","collingwood","Ball, Luke","18","17","6","10","3","1","7","2","-","1","85"
"2011","collingwood","Ball, Luke","19","9","2","12","3","-","11","1","-","-","79"
"2011","collingwood","Ball, Luke","20","17","8","8","-","-","7","1","-","-","77"
"2011","collingwood","Ball, Luke","21","8","3","13","1","-","5","-","-","-","82"
"2011","collingwood","Ball, Luke","22","17","3","13","-","2","1","-","-","-","72"
"2011","collingwood","Ball, Luke","23","","","","","","","","","",""
"2011","collingwood","Ball, Luke","24","12","4","6","3","2","7","-","1","-","75"
"2011","collingwood","Ball, Luke","QF","10","3","13","2","3","6","1","-","-","78"
"2011","collingwood","Ball, Luke","PF","16","9","8","1","2","4","1","-","-","72"
"2011","collingwood","Ball, Luke","GF","10","4","8","3","1","11","1","-","1","78"
"2011","collingwood","Beams, Dayne","1","12","5","7","-","-","6","2","-","-","83"
"2011","collingwood","Beams, Dayne","2","12","10","14","3","-","3","3","-","1","80"
"2011","collingwood","Beams, Dayne","3","8","7","13","1","1","1","-","-","1","81"
"2011","collingwood","Beams, Dayne","4","11","8","12","-","1","2","2","-","-","84"
"2011","collingwood","Beams, Dayne","5","8","5","4","-","-","-","2","-","-","58"
"2011","collingwood","Beams, Dayne","6","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","8","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","9","13","3","8","-","1","4","1","-","1","78"
"2011","collingwood","Beams, Dayne","10","10","5","16","1","-","4","-","-","1","79"
"2011","collingwood","Beams, Dayne","11","11","1","11","-","-","4","-","-","1","65"
"2011","collingwood","Beams, Dayne","12","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","14","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","15","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","16","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","17","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","18","","","","","","","","","",""
"2011","collingwood","Beams, Dayne","19","15","2","10","-","2","3","2","-","1","76"
"2011","collingwood","Beams, Dayne","20","15","9","17","-","1","4","3","-","1","80"
