adelaide,Adelaide
brisbanel,Brisbane Lions
bullldogs,Western Bulldogs
collingwood,Collingwood
essendon,Essendon
fremantle,Fremantle
geelong,Geelong
goldcoast,Gold Coast
gws,Greater Western
hawthorn,Hawthorn
kangaroos,North Melbourne
padelaide,Port Adelaide
richmond,Richmond
stkilda,St Kilda
swans,Sydney
westcoast,West Coast
carlton,Carlton
melbourne,Melbourne
