"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2012","westcoast","Brennan, Jacob","1","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","2","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","3","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","4","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","5","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","6","9","2","2","2","-","-","-","-","-","79"
"2012","westcoast","Brennan, Jacob","7","10","4","3","-","-","3","1","-","-","79"
"2012","westcoast","Brennan, Jacob","8","5","1","4","-","-","3","-","-","-","80"
"2012","westcoast","Brennan, Jacob","9","3","1","-","-","-","1","-","-","-","33"
"2012","westcoast","Brennan, Jacob","10","9","5","1","1","-","1","-","-","1","84"
"2012","westcoast","Brennan, Jacob","12","9","1","1","2","-","3","1","-","-","86"
"2012","westcoast","Brennan, Jacob","13","7","3","4","-","-","2","-","-","1","78"
"2012","westcoast","Brennan, Jacob","14","12","6","6","-","2","5","-","-","1","80"
"2012","westcoast","Brennan, Jacob","15","7","4","3","-","1","3","-","-","-","81"
"2012","westcoast","Brennan, Jacob","16","11","2","2","-","3","2","-","-","1","81"
"2012","westcoast","Brennan, Jacob","17","8","5","5","-","1","2","-","-","-","82"
"2012","westcoast","Brennan, Jacob","18","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","19","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","20","5","2","2","2","1","6","-","-","-","82"
"2012","westcoast","Brennan, Jacob","21","13","3","1","-","-","4","-","-","-","83"
"2012","westcoast","Brennan, Jacob","22","","","","","","","","","",""
"2012","westcoast","Brennan, Jacob","23","3","1","2","-","1","2","-","-","-","26"
"2012","westcoast","Brennan, Jacob","EF","6","2","3","1","1","2","-","-","-","56"
"2012","westcoast","Brennan, Jacob","SF","3","2","2","-","-","2","-","-","-","74"
"2012","westcoast","Brown, Mitch","1","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","2","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","3","4","5","9","1","-","-","-","-","-","86"
"2012","westcoast","Brown, Mitch","4","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","5","-","-","1","-","-","-","-","-","-","4"
"2012","westcoast","Brown, Mitch","6","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","7","2","2","4","1","-","2","-","-","-","87"
"2012","westcoast","Brown, Mitch","8","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","9","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","10","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","12","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","13","5","3","3","-","-","-","-","-","-","69"
"2012","westcoast","Brown, Mitch","14","4","4","10","1","2","2","-","-","-","93"
"2012","westcoast","Brown, Mitch","15","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","16","5","3","4","1","-","-","-","-","-","88"
"2012","westcoast","Brown, Mitch","17","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","18","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","19","4","4","5","2","-","3","-","-","-","90"
"2012","westcoast","Brown, Mitch","20","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","21","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","22","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","23","2","1","7","-","1","1","-","-","-","83"
"2012","westcoast","Brown, Mitch","EF","","","","","","","","","",""
"2012","westcoast","Brown, Mitch","SF","","","","","","","","","",""
"2012","westcoast","Butler, Sam","1","","","","","","","","","",""
"2012","westcoast","Butler, Sam","2","","","","","","","","","",""
"2012","westcoast","Butler, Sam","3","","","","","","","","","",""
"2012","westcoast","Butler, Sam","4","","","","","","","","","",""
"2012","westcoast","Butler, Sam","5","8","3","4","-","1","4","-","-","-","83"
"2012","westcoast","Butler, Sam","6","16","5","2","-","2","2","-","-","-","85"
"2012","westcoast","Butler, Sam","7","9","3","3","1","-","3","-","-","-","92"
"2012","westcoast","Butler, Sam","8","15","7","5","3","2","-","-","-","-","89"
"2012","westcoast","Butler, Sam","9","9","7","4","-","1","1","-","-","-","51"
"2012","westcoast","Butler, Sam","10","","","","","","","","","",""
"2012","westcoast","Butler, Sam","12","","","","","","","","","",""
