"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2012","brisbanel","Adcock, Jed","1","18","9","11","1","3","4","1","-","-","86"
"2012","brisbanel","Adcock, Jed","2","6","1","8","1","2","4","-","-","-","91"
"2012","brisbanel","Adcock, Jed","3","18","6","2","2","-","3","-","-","-","89"
"2012","brisbanel","Adcock, Jed","4","9","4","10","-","1","4","1","-","-","75"
"2012","brisbanel","Adcock, Jed","5","10","1","7","1","2","10","-","-","1","85"
"2012","brisbanel","Adcock, Jed","6","10","4","11","2","1","3","-","-","-","91"
"2012","brisbanel","Adcock, Jed","7","","","","","","","","","",""
"2012","brisbanel","Adcock, Jed","8","9","5","8","-","1","2","-","-","-","77"
"2012","brisbanel","Adcock, Jed","9","9","6","11","-","-","7","-","-","-","82"
"2012","brisbanel","Adcock, Jed","10","15","9","13","1","1","6","-","-","-","93"
"2012","brisbanel","Adcock, Jed","12","16","3","11","1","-","5","-","-","-","88"
"2012","brisbanel","Adcock, Jed","13","9","2","8","1","-","5","-","-","-","90"
"2012","brisbanel","Adcock, Jed","14","9","5","6","1","1","3","-","-","1","88"
"2012","brisbanel","Adcock, Jed","15","17","10","4","1","1","6","-","-","-","93"
"2012","brisbanel","Adcock, Jed","16","9","6","2","-","2","3","-","-","-","89"
"2012","brisbanel","Adcock, Jed","17","10","8","7","-","-","-","-","-","-","96"
"2012","brisbanel","Adcock, Jed","18","13","4","8","1","3","4","1","-","-","86"
"2012","brisbanel","Adcock, Jed","19","9","4","10","-","1","5","-","-","-","89"
"2012","brisbanel","Adcock, Jed","20","10","5","7","-","-","2","-","-","-","94"
"2012","brisbanel","Adcock, Jed","21","14","6","8","1","1","3","-","-","-","96"
"2012","brisbanel","Adcock, Jed","22","9","3","3","-","2","3","-","-","-","90"
"2012","brisbanel","Adcock, Jed","23","15","3","5","1","3","3","-","-","-","95"
"2012","brisbanel","Banfield, Todd","1","8","2","2","-","1","2","3","-","1","80"
"2012","brisbanel","Banfield, Todd","2","4","2","4","-","-","2","-","-","-","74"
"2012","brisbanel","Banfield, Todd","3","4","1","2","1","1","5","1","-","1","79"
"2012","brisbanel","Banfield, Todd","4","13","3","8","-","3","3","1","-","-","84"
"2012","brisbanel","Banfield, Todd","5","5","-","6","2","2","7","-","-","2","87"
"2012","brisbanel","Banfield, Todd","6","2","-","5","1","-","2","-","-","-","78"
"2012","brisbanel","Banfield, Todd","7","5","4","3","1","1","1","-","-","2","84"
"2012","brisbanel","Banfield, Todd","8","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","9","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","10","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","12","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","13","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","14","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","15","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","16","4","1","5","1","1","-","1","-","-","86"
"2012","brisbanel","Banfield, Todd","17","4","1","5","2","1","2","-","-","1","82"
"2012","brisbanel","Banfield, Todd","18","-","-","1","-","-","-","-","-","-","28"
"2012","brisbanel","Banfield, Todd","19","5","3","2","-","2","2","-","-","2","81"
"2012","brisbanel","Banfield, Todd","20","3","-","2","-","1","2","-","-","1","63"
"2012","brisbanel","Banfield, Todd","21","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","22","","","","","","","","","",""
"2012","brisbanel","Banfield, Todd","23","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","1","12","1","13","1","-","5","-","-","-","77"
"2012","brisbanel","Beams, Claye","2","5","2","4","-","-","6","1","-","-","84"
"2012","brisbanel","Beams, Claye","3","8","3","3","1","2","3","-","-","-","76"
"2012","brisbanel","Beams, Claye","4","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","5","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","6","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","7","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","8","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","9","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","10","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","12","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","13","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","14","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","15","1","1","3","-","-","3","-","-","-","20"
"2012","brisbanel","Beams, Claye","16","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","17","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","18","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","19","","","","","","","","","",""
"2012","brisbanel","Beams, Claye","20","5","1","4","1","-","1","2","-","-","24"
"2012","brisbanel","Beams, Claye","21","13","6","6","-","-","2","-","-","-","80"
"2012","brisbanel","Beams, Claye","22","9","6","6","-","1","1","2","-","1","79"
"2012","brisbanel","Beams, Claye","23","18","5","8","-","2","5","1","-","1","85"
"2012","brisbanel","Bewick, Rohan","1","5","5","6","1","-","2","-","-","-","58"
"2012","brisbanel","Bewick, Rohan","2","7","4","5","-","-","2","-","-","-","82"
"2012","brisbanel","Bewick, Rohan","3","","","","","","","","","",""
"2012","brisbanel","Bewick, Rohan","4","","","","","","","","","",""
"2012","brisbanel","Bewick, Rohan","5","","","","","","","","","",""
"2012","brisbanel","Bewick, Rohan","6","","","","","","","","","",""
"2012","brisbanel","Bewick, Rohan","7","","","","","","","","","",""
"2012","brisbanel","Bewick, Rohan","8","13","6","11","-","4","3","-","-","2","81"
"2012","brisbanel","Bewick, Rohan","9","8","3","5","1","1","3","1","-","-","79"
"2012","brisbanel","Bewick, Rohan","10","5","2","4","1","-","-","1","-","1","77"
"2012","brisbanel","Bewick, Rohan","12","5","1","-","-","-","1","1","-","-","27"
"2012","brisbanel","Bewick, Rohan","13","14","8","5","-","-","1","2","1","1","87"
"2012","brisbanel","Bewick, Rohan","14","5","1","3","1","3","1","1","-","-","88"
"2012","brisbanel","Bewick, Rohan","15","8","5","6","-","1","1","1","-","1","69"
"2012","brisbanel","Bewick, Rohan","16","13","2","7","-","1","-","2","-","-","74"
"2012","brisbanel","Bewick, Rohan","17","2","-","1","1","-","1","1","-","-","25"
"2012","brisbanel","Bewick, Rohan","18","6","3","7","-","-","3","-","-","1","81"
"2012","brisbanel","Bewick, Rohan","19","","","","","","","","","",""
"2012","brisbanel","Bewick, Rohan","20","12","7","5","1","3","3","2","-","3","86"
"2012","brisbanel","Bewick, Rohan","21","8","4","2","-","-","1","3","-","1","83"
"2012","brisbanel","Bewick, Rohan","22","4","2","4","3","-","3","1","-","-","88"
"2012","brisbanel","Bewick, Rohan","23","9","5","4","-","-","2","2","-","2","89"
"2012","brisbanel","Black, Simon","1","17","3","13","-","2","10","-","-","-","75"
"2012","brisbanel","Black, Simon","2","8","-","15","1","-","4","-","-","-","81"
"2012","brisbanel","Black, Simon","3","","","","","","","","","",""
"2012","brisbanel","Black, Simon","4","15","7","15","-","1","6","-","-","-","74"
"2012","brisbanel","Black, Simon","5","12","2","10","-","3","8","1","-","-","85"
"2012","brisbanel","Black, Simon","6","9","3","18","1","-","-","-","-","1","79"
"2012","brisbanel","Black, Simon","7","9","3","11","-","1","4","1","-","-","81"
"2012","brisbanel","Black, Simon","8","13","5","12","-","2","2","-","-","1","81"
"2012","brisbanel","Black, Simon","9","6","-","6","1","-","3","-","-","-","52"
"2012","brisbanel","Black, Simon","10","","","","","","","","","",""
"2012","brisbanel","Black, Simon","12","","","","","","","","","",""
"2012","brisbanel","Black, Simon","13","8","2","15","-","1","6","-","-","-","88"
"2012","brisbanel","Black, Simon","14","14","4","12","-","2","2","1","-","1","86"
"2012","brisbanel","Black, Simon","15","","","","","","","","","",""
"2012","brisbanel","Black, Simon","16","10","3","21","-","-","2","1","-","-","80"
"2012","brisbanel","Black, Simon","17","9","2","20","2","1","3","-","-","-","80"
"2012","brisbanel","Black, Simon","18","9","1","14","-","1","4","-","-","1","84"
"2012","brisbanel","Black, Simon","19","4","1","11","1","-","1","-","-","-","35"
"2012","brisbanel","Black, Simon","20","5","2","10","-","-","3","-","-","-","90"
"2012","brisbanel","Black, Simon","21","11","3","14","2","1","4","1","-","1","82"
"2012","brisbanel","Black, Simon","22","12","1","15","-","1","4","-","-","-","83"
"2012","brisbanel","Black, Simon","23","9","6","15","2","4","1","-","-","1","82"
"2012","brisbanel","Brown, Jonathan","1","","","","","","","","","",""
"2012","brisbanel","Brown, Jonathan","2","","","","","","","","","",""
"2012","brisbanel","Brown, Jonathan","3","3","3","-","-","-","-","-","-","-","98"
"2012","brisbanel","Brown, Jonathan","4","8","7","8","-","1","1","3","-","-","94"
"2012","brisbanel","Brown, Jonathan","5","8","4","6","1","2","1","1","1","1","90"
"2012","brisbanel","Brown, Jonathan","6","11","7","10","-","3","-","2","-","1","99"
"2012","brisbanel","Brown, Jonathan","7","9","9","7","-","-","-","2","-","2","97"
"2012","brisbanel","Brown, Jonathan","8","15","16","8","1","2","1","5","2","2","97"
"2012","brisbanel","Brown, Jonathan","9","9","10","5","2","1","2","2","-","-","98"
"2012","brisbanel","Brown, Jonathan","10","8","6","5","-","-","2","1","2","1","95"
"2012","brisbanel","Brown, Jonathan","12","10","7","4","-","3","2","3","-","-","94"
"2012","brisbanel","Brown, Jonathan","13","12","11","3","-","1","2","-","-","1","92"
"2012","brisbanel","Brown, Jonathan","14","19","12","5","-","-","-","4","-","3","84"
"2012","brisbanel","Brown, Jonathan","15","8","3","5","2","2","1","2","-","1","94"
"2012","brisbanel","Brown, Jonathan","16","5","3","6","-","1","1","1","3","1","97"
"2012","brisbanel","Brown, Jonathan","17","9","4","6","2","3","-","1","2","-","97"
"2012","brisbanel","Brown, Jonathan","18","10","7","9","-","2","3","3","-","1","96"
"2012","brisbanel","Brown, Jonathan","19","9","9","5","1","1","-","4","1","3","92"
"2012","brisbanel","Brown, Jonathan","20","8","4","5","-","1","2","2","2","2","86"
"2012","brisbanel","Brown, Jonathan","21","9","6","6","1","1","1","2","-","-","95"
"2012","brisbanel","Brown, Jonathan","22","9","6","3","3","1","-","4","1","-","90"
"2012","brisbanel","Brown, Jonathan","23","10","9","2","2","1","1","5","1","1","78"
"2012","brisbanel","Buchanan, Amon","1","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","2","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","3","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","4","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","5","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","6","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","7","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","8","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","9","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","10","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","12","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","13","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","14","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","15","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","16","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","17","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","18","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","19","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","20","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","21","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","22","","","","","","","","","",""
"2012","brisbanel","Buchanan, Amon","23","7","2","12","2","2","2","-","-","1","75"
"2012","brisbanel","Cornelius, Aaron","1","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","2","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","3","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","4","12","10","1","-","-","3","4","-","3","79"
"2012","brisbanel","Cornelius, Aaron","5","3","2","5","1","1","3","-","1","-","87"
"2012","brisbanel","Cornelius, Aaron","6","8","4","5","-","1","1","1","-","-","90"
"2012","brisbanel","Cornelius, Aaron","7","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","8","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","9","8","5","2","1","2","-","4","-","-","79"
"2012","brisbanel","Cornelius, Aaron","10","4","3","3","-","-","-","1","-","-","58"
"2012","brisbanel","Cornelius, Aaron","12","2","1","2","3","-","3","1","1","-","88"
"2012","brisbanel","Cornelius, Aaron","13","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","14","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","15","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","16","2","3","5","1","-","2","1","-","-","65"
"2012","brisbanel","Cornelius, Aaron","17","9","5","5","-","-","-","1","-","2","92"
"2012","brisbanel","Cornelius, Aaron","18","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","19","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","20","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","21","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","22","","","","","","","","","",""
"2012","brisbanel","Cornelius, Aaron","23","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","1","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","2","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","3","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","4","10","1","7","-","1","4","-","-","3","79"
"2012","brisbanel","Crisp, Jack","5","8","1","4","2","-","5","-","-","-","71"
"2012","brisbanel","Crisp, Jack","6","10","4","6","-","-","2","2","-","-","78"
"2012","brisbanel","Crisp, Jack","7","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","8","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","9","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","10","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","12","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","13","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","14","","","","","","","","","",""
"2012","brisbanel","Crisp, Jack","15","9","5","6","-","-","3","1","-","1","92"
"2012","brisbanel","Crisp, Jack","16","5","3","7","-","-","1","-","-","1","83"
"2012","brisbanel","Crisp, Jack","17","5","2","8","-","-","3","-","-","-","80"
"2012","brisbanel","Crisp, Jack","18","4","1","7","1","-","6","-","-","-","86"
