"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2011","swans","Bevan, Paul","1","4","2","6","1","1","5","-","-","1","86"
"2011","swans","Bevan, Paul","2","5","2","3","3","3","4","2","-","-","98"
"2011","swans","Bevan, Paul","3","4","2","3","1","1","5","-","-","1","88"
"2011","swans","Bevan, Paul","4","8","2","3","1","1","7","2","-","-","96"
"2011","swans","Bevan, Paul","6","2","1","3","-","-","3","-","-","1","76"
"2011","swans","Bevan, Paul","7","","","","","","","","","",""
"2011","swans","Bevan, Paul","8","","","","","","","","","",""
"2011","swans","Bevan, Paul","9","","","","","","","","","",""
"2011","swans","Bevan, Paul","10","","","","","","","","","",""
"2011","swans","Bevan, Paul","11","","","","","","","","","",""
"2011","swans","Bevan, Paul","12","","","","","","","","","",""
"2011","swans","Bevan, Paul","13","","","","","","","","","",""
"2011","swans","Bevan, Paul","14","7","4","5","1","-","2","-","-","2","92"
"2011","swans","Bevan, Paul","15","8","1","2","1","2","11","1","-","2","95"
"2011","swans","Bevan, Paul","16","","","","","","","","","",""
"2011","swans","Bevan, Paul","17","","","","","","","","","",""
"2011","swans","Bevan, Paul","18","","","","","","","","","",""
"2011","swans","Bevan, Paul","20","","","","","","","","","",""
"2011","swans","Bevan, Paul","21","","","","","","","","","",""
"2011","swans","Bevan, Paul","22","","","","","","","","","",""
"2011","swans","Bevan, Paul","23","","","","","","","","","",""
"2011","swans","Bevan, Paul","24","","","","","","","","","",""
"2011","swans","Bevan, Paul","EF","","","","","","","","","",""
"2011","swans","Bevan, Paul","SF","","","","","","","","","",""
"2011","swans","Bird, Craig","1","","","","","","","","","",""
"2011","swans","Bird, Craig","2","4","-","7","2","3","4","-","-","-","65"
"2011","swans","Bird, Craig","3","5","-","7","-","-","6","-","-","-","72"
"2011","swans","Bird, Craig","4","7","1","10","2","1","7","-","-","-","84"
"2011","swans","Bird, Craig","6","8","-","8","1","1","7","-","-","-","89"
"2011","swans","Bird, Craig","7","7","2","6","2","-","4","-","-","-","89"
"2011","swans","Bird, Craig","8","15","3","6","1","1","1","1","-","-","85"
"2011","swans","Bird, Craig","9","10","2","9","1","1","5","-","-","-","88"
"2011","swans","Bird, Craig","10","15","2","9","1","-","9","-","-","2","93"
