"year","team","player","round","KI","MK","HB","FA","FF","TK","GL","HO","BH","pctP"
"2015","bullldogs","Biggs, Shane","1","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","2","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","3","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","4","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","5","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","6","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","7","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","8","10","3","6","-","-","3","-","-","-","83"
"2015","bullldogs","Biggs, Shane","9","5","3","1","-","1","-","-","-","-","16"
"2015","bullldogs","Biggs, Shane","10","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","12","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","13","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","14","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","15","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","16","","","","","","","","","",""
"2015","bullldogs","Biggs, Shane","17","19","7","9","-","1","2","-","-","-","77"
"2015","bullldogs","Biggs, Shane","18","16","4","6","-","-","2","-","-","-","82"
"2015","bullldogs","Biggs, Shane","19","17","1","10","2","1","2","-","-","-","80"
"2015","bullldogs","Biggs, Shane","20","19","6","5","-","-","-","1","-","-","80"
"2015","bullldogs","Biggs, Shane","21","15","2","3","1","-","3","-","-","-","81"
"2015","bullldogs","Biggs, Shane","22","15","2","6","-","1","3","2","-","-","83"
"2015","bullldogs","Biggs, Shane","23","12","4","6","1","-","1","-","-","-","84"
"2015","bullldogs","Biggs, Shane","EF","13","2","4","-","-","5","-","-","-","80"
"2015","bullldogs","Bontempelli, Marcus","1","12","1","10","1","-","10","1","2","-","86"
"2015","bullldogs","Bontempelli, Marcus","2","19","6","8","1","2","10","-","1","2","85"
"2015","bullldogs","Bontempelli, Marcus","3","","","","","","","","","",""
"2015","bullldogs","Bontempelli, Marcus","4","12","2","5","1","-","7","1","2","1","82"
"2015","bullldogs","Bontempelli, Marcus","5","18","2","5","1","-","6","2","-","-","89"
"2015","bullldogs","Bontempelli, Marcus","6","12","1","3","-","1","4","-","4","-","89"
"2015","bullldogs","Bontempelli, Marcus","7","14","2","4","-","3","3","1","2","-","85"
"2015","bullldogs","Bontempelli, Marcus","8","7","1","5","1","-","3","-","2","-","85"
"2015","bullldogs","Bontempelli, Marcus","9","10","1","7","-","1","7","-","4","1","65"
"2015","bullldogs","Bontempelli, Marcus","10","","","","","","","","","",""
"2015","bullldogs","Bontempelli, Marcus","12","9","4","11","1","1","6","1","3","1","84"
"2015","bullldogs","Bontempelli, Marcus","13","10","5","9","1","-","4","1","2","-","84"
"2015","bullldogs","Bontempelli, Marcus","14","10","5","8","-","-","1","-","5","1","86"
"2015","bullldogs","Bontempelli, Marcus","15","15","7","13","2","2","7","2","1","-","85"
"2015","bullldogs","Bontempelli, Marcus","16","10","4","7","1","-","10","-","4","1","89"
"2015","bullldogs","Bontempelli, Marcus","17","11","7","17","2","-","2","1","1","-","81"
"2015","bullldogs","Bontempelli, Marcus","18","13","4","11","1","1","5","-","3","1","81"
"2015","bullldogs","Bontempelli, Marcus","19","11","3","14","1","-","3","1","3","-","81"
"2015","bullldogs","Bontempelli, Marcus","20","8","2","8","1","-","6","3","4","-","87"
"2015","bullldogs","Bontempelli, Marcus","21","13","2","10","1","4","6","-","1","-","87"
"2015","bullldogs","Bontempelli, Marcus","22","12","3","11","1","2","4","1","5","-","84"
"2015","bullldogs","Bontempelli, Marcus","23","19","4","9","-","2","5","2","1","-","85"
"2015","bullldogs","Bontempelli, Marcus","EF","16","3","8","-","-","7","-","-","2","83"
"2015","bullldogs","Boyd, Matthew","1","18","8","15","-","1","1","-","-","-","83"
"2015","bullldogs","Boyd, Matthew","2","17","10","8","2","-","4","-","1","1","76"
"2015","bullldogs","Boyd, Matthew","3","","","","","","","","","",""
"2015","bullldogs","Boyd, Matthew","4","20","12","8","1","-","1","-","-","-","86"
"2015","bullldogs","Boyd, Matthew","5","15","4","7","-","1","3","-","-","-","88"
"2015","bullldogs","Boyd, Matthew","6","","","","","","","","","",""
"2015","bullldogs","Boyd, Matthew","7","16","9","8","-","-","2","-","-","-","83"
"2015","bullldogs","Boyd, Matthew","8","13","6","18","1","4","5","-","1","-","84"
"2015","bullldogs","Boyd, Matthew","9","18","8","14","-","4","4","-","-","1","86"
"2015","bullldogs","Boyd, Matthew","10","16","4","7","-","-","3","-","-","1","84"
"2015","bullldogs","Boyd, Matthew","12","16","11","5","3","1","2","-","-","-","87"
"2015","bullldogs","Boyd, Matthew","13","20","9","10","1","-","1","-","-","-","84"
"2015","bullldogs","Boyd, Matthew","14","21","14","10","-","-","3","1","-","-","88"
"2015","bullldogs","Boyd, Matthew","15","21","9","8","-","-","1","-","-","1","85"
"2015","bullldogs","Boyd, Matthew","16","11","-","8","-","-","-","-","-","-","85"
"2015","bullldogs","Boyd, Matthew","17","16","12","22","-","-","-","-","-","1","86"
"2015","bullldogs","Boyd, Matthew","18","15","4","9","-","1","-","-","-","-","72"
"2015","bullldogs","Boyd, Matthew","19","18","9","14","-","2","2","-","-","1","85"
"2015","bullldogs","Boyd, Matthew","20","14","7","7","1","1","5","-","1","-","82"
"2015","bullldogs","Boyd, Matthew","21","","","","","","","","","",""
"2015","bullldogs","Boyd, Matthew","22","21","8","11","1","-","1","-","-","-","84"
"2015","bullldogs","Boyd, Matthew","23","","","","","","","","","",""
"2015","bullldogs","Boyd, Matthew","EF","15","4","6","-","-","2","-","-","-","79"
